INFO:root:Namespace(K=3, a_dim=2, alpha='rnn', batch_size=128, clip=150, dataset='BouncingBall', device=device(type='cuda'), epochs=80, learning_rate=0.007, model='KVAE', save_every=10, scale=0.3, subdirectory='v4', x_dim=1, z_dim=4)
INFO:root:Starting KVAE training for 80 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:2214.02793073, 4756.37735797, 17.56351542, -769.55115809, 1307.88199432, 0.007
INFO:root:704.50515110, 2118.41176943, 50.52132256, -18.46027287, 652.85622628, 0.007
INFO:root:554.33749079, 1638.32161433, 60.82670622, -2.01427834, 498.62905188, 0.007
INFO:root:516.92795006, 1527.89164715, 54.69621637, -3.86421777, 439.66297604, 0.007
INFO:root:392.14499361, 1103.16998523, 54.11575387, -7.07823158, 306.65112401, 0.007
INFO:root:311.14233469, 833.60036150, 50.29339187, -10.76882445, 222.29722054, 0.007
INFO:root:257.52017571, 647.50609965, 49.88819480, -13.38014252, 167.80076010, 0.007
INFO:root:214.51988704, 502.89029896, 48.79177598, -14.86101600, 135.46982034, 0.007
INFO:root:205.45626624, 468.30667636, 49.62670068, -15.33755711, 122.84102959, 0.007
INFO:root:196.98169516, 440.81865876, 47.03572759, -17.70036461, 114.30815501, 0.007
INFO:root:177.76253868, 369.54997369, 48.27747306, -18.62006843, 100.08406849, 0.007
INFO:root:181.91170363, 389.01023768, 45.24190584, -19.96672238, 106.15501500, 0.007
INFO:root:175.28497255, 366.80444587, 45.39539559, -19.84823984, 100.62787594, 0.007
INFO:root:174.88508711, 356.16814722, 45.02867793, -23.00596047, 94.04033574, 0.007
INFO:root:171.79626930, 337.78707866, 44.03314508, -26.42699656, 88.75817388, 0.007
INFO:root:165.61221582, 323.54439458, 43.55047158, -24.99842108, 86.40710415, 0.007
INFO:root:155.54430881, 298.02662466, 43.56296742, -22.57335063, 82.51809910, 0.007
INFO:root:162.39424359, 321.96494071, 44.56622865, -21.23852678, 85.08234212, 0.007
INFO:root:178.50015375, 346.53356644, 45.24446541, -29.29561345, 89.84739468, 0.007
INFO:root:177.93641021, 329.56275283, 46.41574304, -32.65183728, 87.95843240, 0.007
INFO:root:184.98850361, 347.61306222, 47.52695518, -33.17762607, 90.09700848, 0.007
INFO:root:173.98666490, 323.22293670, 48.79416710, -28.22561299, 85.70499425, 0.007
INFO:root:169.16875475, 282.79595406, 48.67445900, -35.65550616, 80.01677757, 0.007
INFO:root:162.68134208, 294.77652093, 47.60208255, -26.64629920, 82.36049551, 0.007
