INFO:root:Namespace(K=3, a_dim=2, alpha='rnn', batch_size=128, clip=150, dataset='BouncingBall', device=device(type='cuda'), epochs=80, learning_rate=0.007, model='KVAE', save_every=10, scale=1.0, subdirectory='v4', wandb_on=None, x_dim=1, z_dim=4)
INFO:root:Starting KVAE training for 80 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:4696.30913478, 3843.52716296, 39.98075741, -812.80121875, 1104.86542289, 0.007
INFO:root:868.38629561, 770.02226702, 79.49126352, -18.87277014, 216.03444575, 0.007
INFO:root:677.86188783, 578.07540469, 81.47577807, -18.31070792, 148.05172527, 0.007
INFO:root:672.40779568, 579.83967919, 83.24190463, -9.32620828, 136.65590035, 0.007
INFO:root:968.62786493, 872.90180815, 83.05570916, -12.67034849, 177.51890805, 0.007
INFO:root:615.91401700, 518.06480021, 84.83847461, -13.01073802, 113.92538655, 0.007
INFO:root:443.09401449, 347.48138853, 84.13032686, -11.48230084, 89.18643121, 0.007
INFO:root:604.52032865, 510.57677431, 82.17181087, -11.77173961, 111.82903353, 0.007
INFO:root:705.04340354, 610.56654590, 82.54607015, -11.93078885, 125.99284329, 0.007
INFO:root:550.21075232, 455.41618154, 80.87069074, -13.92387878, 105.40485783, 0.007
INFO:root:493.29912067, 390.13539973, 83.54036095, -19.62335970, 90.58590983, 0.007
INFO:root:566.69334367, 462.17187558, 81.09473545, -23.42672917, 102.59973709, 0.007
INFO:root:484.37577515, 381.59527453, 80.65306449, -22.12743932, 87.69247446, 0.007
INFO:root:470.08143379, 360.04642728, 80.53908906, -29.49591562, 85.60495724, 0.007
INFO:root:409.83463277, 308.18498771, 81.02734964, -20.62229397, 75.49437786, 0.007
INFO:root:462.66655854, 361.60859970, 80.47777393, -20.58018839, 83.71526023, 0.007
INFO:root:389.53975560, 289.19963402, 81.44085829, -18.89926348, 74.40734211, 0.007
INFO:root:408.92491119, 308.64974802, 83.19639829, -17.07876614, 72.82400933, 0.007
INFO:root:406.62741988, 307.72131135, 80.97345560, -17.93265303, 73.04614519, 0.007
INFO:root:405.59322367, 305.01706937, 82.10681172, -18.46934452, 71.78857832, 0.007
INFO:root:375.36209423, 273.68778856, 81.64706170, -20.02724609, 68.11992848, 0.007
INFO:root:392.93925801, 289.21133452, 82.20187735, -21.52604537, 68.08391866, 0.007
INFO:root:363.46674675, 254.64156428, 82.53207687, -26.29310386, 63.27382906, 0.007
INFO:root:382.19879230, 277.42742389, 81.20365722, -23.56770887, 66.95061870, 0.007
INFO:root:388.33434977, 277.59893731, 81.46544319, -29.26996965, 67.41593643, 0.007
INFO:root:353.31170765, 245.15291673, 82.24438322, -25.91440973, 62.11376842, 0.007
INFO:root:354.82131197, 251.55863228, 82.67941873, -20.58326115, 61.73698053, 0.007
INFO:root:357.81971568, 253.40107766, 82.37646214, -22.04217491, 61.86944966, 0.007
INFO:root:365.87056616, 263.11306821, 81.19661626, -21.56088247, 62.83736941, 0.007
INFO:root:361.76114302, 248.73132778, 82.74894985, -30.28086587, 61.01085730, 0.007
INFO:root:362.45371440, 254.40273256, 81.97020789, -26.08077434, 62.54230166, 0.007
INFO:root:361.83205860, 259.69241092, 80.90650399, -21.23314205, 62.50891760, 0.007
INFO:root:323.82532124, 221.15782610, 82.27640900, -20.39108643, 56.94260305, 0.007
INFO:root:338.28937050, 237.69694992, 81.28340178, -19.30902073, 58.73484754, 0.007
INFO:root:347.59767567, 243.48436863, 81.01155679, -23.10174918, 60.91269747, 0.007
INFO:root:322.46122176, 214.37009420, 81.20465049, -26.88647726, 57.18818418, 0.007
INFO:root:347.81465495, 241.84476915, 81.94261179, -24.02727188, 59.48945743, 0.007
INFO:root:329.60335119, 222.81558662, 81.44335503, -25.34440934, 56.33226540, 0.007
INFO:root:330.55350606, 223.71773210, 80.34995028, -26.48582078, 56.71796074, 0.007
INFO:root:326.09309792, 222.66861387, 81.44525668, -21.97922796, 55.76457379, 0.007
INFO:root:353.05091486, 252.63403523, 80.50065091, -19.91623171, 60.48176695, 0.007
INFO:root:330.87843848, 230.74305812, 80.52651630, -19.60886435, 57.47952237, 0.007
INFO:root:336.68681126, 237.76779098, 80.25541098, -18.66361036, 59.29758077, 0.007
INFO:root:321.09987710, 223.20489840, 79.34413649, -18.55084269, 55.69842727, 0.007
INFO:root:323.12119116, 225.97765988, 79.12008860, -18.02344548, 56.57581204, 0.007
INFO:root:320.76003868, 220.85164642, 80.40673587, -19.50165542, 54.99969246, 0.007
INFO:root:311.58260958, 214.66661786, 79.36139061, -17.55460179, 54.39509795, 0.007
INFO:root:323.34327253, 223.46793559, 80.22398106, -19.65135520, 55.66212826, 0.007
INFO:root:333.51143406, 232.76049428, 78.96421708, -21.78672193, 58.41051420, 0.007
INFO:root:316.57635769, 209.15403081, 79.50976186, -27.91256618, 53.96127952, 0.007
INFO:root:302.25720289, 190.86003287, 80.23811157, -31.15905933, 50.69269504, 0.007
INFO:root:323.28070567, 218.74329627, 80.34232272, -24.19508803, 55.70168246, 0.007
INFO:root:300.80108871, 195.95395940, 80.09265793, -24.75447176, 50.03340994, 0.007
INFO:root:313.80398207, 212.83478768, 78.85828815, -22.11090643, 54.30432819, 0.007
INFO:root:288.93192285, 188.96280265, 77.93618205, -22.03293758, 49.60458813, 0.007
INFO:root:313.02695948, 215.20525717, 76.81817511, -21.00352680, 54.12578865, 0.007
INFO:root:295.92884323, 197.29778705, 78.24062125, -20.39043686, 51.42673884, 0.007
INFO:root:293.48320497, 198.00078071, 77.57395607, -17.90846839, 51.42303530, 0.007
INFO:root:303.01938255, 208.36596516, 77.98954087, -16.66387517, 53.37216083, 0.007
INFO:root:293.49798260, 197.96657794, 77.77093602, -17.76046932, 51.93535614, 0.007
INFO:root:277.56539552, 183.24894241, 76.23690632, -18.07954602, 50.27542665, 0.007
INFO:root:302.36373458, 205.21618623, 76.36992278, -20.77762576, 53.73886104, 0.007
INFO:root:281.16057935, 178.74966479, 76.31710275, -26.09381210, 48.88702494, 0.007
INFO:root:290.27658046, 183.67099482, 76.27912941, -30.32645661, 49.19719370, 0.007
INFO:root:318.31075156, 204.43943072, 76.38118560, -37.49013408, 51.48417268, 0.007
INFO:root:326.55345521, 206.44301248, 76.72743640, -43.38300913, 52.21541035, 0.007
INFO:root:319.90026353, 202.51071128, 76.02146612, -41.36808487, 52.19098021, 0.007
INFO:root:329.12792579, 223.72404808, 75.96926127, -29.43461431, 56.18998602, 0.007
INFO:root:284.02558094, 179.69817246, 76.33949705, -27.98791278, 48.67636949, 0.007
INFO:root:304.62110586, 199.82201424, 75.30522175, -29.49387093, 51.48059531, 0.007
INFO:root:305.06911299, 192.80687704, 76.08907048, -36.17316576, 49.66223111, 0.007
INFO:root:320.68323606, 199.88105697, 76.51617548, -44.28600477, 50.65893395, 0.007
INFO:root:299.13462134, 186.92441935, 76.34773998, -35.86246229, 49.21992024, 0.007
INFO:root:323.26384306, 218.79711789, 75.01797698, -29.44875003, 56.61000558, 0.007
INFO:root:276.77231143, 173.60504266, 75.67967031, -27.48759710, 47.14720429, 0.007
INFO:root:294.51619024, 194.67342299, 75.25333395, -24.58943340, 51.20716134, 0.007
INFO:root:308.68689249, 210.26184053, 75.04235946, -23.38269328, 54.59709114, 0.007
INFO:root:283.86546771, 184.58014235, 75.04345162, -24.24187229, 50.68090704, 0.007
INFO:root:290.85079591, 189.81887730, 74.73846725, -26.29345164, 50.18926413, 0.007
INFO:root:336.60204381, 234.24614213, 76.35638804, -25.99951402, 61.73678618, 0.007
INFO:root:Finished training.
INFO:root:Saved model. Final Checkpoint saves/BouncingBall/kvae/v4/scale=1.0/kvae_state_dict_scale=1.0_79.pth
