INFO:root:Namespace(K=3, a_dim=2, batch_size=32, clip=150, dataset='BouncingBall', device=device(type='cuda'), epochs=100, initial='False', learning_rate=0.007, model='KVAE', save_every=10, scale=0.3, subdirectory='v1/finetuned6', x_dim=1, z_dim=4)
INFO:root:Starting KVAE training for 100 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:1584.91196859, 3344.51184004, 39.10776099, -542.45061720, 948.89415851, [0.007]
INFO:root:454.61491123, 1085.52438189, 96.65923703, -32.29834557, 331.44109362, [0.007]
INFO:root:363.61201425, 792.62171024, 111.44558752, -14.37990457, 235.95629049, [0.007]
INFO:root:304.57639755, 607.26918990, 122.34588438, -0.04975004, 183.78314384, [0.007]
INFO:root:284.44186811, 539.77125613, 127.74300426, 5.23252030, 162.65975616, [0.007]
INFO:root:280.42474124, 527.11197972, 130.21460629, 7.92346501, 156.00639236, [0.007]
INFO:root:261.66483772, 463.89927337, 134.29943070, 11.80438043, 140.40105472, [0.007]
INFO:root:253.78407335, 438.06277768, 136.77372223, 14.40848696, 133.64282127, [0.007]
INFO:root:249.60139061, 424.00774600, 138.43844283, 16.03938118, 128.84285414, [0.007]
INFO:root:260.19095726, 460.13806386, 137.64961599, 15.50008258, 136.61012682, [0.007]
INFO:root:239.51097184, 387.57980590, 140.74245558, 17.50543009, 117.87981083, [0.007]
INFO:root:224.77684934, 331.10510673, 146.08995178, 20.64463825, 100.50672915, [0.0059499999999999996]
INFO:root:230.59729176, 354.10427681, 146.29109216, 21.92508713, 107.41571479, [0.0059499999999999996]
INFO:root:231.23879357, 358.69202918, 144.96316733, 21.33198703, 107.80788512, [0.0059499999999999996]
INFO:root:224.70613770, 334.12262996, 146.32040859, 21.85106341, 101.47879665, [0.0059499999999999996]
INFO:root:223.46144499, 328.27682295, 147.89514516, 22.91675097, 99.81979263, [0.0059499999999999996]
INFO:root:218.54800105, 310.07126829, 149.04473945, 23.51812245, 94.09631842, [0.0059499999999999996]
INFO:root:221.32165387, 321.53776628, 148.94814015, 24.08782002, 97.31204158, [0.0059499999999999996]
INFO:root:218.78176820, 311.60779452, 149.76037773, 24.46095146, 94.13240202, [0.0059499999999999996]
INFO:root:222.27663408, 322.97680240, 150.63104502, 25.24745492, 97.41784819, [0.0059499999999999996]
INFO:root:213.86465649, 295.38466008, 150.42199000, 25.17273486, 88.97040448, [0.0059499999999999996]
INFO:root:212.41581803, 285.85795330, 152.97024609, 26.31181765, 86.02142934, [0.0050574999999999995]
INFO:root:205.26159166, 257.23880254, 155.28270041, 27.19275253, 77.58900870, [0.0050574999999999995]
INFO:root:214.08115884, 294.58763430, 153.00560183, 27.30073672, 88.49747752, [0.0050574999999999995]
