INFO:root:Namespace(K=3, a_dim=2, batch_size=32, clip=150, dataset='BouncingBall', device=device(type='cuda'), epochs=100, initial='False', learning_rate=0.0001, model='KVAE', save_every=10, scale=0.3, subdirectory='v1/finetuned1', x_dim=1, z_dim=4)
INFO:root:Starting KVAE training for 100 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:23470.58662925, 28473.39809539, -129.89562561, -15058.46248141, 9607.71036836
INFO:root:11306.09420625, 14147.05971338, -55.57432231, -7117.55043666, 3833.98377476
INFO:root:8367.66943625, 12866.52096188, -1.84891131, -4509.56190707, 3508.61184751
INFO:root:7180.97229017, 12535.04472905, 8.73307324, -3411.72565215, 3441.23664846
INFO:root:6499.53696576, 12343.60580464, 10.76077471, -2785.69429496, 3390.61992903
INFO:root:6065.17838018, 12168.96345666, 12.07170847, -2402.41748560, 3337.20182810
INFO:root:5749.12175418, 11995.62521771, 13.03471915, -2137.39931564, 3278.02230854
INFO:root:5486.34344318, 11789.67491043, 13.97726117, -1935.46356658, 3208.79468240
INFO:root:5261.43601231, 11540.06198373, 16.22483072, -1783.19245171, 3128.84136458
INFO:root:5038.80982305, 11174.96096860, 19.55633382, -1666.76504113, 3028.24125603
INFO:root:4797.58112703, 10494.83705713, 29.15297650, -1619.97689608, 2876.28719179
INFO:root:4472.93564613, 9354.94299861, 53.89228009, -1612.56038022, 2645.68102172
INFO:root:4103.72084475, 8377.46319230, 89.76062828, -1500.72116198, 2435.47037657
INFO:root:3793.88883792, 7485.73062736, 123.16313196, -1425.00641573, 2200.48812963
INFO:root:3352.92590465, 6063.62822514, 154.37437313, -1379.46298915, 1778.01653314
INFO:root:3002.80071854, 4897.82083810, 184.30657298, -1349.14783597, 1423.85722672
INFO:root:2750.53371489, 4180.96238213, 205.12102202, -1291.12392796, 1203.91413870
INFO:root:2586.36987946, 3686.24599267, 219.85510759, -1260.64092376, 1053.15910777
INFO:root:2453.25097976, 3293.78437562, 231.19256854, -1233.92305536, 934.30497635
INFO:root:2345.21503585, 2994.04116024, 239.88790709, -1207.11474537, 846.53667163
INFO:root:2295.49885369, 2763.39835975, 246.95642760, -1219.52287822, 781.51038958
INFO:root:2233.30548920, 2531.11558115, 253.20664949, -1220.76413652, 713.98776848
INFO:root:2216.43412488, 2352.87645862, 258.75498817, -1251.81617619, 664.00079540
INFO:root:2205.31704757, 2196.10963080, 264.01431138, -1282.46981973, 620.24912529
INFO:root:2237.99032299, 2075.66229442, 267.64219034, -1347.64941949, 587.86564879
INFO:root:2252.21061102, 1938.09189873, 271.52361983, -1399.25939638, 548.94835590
INFO:root:2232.72897637, 1823.62465167, 274.96341545, -1410.67813525, 517.48852422
INFO:root:2151.93650117, 1710.27978593, 278.65586260, -1360.19667966, 485.35800015
INFO:root:2062.46837929, 1639.61199990, 281.58056680, -1289.00419060, 467.39178836
INFO:root:1960.18837578, 1547.18254488, 284.32529989, -1211.70829384, 440.96114121
INFO:root:1855.86083964, 1485.36821227, 287.22717810, -1123.02318033, 425.08161256
INFO:root:1772.89271446, 1410.09064926, 289.76238703, -1060.10311858, 403.77536419
INFO:root:1679.71525652, 1369.11047130, 292.13495573, -976.84714105, 394.18328955
INFO:root:1600.18309697, 1303.26807496, 294.71288499, -914.48977219, 375.28092092
INFO:root:1550.43020240, 1267.73624104, 297.01041991, -873.09889579, 366.70617462
INFO:root:1477.29241548, 1224.13867499, 299.12785232, -810.92294830, 354.84185577
INFO:root:1413.03835698, 1187.55661730, 301.30176462, -755.46959562, 345.22326718
INFO:root:1381.60109378, 1192.93479657, 302.32001918, -721.40062323, 349.13975885
INFO:root:1313.77418426, 1119.94490275, 304.51851931, -673.27218176, 326.75595132
INFO:root:1268.34326629, 1093.68697284, 306.59252113, -633.64464001, 319.98147466
INFO:root:1225.57334401, 1070.76510640, 308.35213806, -595.99166459, 314.09859277
INFO:root:1193.58661886, 1057.51997716, 309.85965257, -566.47096113, 311.19213478
INFO:root:1193.80604366, 1174.92642814, 311.18507103, -530.14302731, 342.87100608
INFO:root:1119.16405224, 1016.92953899, 309.58255646, -504.50262397, 299.27548412
INFO:root:1075.86959800, 968.45547272, 312.16257608, -473.17036603, 284.87828812
INFO:root:1047.64282150, 952.21226667, 314.49588946, -447.48324139, 280.86080311
INFO:root:1022.50057668, 949.86048879, 316.15755856, -421.38485791, 281.27982073
INFO:root:988.94339073, 930.81145191, 317.55938313, -392.14056111, 275.90312282
INFO:root:972.42857342, 915.26752175, 319.22879709, -378.61950733, 271.62501186
INFO:root:961.92893459, 957.57190214, 319.40421776, -355.25313624, 285.42975495
INFO:root:926.40536251, 894.74084900, 320.66537067, -337.31772224, 266.15682634
INFO:root:903.95985324, 901.39062344, 321.93952990, -311.60312453, 269.15213829
INFO:root:886.93985334, 889.40610344, 322.81318694, -297.30482336, 265.57591374
INFO:root:860.75258014, 868.76371192, 323.52898956, -276.59446604, 259.23625961
INFO:root:838.04004856, 839.30808020, 325.23306819, -261.01454559, 250.06813710
INFO:root:825.96129341, 841.16280253, 326.13307219, -247.47936914, 251.34687387
INFO:root:810.63455267, 837.78663315, 327.01199419, -232.28655742, 250.53383428
INFO:root:794.49715882, 831.30837488, 328.01437339, -217.09026232, 248.81280041
INFO:root:788.24015329, 866.51810878, 327.94594346, -200.33876939, 259.21273813
INFO:root:762.60023514, 805.65100525, 328.97117819, -191.93374445, 240.84140384
INFO:root:748.63910968, 801.81571698, 330.01249374, -178.08188825, 239.96226239
INFO:root:745.43241100, 821.38519326, 330.16011407, -168.85673051, 246.28743652
INFO:root:727.92674674, 801.69321126, 331.21343741, -156.20533724, 240.11013813
INFO:root:711.23374618, 767.87651344, 331.99618589, -148.87459782, 229.47012582
INFO:root:700.40779390, 764.05341159, 333.28613223, -137.90562774, 228.53405091
INFO:root:706.39019788, 811.31059936, 333.05906259, -129.93794447, 243.54120058
INFO:root:682.32234641, 762.16595964, 333.74374118, -119.92880844, 228.19267837
INFO:root:678.18758786, 781.10354906, 334.34962531, -109.50688997, 234.29657809
INFO:root:671.36004443, 776.43114729, 334.86137419, -103.56931687, 232.69323517
INFO:root:652.79844505, 735.20694689, 335.29858748, -96.93776537, 219.64234322
INFO:root:653.84822408, 762.77097121, 335.97985840, -89.03706608, 228.83183532
INFO:root:641.39717168, 738.74720443, 336.51406199, -83.25894143, 221.28424937
INFO:root:634.95165643, 735.37040720, 337.05145030, -77.28907433, 220.25288187
INFO:root:643.39128068, 780.09617974, 336.90192428, -72.46049610, 233.11678348
INFO:root:623.55260297, 732.33146988, 337.69346337, -66.15968935, 219.42496039
INFO:root:613.70810118, 713.22757133, 338.27543183, -61.46438819, 213.31445176
INFO:root:611.46978310, 720.17510131, 338.92129886, -56.49594736, 215.68607442
INFO:root:623.30143974, 772.30563374, 338.26526851, -53.34446875, 230.62813213
INFO:root:603.00878948, 715.88512017, 339.13702859, -49.10621520, 214.40348573
INFO:root:596.68334300, 707.52878255, 339.43023682, -44.99446329, 211.77870557
INFO:root:591.88946120, 699.64368881, 340.12047951, -41.87586513, 209.35900869
INFO:root:607.20580524, 760.92894925, 340.07841093, -38.84870021, 227.89168787
INFO:root:583.50795072, 690.18301333, 340.48817220, -35.96486690, 206.32308425
INFO:root:583.74686488, 698.18393080, 341.27274648, -33.01892850, 209.07729918
INFO:root:581.59827629, 697.40261044, 341.49011075, -30.88737766, 208.92156117
INFO:root:576.49908199, 686.19282600, 341.90688076, -28.73434569, 205.34755527
INFO:root:591.52320883, 742.49144964, 342.23773407, -26.53803220, 222.55729724
INFO:root:574.41160630, 691.03506178, 341.87467636, -25.22640231, 206.95443327
INFO:root:572.90081131, 688.53335707, 342.46837932, -23.87241791, 206.15696104
INFO:root:566.94539379, 672.22419496, 343.23255191, -22.04557425, 201.05803666
INFO:root:569.21230665, 682.15110050, 343.67082963, -20.89613832, 204.39559567
INFO:root:570.28757442, 689.58538818, 343.64248327, -19.76946564, 206.64325320
INFO:root:570.55845026, 691.54922777, 344.28702657, -18.80664914, 207.35944711
INFO:root:562.23861555, 665.36971055, 344.32592093, -18.30177139, 199.07909962
INFO:root:563.68385858, 672.39483098, 344.65689165, -17.30850908, 201.25992638
INFO:root:572.75405189, 704.52091018, 344.79030769, -16.60746255, 211.62440073
INFO:root:558.50285842, 657.93493069, 344.76861145, -16.35376198, 196.62532529
INFO:root:560.03249495, 662.14885930, 345.60928073, -15.77854944, 198.23658850
INFO:root:563.78459803, 675.31885971, 345.65801633, -15.53091609, 202.45822970
INFO:root:563.12298114, 674.26312217, 345.63401765, -15.21001688, 201.95448935
INFO:root:Finished training.
INFO:root:Saved model. Final Checkpoint saves/BouncingBall/kvae/v1/finetuned1/scale=0.3/kvae_state_dict_scale=0.3_99.pth
