INFO:root:Namespace(K=3, a_dim=2, batch_size=32, clip=150, dataset='BouncingBall', device=device(type='cuda'), epochs=200, initial='False', learning_rate=0.0001, model='KVAE', save_every=10, scale=0.3, subdirectory='v1/finetuned2', x_dim=1, z_dim=4)
INFO:root:Loaded State Dict from saves/BouncingBall/kvae/v1/finetuned1/scale=0.3/kvae_state_dict_scale=0.3_99.pth.
INFO:root:Starting KVAE training for 200 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:694.71876781, 1117.57790691, 343.50022315, -15.94515693, 278.32320292
INFO:root:549.43284301, 629.74081985, 345.10261895, -15.40797371, 187.49334727
INFO:root:550.68806700, 633.29791843, 345.67997421, -15.01871310, 188.80288162
INFO:root:557.62403682, 655.95866287, 346.20583893, -14.63059208, 196.32018129
INFO:root:553.78760804, 643.26430011, 346.30038297, -14.50792823, 192.26593105
INFO:root:557.55138906, 655.59722784, 346.44721722, -14.42499575, 196.25626495
INFO:root:552.54900063, 638.21644155, 346.86201623, -14.22204463, 190.71815918
INFO:root:558.14765506, 656.69386398, 347.19733580, -13.94215319, 196.70261417
INFO:root:575.06524529, 715.79831730, 346.62819054, -13.69754735, 212.40771348
INFO:root:550.12201027, 630.82547289, 347.11654197, -13.75781815, 188.23784565
INFO:root:551.72392556, 635.50927462, 347.51810645, -13.55303101, 189.98978235
INFO:root:560.91576648, 665.36029441, 347.76246983, -13.54520066, 199.62794242
INFO:root:550.98505396, 632.46433486, 347.80693297, -13.43881225, 189.07771875
INFO:root:556.94296670, 651.35570239, 348.21006240, -13.32618740, 195.01068106
INFO:root:549.64554290, 627.31366122, 348.30972348, -13.14171440, 187.52771997
INFO:root:551.35622030, 631.98263491, 348.87379912, -12.88762308, 188.95856296
INFO:root:562.77975947, 670.84267197, 348.44711012, -13.07983784, 201.34516362
INFO:root:551.43700677, 632.65408733, 348.74721027, -12.89356413, 189.30381522
INFO:root:553.42996903, 638.65999958, 349.00018699, -12.83177201, 191.30578885
INFO:root:553.76976643, 640.41247442, 348.88930477, -12.75671462, 191.72535336
INFO:root:550.63368789, 628.99240909, 349.41349724, -12.52246590, 188.13334461
INFO:root:551.49820701, 632.16325544, 349.39970602, -12.44952039, 189.28726877
INFO:root:556.81014752, 649.81077158, 349.70326320, -12.16364837, 194.53009461
INFO:root:546.39182378, 614.06312979, 349.99043167, -12.18244481, 183.39214825
INFO:root:555.56638408, 645.39892928, 349.88152376, -12.06517621, 193.21687365
INFO:root:547.30329669, 617.12603565, 350.08746066, -12.07801943, 184.46274027
INFO:root:549.00154346, 622.64852497, 350.46602849, -11.74095172, 186.26657328
INFO:root:557.49844026, 651.05388199, 350.39745219, -11.78481721, 194.97968560
INFO:root:549.53670371, 623.94236998, 350.51775423, -11.83622927, 186.87051450
INFO:root:549.12240008, 622.90699408, 350.63229195, -11.61800554, 186.18857424
INFO:root:554.46934938, 639.76970036, 350.92645730, -11.61197766, 191.64737755
INFO:root:544.32005371, 606.94560679, 350.69375669, -11.54260733, 181.27092310
INFO:root:554.70038716, 641.05474620, 350.92599682, -11.45796057, 192.08479542
INFO:root:544.47906985, 606.82524663, 350.96368447, -11.46780595, 181.29592458
INFO:root:542.86674507, 600.47220957, 351.51725759, -11.20781633, 179.35133284
INFO:root:549.89730753, 623.95464699, 351.61937777, -11.09153112, 186.79994474
INFO:root:543.74056406, 603.00018311, 351.91638339, -10.92411933, 180.25422542
INFO:root:546.79559101, 612.82731716, 352.09283992, -10.85454786, 183.40231061
INFO:root:547.55391921, 615.63020743, 352.14043567, -10.72441373, 184.44850168
INFO:root:546.10032059, 610.58916459, 352.29070229, -10.63286399, 182.53570498
INFO:root:543.20307445, 600.60870906, 352.34738742, -10.67306848, 179.59282368
INFO:root:541.22710789, 593.62234283, 352.80113988, -10.33925863, 177.24421303
INFO:root:553.55489300, 634.27409334, 353.05400639, -10.21865305, 190.10350503
INFO:root:540.85344936, 592.37352272, 352.73345597, -10.40793121, 176.77606007
INFO:root:550.80096638, 626.11707126, 352.49593494, -10.46990412, 187.53953533
INFO:root:540.13362073, 589.63952365, 352.94828320, -10.29347453, 176.01331373
INFO:root:559.28494335, 652.82257080, 353.32308066, -10.11508465, 195.35096673
INFO:root:543.21367068, 601.10143460, 352.39873587, -10.48449689, 179.71592965
INFO:root:537.40703979, 579.68640875, 353.26349188, -10.23761630, 172.80780515
INFO:root:548.42900323, 618.28342511, 353.05864215, -9.88532849, 184.68416872
INFO:root:539.31905952, 586.75647206, 353.38949313, -9.90261665, 175.18974178
INFO:root:540.55821758, 589.22646259, 353.95634626, -9.83392699, 176.11466066
INFO:root:544.88225293, 603.98153706, 353.98542057, -9.70236327, 180.90046264
INFO:root:543.15567393, 598.29847241, 353.93564406, -9.73048204, 178.98351730
INFO:root:536.56586116, 575.15929787, 354.52566392, -9.49240244, 171.51255410
INFO:root:539.47235626, 585.38436987, 354.45972982, -9.39731004, 174.95915630
INFO:root:538.10890086, 580.11409726, 354.76008246, -9.31458506, 173.22439556
INFO:root:561.64950190, 660.82472725, 354.00681281, -9.39526248, 197.80787095
