INFO:root:Namespace(K=3, a_dim=2, batch_size=32, clip=150, dataset='BouncingBall', device=device(type='cuda'), epochs=100, initial='False', learning_rate=1e-06, model='KVAE', save_every=10, scale=0.3, subdirectory='v1/finetuned4', x_dim=1, z_dim=4)
INFO:root:Loaded State Dict from saves/BouncingBall/kvae/v1/finetuned3/scale=0.3/kvae_state_dict_scale=0.3_99.pth.
INFO:root:Starting KVAE training for 100 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:508.99597712, 457.46449659, 371.61720558, -0.13941635, 135.60036017
INFO:root:508.88126850, 457.06093486, 371.59968246, -0.16329777, 135.45000190
INFO:root:509.01036557, 458.01971299, 371.47163945, -0.13280715, 135.72473076
INFO:root:508.72353918, 457.32286315, 371.42191893, -0.10475602, 135.51374205
INFO:root:508.86393396, 457.43292334, 371.50969448, -0.12435620, 135.56471894
INFO:root:508.77893729, 457.13744592, 371.49273973, -0.14495793, 135.46465549
INFO:root:508.75386179, 456.86220186, 371.54235645, -0.15283850, 135.40499538
INFO:root:508.93667997, 458.11278325, 371.37359483, -0.12924395, 135.81677343
INFO:root:508.95403239, 457.67661397, 371.52521413, -0.12582866, 135.62250650
INFO:root:508.92992887, 458.29549510, 371.34602132, -0.09525406, 135.84231752
INFO:root:508.64480872, 456.47670848, 371.59916036, -0.10263071, 135.27620644
INFO:root:508.74086154, 456.58671871, 371.63669640, -0.12814554, 135.28692987
INFO:root:508.96612531, 457.82601618, 371.52937171, -0.08894107, 135.69184331
INFO:root:508.79982766, 456.73668365, 371.65680340, -0.12201145, 135.32316827
INFO:root:508.83607527, 457.72987414, 371.40369080, -0.11341922, 135.71794158
INFO:root:508.79933456, 456.86560758, 371.65647723, -0.08316961, 135.38773390
INFO:root:508.79008488, 457.20925145, 371.49202461, -0.13527854, 135.57235514
INFO:root:508.77756246, 456.89480260, 371.62243575, -0.08667793, 135.38575385
INFO:root:508.82983038, 457.30683481, 371.54050752, -0.09726602, 135.56492673
INFO:root:508.78394165, 457.33941689, 371.49412877, -0.08798303, 135.59237719
INFO:root:508.76369911, 456.81372498, 371.64470619, -0.07486936, 135.38285662
INFO:root:508.57080412, 456.11776209, 371.63894692, -0.09652363, 135.16615363
INFO:root:508.78124014, 457.02366823, 371.59975263, -0.07437994, 135.46987847
INFO:root:508.89163881, 457.33687655, 371.60727881, -0.08329173, 135.51988599
INFO:root:508.64785447, 456.80754216, 371.52054086, -0.08504483, 135.33832380
INFO:root:508.85350571, 457.33024898, 371.54786148, -0.10656524, 135.55761719
INFO:root:508.77158579, 457.32210934, 371.57202032, -0.00292750, 135.52611236
INFO:root:508.77984313, 457.18355954, 371.55152689, -0.07324029, 135.49919206
INFO:root:508.70573069, 456.60467452, 371.64223057, -0.08209445, 135.32030171
INFO:root:508.65379752, 456.19848847, 371.74305968, -0.05118498, 135.14651076
INFO:root:508.99033623, 457.49097846, 371.65329290, -0.08974404, 135.58997019
INFO:root:508.79142108, 456.89635589, 371.68317681, -0.03933247, 135.36695318
INFO:root:508.58271797, 456.83540957, 371.49170252, -0.04038659, 135.42303010
INFO:root:508.73699805, 457.25994309, 371.50008592, -0.05892312, 135.47109645
INFO:root:508.65525985, 456.13414517, 371.77089366, -0.04411483, 135.18248705
INFO:root:508.98623124, 457.87350911, 371.54588950, -0.07828178, 135.74221360
INFO:root:508.80449021, 456.56195651, 371.82022289, -0.01567515, 135.32844650
INFO:root:508.69111138, 456.41793065, 371.72803104, -0.03769485, 135.21994106
INFO:root:508.68046730, 456.67453878, 371.64566001, -0.03243936, 135.35640955
INFO:root:508.72178684, 456.58016365, 371.71483714, -0.03289606, 135.33668926
INFO:root:508.65977296, 456.48173144, 371.65139460, -0.06385330, 135.29401927
INFO:root:508.71711201, 456.22824505, 371.81655592, -0.03207694, 135.17304244
INFO:root:508.83697523, 457.36846943, 371.60941349, -0.01701358, 135.59737848
INFO:root:508.76461277, 456.46953821, 371.78742660, -0.03631738, 135.27575839
INFO:root:508.70402717, 456.80787941, 371.59937126, -0.06228371, 135.39538079
INFO:root:508.56993589, 456.23235754, 371.69717718, -0.00304583, 135.15372122
INFO:root:508.85211339, 457.35705042, 371.62823098, -0.01676000, 135.56375151
INFO:root:508.70887748, 456.28962814, 371.78488373, -0.03709890, 135.22405267
