INFO:root:Namespace(K=3, a_dim=2, batch_size=32, clip=150, dataset='BouncingBall', device=device(type='cuda'), epochs=100, initial='False', learning_rate=1e-06, model='KVAE', save_every=10, scale=0.15, subdirectory='v1/finetuned5a', x_dim=1, z_dim=4)
INFO:root:Loaded State Dict from saves/BouncingBall/kvae/v1/finetuned4/scale=0.1/kvae_state_dict_scale=0.1_99.pth.
INFO:root:Starting KVAE training for 100 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:432.43178339, 1054.68110997, 277.89260028, 3.66298963, 322.59542302
INFO:root:430.49479219, 1017.11739160, 281.28586146, 3.35868397, 310.43731709
INFO:root:429.50706680, 989.59749336, 284.24681568, 3.17938025, 301.32276868
INFO:root:428.55833972, 965.01475612, 286.80722337, 3.00110192, 293.28137751
INFO:root:428.11099027, 945.79069218, 289.07159443, 2.82921471, 286.83638652
INFO:root:427.82345259, 930.96712110, 290.81694002, 2.63856197, 281.79904233
INFO:root:427.55440812, 918.63171464, 292.27972121, 2.52007654, 277.75326383
INFO:root:427.50891144, 911.25030323, 293.22145498, 2.40009486, 275.41129201
INFO:root:427.29830002, 902.25125297, 294.26029375, 2.29968609, 272.31964947
INFO:root:427.11774104, 897.11381191, 294.76385634, 2.21319313, 270.73391179
INFO:root:426.90605429, 889.64150865, 295.56938550, 2.10956196, 268.25269604
INFO:root:426.92825909, 885.71370896, 296.04901006, 1.97781325, 266.98163425
INFO:root:426.91030748, 883.57805308, 296.30199534, 1.92840343, 266.34538823
INFO:root:426.80405725, 879.42156166, 296.69449513, 1.80367739, 265.01910439
INFO:root:426.64787248, 878.12794368, 296.64794844, 1.71927342, 264.72747531
INFO:root:426.62817385, 874.69289753, 297.09415450, 1.66992127, 263.59613922
INFO:root:426.55271855, 873.29140516, 297.08686314, 1.52785972, 263.30842765
INFO:root:426.50091331, 870.94397167, 297.36735680, 1.50804661, 262.52826501
INFO:root:426.53131682, 870.13203848, 297.42695258, 1.41544711, 262.38909436
INFO:root:426.34407657, 867.85033286, 297.51603339, 1.34951353, 261.71569523
INFO:root:426.24750322, 865.34633564, 297.74390659, 1.29835926, 260.87888458
INFO:root:426.16907885, 863.68563085, 297.80942142, 1.19319337, 260.45955274
INFO:root:426.18468742, 863.19125619, 297.87012749, 1.16413452, 260.34149510
INFO:root:426.19136929, 861.94854736, 297.98072825, 1.08164660, 259.99456845
INFO:root:426.01232807, 860.27538402, 297.98351545, 1.01250041, 259.50538839
INFO:root:426.05475201, 859.19708991, 298.10307108, 0.92788971, 259.26831298
INFO:root:425.92507549, 858.05420661, 298.20044043, 0.98350065, 258.90462829
INFO:root:425.98597610, 857.12463612, 298.27729088, 0.86001568, 258.64310382
INFO:root:425.83830856, 854.48738127, 298.45370075, 0.78850461, 257.87610437
INFO:root:425.78287456, 852.94556053, 298.60332747, 0.76229165, 257.34648696
INFO:root:425.95138931, 853.53428932, 298.59356728, 0.67232584, 257.67499703
INFO:root:425.77973745, 851.64806079, 298.71408878, 0.68156451, 256.97215796
INFO:root:425.64877233, 851.06049128, 298.61549562, 0.62580287, 257.01476468
INFO:root:425.71447348, 850.31098812, 298.73275562, 0.56493555, 256.67914324
INFO:root:425.56750246, 846.73233285, 299.08216304, 0.52451504, 255.58747038
INFO:root:425.76811068, 848.83425067, 298.89575234, 0.45278430, 256.39546456
INFO:root:425.56350764, 845.24458420, 299.25767546, 0.48085831, 255.28303781
INFO:root:425.45369288, 844.47245954, 299.19304992, 0.41023099, 254.99994606
INFO:root:425.44986206, 844.18104349, 299.19636273, 0.37366023, 254.93243700
INFO:root:425.41419666, 842.58817286, 299.35504559, 0.32907917, 254.50046019
INFO:root:425.44194687, 842.07985537, 299.38499849, 0.25503555, 254.38274301
INFO:root:425.36629402, 839.98838038, 299.62222679, 0.25419385, 253.64628883
INFO:root:425.44675828, 841.26577973, 299.49439682, 0.23751133, 254.19758363
INFO:root:425.32103666, 838.47753751, 299.73372461, 0.18432296, 253.30136303
INFO:root:425.29447361, 838.61443275, 299.62328052, 0.12097657, 253.42296605
INFO:root:425.22371886, 837.18968716, 299.80445891, 0.15919763, 252.92727719
INFO:root:425.30510547, 837.34320068, 299.81825985, 0.11463933, 253.13518014
INFO:root:425.19644013, 834.72385868, 300.05672440, 0.06886589, 252.27865474
INFO:root:425.27446633, 835.20848249, 300.04176049, 0.04857118, 252.35385462
INFO:root:425.09749146, 833.43237227, 300.11594891, 0.03331893, 251.85596199
INFO:root:425.00505047, 832.53998619, 300.13388684, 0.00983744, 251.65674470
INFO:root:425.11577509, 833.39743994, 300.06567402, -0.04048103, 251.92668618
INFO:root:425.14503625, 830.61627042, 300.53113687, -0.02145425, 251.12452950
INFO:root:425.03541460, 830.73814674, 300.38215297, -0.04253414, 251.11039160
INFO:root:425.11642820, 830.00607203, 300.53349042, -0.08202168, 250.91211530
INFO:root:424.90886858, 827.27644883, 300.71389771, -0.10350094, 250.06866698
INFO:root:424.98590225, 828.54184018, 300.58825878, -0.11636314, 250.48255891
INFO:root:425.00984832, 827.83520974, 300.67028342, -0.16428029, 250.34142687
INFO:root:424.99589208, 828.11739587, 300.59672420, -0.18155500, 250.40189590
INFO:root:424.88189537, 825.98434079, 300.80322888, -0.18101253, 249.79076808
INFO:root:424.88065803, 823.89401614, 301.07426987, -0.22228093, 249.12011087
INFO:root:424.90626327, 824.99800800, 300.95710531, -0.19945108, 249.50431435
INFO:root:424.80110386, 823.61423254, 301.04698891, -0.21197601, 249.05895928
INFO:root:424.83477024, 823.19025202, 301.13388353, -0.22234523, 249.05057122
INFO:root:424.97770820, 823.03869823, 301.24487480, -0.27702266, 248.99858035
INFO:root:424.75161093, 821.88837681, 301.18634655, -0.28200527, 248.59209486
INFO:root:424.62504406, 820.76287803, 301.21871909, -0.29188832, 248.26293489
INFO:root:424.71673939, 820.01808157, 301.36691440, -0.34710912, 248.03086027
INFO:root:424.66171463, 819.77695227, 301.39676661, -0.29840169, 248.02488271
INFO:root:424.68834985, 818.82798855, 301.55502728, -0.30912171, 247.68116031
INFO:root:424.69486157, 820.13154204, 301.30825922, -0.36686797, 248.21600361
INFO:root:424.56698025, 816.80524498, 301.71825841, -0.32793159, 247.08172899
INFO:root:424.65515936, 817.27623384, 301.71318258, -0.35053737, 247.22734497
INFO:root:424.59970587, 817.99699178, 301.54344090, -0.35671286, 247.53824047
INFO:root:424.64097915, 815.06010758, 301.99347390, -0.38848526, 246.59109526
INFO:root:424.59578472, 815.88388547, 301.85953109, -0.35366506, 246.92374415
INFO:root:424.58503155, 815.15562837, 301.94549561, -0.36618728, 246.60906691
INFO:root:424.49746473, 814.36842803, 301.95287969, -0.38931607, 246.50177498
INFO:root:424.55346338, 814.14798654, 302.05393350, -0.37732661, 246.35657564
INFO:root:424.40719895, 812.34525761, 302.15319805, -0.40220787, 245.81947123
INFO:root:424.41554226, 813.50623686, 301.97942182, -0.41018128, 246.24486002
INFO:root:424.41208928, 812.25357386, 302.17122150, -0.40282691, 245.81360116
INFO:root:424.48774019, 811.30975847, 302.36889143, -0.42238204, 245.50981811
INFO:root:424.36333530, 811.01486381, 302.30848120, -0.40261978, 245.35100094
INFO:root:424.35163211, 810.01585437, 302.43289049, -0.41635970, 245.17728322
INFO:root:424.38395539, 810.17011703, 302.39218703, -0.46624555, 245.21886128
INFO:root:424.31332095, 809.64070975, 302.47517094, -0.39204017, 245.15024474
INFO:root:424.32174371, 808.28567485, 302.64424435, -0.43464495, 244.66363827
INFO:root:424.38329250, 808.90078755, 302.62163626, -0.42653455, 244.85846015
INFO:root:424.41858481, 808.09979870, 302.73213031, -0.47148129, 244.66523441
INFO:root:424.39003870, 807.71898326, 302.77297041, -0.45921622, 244.54720010
INFO:root:424.34413127, 808.05458642, 302.67346016, -0.46247863, 244.66764375
INFO:root:424.39377824, 807.41882674, 302.80861027, -0.47234040, 244.46649598
INFO:root:424.26273152, 805.01302576, 303.06609932, -0.44467459, 243.69543564
INFO:root:424.17534458, 806.00142908, 302.81222107, -0.46290550, 244.03300544
INFO:root:424.28874636, 804.05539932, 303.21934674, -0.46108476, 243.38658511
INFO:root:424.19448396, 804.62639681, 303.05894772, -0.44157254, 243.63567581
INFO:root:424.18825897, 803.37016617, 303.24801305, -0.43471718, 243.23186031
INFO:root:424.15410997, 802.74979668, 303.30340907, -0.43822746, 243.01281107
INFO:root:424.15917320, 803.42353072, 303.20799110, -0.43764863, 243.24075162
INFO:root:Finished training.
INFO:root:Saved model. Final Checkpoint saves/BouncingBall/kvae/v1/finetuned5a/scale=0.15/kvae_state_dict_scale=0.15_99.pth
