INFO:root:Namespace(K=3, a_dim=2, batch_size=32, clip=150, dataset='BouncingBall', device=device(type='cuda'), epochs=300, initial='False', learning_rate=1e-05, model='KVAE', save_every=10, scale=0.3, subdirectory='v2/finetuned1', x_dim=1, z_dim=4)
INFO:root:Starting KVAE training for 300 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:34428.03651649, 35677.93981389, -142.28982165, -23866.94399185, 12894.40016048
INFO:root:31266.56054929, 35205.91470939, -141.82962201, -20846.61538607, 12658.39598676
INFO:root:28391.94091036, 34146.01196756, -140.89853566, -18289.03546898, 12128.82230295
INFO:root:25889.72607401, 32091.77550259, -138.66750088, -16400.86055973, 11107.30922820
INFO:root:23267.10382658, 28386.21578921, -133.63004930, -14884.86881712, 9308.37060858
INFO:root:20039.04870580, 22041.78552946, -123.94011776, -13550.45291560, 6522.91590677
INFO:root:17480.50480417, 16956.52759256, -112.26579508, -12505.81211968, 4698.18772082
INFO:root:16129.53650731, 15712.47258783, -104.99839938, -11520.79292028, 4308.11344608
INFO:root:14964.17635368, 15259.82533216, -98.56639211, -10484.79495004, 4168.42763485
INFO:root:13967.86933911, 14920.94776324, -91.77852310, -9583.36332424, 4066.86852172
INFO:root:13152.30225042, 14628.68680334, -83.71308899, -8847.40910005, 3980.83209656
INFO:root:12451.41931986, 14372.61252239, -75.36152343, -8214.99688194, 3905.95920208
INFO:root:11799.89617721, 14151.14215516, -67.11797221, -7621.67129104, 3841.65770862
INFO:root:11299.08107092, 13941.54857932, -58.40456718, -7175.02088326, 3780.97256295
INFO:root:10760.74828123, 13757.99101811, -50.50386225, -6683.85463479, 3729.04612392
INFO:root:10408.63934236, 13593.15963998, -42.33749263, -6373.02878709, 3684.35419051
INFO:root:10011.48792831, 13453.46442700, -35.57096287, -6011.01940846, 3647.52117492
INFO:root:9648.63330317, 13329.97506345, -28.97922393, -5678.61985522, 3616.81358230
INFO:root:9355.16511579, 13217.51898388, -23.34034104, -5413.24961643, 3590.32431205
INFO:root:9063.21748597, 13123.35039933, -18.01342162, -5144.22563591, 3568.12834644
INFO:root:8838.92194702, 13042.47770701, -13.47311560, -4939.65161026, 3550.55341548
INFO:root:8588.86122416, 12969.98245298, -9.47256057, -4707.33889230, 3534.92858653
INFO:root:8376.62652709, 12910.65687201, -6.57701018, -4510.00633215, 3522.53408483
INFO:root:8196.80750063, 12854.68693397, -3.72107175, -4344.12234407, 3511.10021273
INFO:root:8000.10097855, 12799.27522890, -0.38087802, -4160.69915418, 3499.74372077
INFO:root:7839.88595143, 12759.30972582, 1.52697309, -4010.56591261, 3491.74844185
INFO:root:7719.53405549, 12722.49976985, 3.48134258, -3899.30263661, 3484.26731688
INFO:root:7560.17098712, 12686.11132190, 4.88268173, -3749.45477650, 3476.97990116
INFO:root:7433.80592159, 12660.70688819, 5.71250653, -3629.88120399, 3471.24386383
INFO:root:7307.72032918, 12630.67784634, 6.59015809, -3511.92667310, 3464.95672024
INFO:root:7185.54378125, 12603.50102010, 7.35599175, -3397.13735087, 3458.84272990
INFO:root:7060.55892689, 12580.29599174, 7.68500226, -3278.78498866, 3453.20354641
INFO:root:6946.24728533, 12554.92279558, 7.92201609, -3171.84828646, 3446.75020682
INFO:root:6840.76581583, 12528.55701383, 8.47029301, -3073.72827104, 3440.24498967
INFO:root:6780.71602368, 12499.40583947, 9.70979683, -3021.18434449, 3433.23217773
INFO:root:6681.04191170, 12479.71715764, 9.23107243, -2927.89554551, 3427.45300526
INFO:root:6568.55843860, 12455.55580713, 9.71684475, -2822.17470086, 3420.83417875
INFO:root:6497.29397825, 12429.43369949, 10.06486222, -2758.39886542, 3413.96508789
INFO:root:6411.24675061, 12403.30436405, 10.32840027, -2679.92689684, 3406.90321302
INFO:root:6317.38347786, 12380.36010276, 10.80630978, -2592.46899083, 3400.16552890
INFO:root:6250.41598226, 12351.42222955, 11.27063157, -2533.71852536, 3392.55003794
INFO:root:6188.74989147, 12330.77017192, 11.18050118, -2478.33820351, 3385.66614469
INFO:root:6140.59367993, 12305.70162595, 10.77850412, -2438.10453253, 3378.11714551
INFO:root:6060.04657138, 12280.50799288, 11.27736870, -2364.61664751, 3370.45089974
INFO:root:5988.59740740, 12254.94105170, 11.08486436, -2301.03008057, 3362.52594888
INFO:root:5923.10327811, 12228.92938271, 11.44628386, -2242.97802930, 3354.41343271
INFO:root:5858.69091003, 12203.23345442, 11.59589085, -2186.12482879, 3346.28666619
INFO:root:5802.69307700, 12179.70685709, 11.41374895, -2137.36712128, 3337.99130890
INFO:root:5763.64520230, 12152.99229946, 11.51438403, -2106.23298251, 3329.32890874
INFO:root:5704.97997767, 12125.30793441, 11.92240505, -2055.46504466, 3320.45743089
INFO:root:5677.33476618, 12096.70762216, 11.98977999, -2036.33255181, 3311.25901921
INFO:root:5580.07495572, 12070.34718974, 11.84777278, -1947.12286793, 3302.11191437
INFO:root:5555.18963145, 12042.37117461, 12.26453311, -1930.21359922, 3292.70517143
INFO:root:5504.76996344, 12018.28858977, 11.94101639, -1887.34222906, 3283.58487541
INFO:root:5457.70354842, 11989.00574741, 12.25458941, -1848.74709409, 3273.68941891
INFO:root:5425.54471938, 11960.54156300, 12.47936266, -1824.90274305, 3263.75903631
INFO:root:5373.93051788, 11933.20754752, 12.48785235, -1781.48024171, 3253.99485439
INFO:root:5336.63910168, 11907.57821830, 12.49402061, -1751.87147068, 3244.16587256
INFO:root:5285.82950462, 11879.95270825, 12.30015608, -1709.54339824, 3233.93798206
INFO:root:5246.67975253, 11848.59652418, 12.85006989, -1679.25058442, 3223.29622500
INFO:root:5207.34208523, 11821.81531772, 12.98265381, -1647.81469327, 3213.10653861
INFO:root:5183.43450671, 11791.24034634, 12.78391969, -1633.27834691, 3202.39692756
INFO:root:5138.87727193, 11761.39561978, 13.06146110, -1597.39697579, 3191.70496772
INFO:root:5114.31218737, 11731.52880548, 13.01151084, -1581.84188389, 3180.83168914
INFO:root:5080.99864597, 11700.55918466, 13.10048216, -1557.73025300, 3169.94239525
INFO:root:5054.31218964, 11668.03579692, 13.30635359, -1540.59495269, 3158.73386339
INFO:root:5013.60781017, 11636.34664237, 13.40956939, -1509.29408946, 3147.59816630
INFO:root:4985.45247620, 11602.69837281, 13.74600039, -1490.89683235, 3136.22626393
INFO:root:4955.61131991, 11565.98898413, 13.95511356, -1471.85935901, 3124.35505667
INFO:root:4916.65413757, 11530.24972009, 14.18684143, -1443.39222910, 3112.62811318
INFO:root:4896.76955661, 11491.95527095, 14.47351748, -1434.70931763, 3100.50291569
INFO:root:4867.33855566, 11449.93049612, 15.20204328, -1417.15721205, 3087.99373787
INFO:root:4840.25990995, 11404.29206683, 15.32740978, -1403.64473777, 3074.85441599
INFO:root:4820.71621958, 11356.47951707, 15.92728221, -1397.84493767, 3061.44738536
INFO:root:4775.38729436, 11304.29451135, 16.76021936, -1367.33856731, 3047.37569199
INFO:root:4748.39355642, 11246.51307474, 17.29223678, -1357.14723252, 3032.49314074
INFO:root:4726.37268718, 11183.04242760, 18.33745415, -1353.12236840, 3016.69850499
INFO:root:4711.93720520, 11111.83166426, 19.15428746, -1359.23325137, 2999.57673324
INFO:root:4672.75139153, 11030.60505200, 20.59879349, -1342.97092060, 2980.85494470
INFO:root:4644.60024849, 10943.37365645, 22.00930197, -1339.57870969, 2961.21871579
INFO:root:4622.22319175, 10841.13396323, 23.67838348, -1346.20447067, 2938.81813078
INFO:root:4598.46747549, 10721.85374577, 25.95161438, -1355.95959612, 2913.61515196
INFO:root:4574.82791509, 10582.85152518, 28.48033887, -1371.49197293, 2884.76618170
INFO:root:4539.97868756, 10415.01508385, 31.80637293, -1383.66766173, 2850.33616609
INFO:root:4532.78489598, 10208.41018113, 35.70885263, -1434.55287997, 2808.34903246
INFO:root:4537.42233270, 9960.04499030, 40.41389191, -1508.99484091, 2757.51715360
INFO:root:4539.20303763, 9690.36382240, 45.99257684, -1586.10122632, 2700.41183413
INFO:root:4468.70926616, 9421.65834619, 52.46907814, -1589.74258902, 2640.70886775
INFO:root:4426.84048595, 9168.66123233, 59.64817868, -1616.59385105, 2583.12366422
INFO:root:4333.97464292, 8939.43491242, 67.15717240, -1584.98689194, 2530.57922908
INFO:root:4295.60988276, 8743.38395701, 74.51017722, -1598.08441439, 2485.13567221
INFO:root:4229.12834737, 8574.53968451, 81.60717098, -1575.15916974, 2446.37049195
INFO:root:4177.66312761, 8424.76006419, 88.91014867, -1561.32486222, 2411.82508802
INFO:root:4151.60317734, 8292.16068807, 95.61020869, -1568.34466663, 2380.44193807
INFO:root:4106.30248433, 8168.58131904, 101.86417165, -1553.86382272, 2351.02726755
INFO:root:4087.80865871, 8057.33128172, 108.25929921, -1562.34988116, 2324.51560167
INFO:root:4073.14868643, 7953.32873768, 113.74068796, -1573.40928089, 2298.27604685
INFO:root:4040.93001292, 7857.51809129, 119.24514197, -1564.42934115, 2274.20636414
INFO:root:4025.29252997, 7764.73734512, 124.60421345, -1571.26702116, 2250.97956527
INFO:root:3927.75765339, 7670.01432810, 129.70673832, -1497.04652306, 2226.54158943
INFO:root:3815.01737868, 7577.19102371, 134.54293619, -1407.31702942, 2202.69276846
