INFO:root:Namespace(K=3, a_dim=2, batch_size=32, clip=150, device=device(type='cuda'), epochs=100, learning_rate=0.0001, model='KVAE', save_every=10, scale=0.3, subdirectory='finetuned1', x_dim=1, z_dim=4)
INFO:root:Starting KVAE training for 100 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF
INFO:root:-13214.20328132, 7620.13385486, -32.36970630, 15467.87382870, 1856.93488674
INFO:root:-15196.66615939, 7273.54627590, -33.98146119, 17344.74867979, 2329.97549287
INFO:root:-15449.85285191, 7184.88615082, -35.36540692, 17569.95338634, 2374.86488505
INFO:root:-15865.54993900, 7159.55115179, -38.61616112, 17974.79922259, 2708.75226696
INFO:root:-17186.04063321, 7139.80652288, -45.01047427, 19282.97222146, 2913.62239324
INFO:root:-17812.25074347, 7144.31538121, -55.82922712, 19899.71623523, 2949.13146670
INFO:root:-17822.71576873, 7081.64532947, -56.46647727, 19890.74298522, 2582.78372863
INFO:root:-17788.14141365, 7054.59176398, -58.77998075, 19845.73905432, 2803.17399478
INFO:root:-17624.91081960, 7050.62090675, -61.56002065, 19678.53716973, 2835.30080982
INFO:root:-17438.90142439, 7023.63147059, -62.55526882, 19483.43568156, 2828.25609486
INFO:root:-17649.60663427, 6998.62585189, -65.06509846, 19684.12938912, 2711.84699092
INFO:root:-17711.11629160, 6983.34060561, -68.25479970, 19737.86377314, 2741.53812273
INFO:root:-17211.30921273, 6981.63936794, -73.18470464, 19232.61640873, 2630.91970674
INFO:root:-17303.49935624, 6965.97996142, -75.81157641, 19317.48185820, 2607.08699804
INFO:root:-17671.31537165, 6946.60939405, -81.14484435, 19674.15342980, 2474.23998417
INFO:root:-17861.34147186, 6923.85401776, -86.76872059, 19851.72904857, 2359.41798000
INFO:root:-17897.33525766, 6899.35832398, -90.24329801, 19876.89954457, 2164.22079792
INFO:root:-17942.87705947, 6880.40746897, -102.27736139, 19904.72202195, 2056.25855012
INFO:root:-17964.83559298, 6840.79183116, -109.26265741, 19907.81056987, 1960.02220511
INFO:root:-17972.54388814, 6900.88542013, -133.78814830, 19909.02145620, 1964.53345376
INFO:root:-18022.15057686, 6794.12587960, -149.93638600, 19910.45204378, 1945.23718521
INFO:root:-18021.19081523, 6789.85525924, -147.81274533, 19910.33473223, 1917.03136428
INFO:root:-18020.50579672, 6790.16175961, -147.06082732, 19910.49358579, 1889.08396706
INFO:root:-18011.69837715, 6789.06559245, -137.71361195, 19910.70452828, 1856.07191630
INFO:root:-18007.37628577, 6791.11177831, -133.74140914, 19910.96849647, 1823.92766209
INFO:root:-18006.25463897, 6792.22128144, -132.69388423, 19911.22722163, 1789.98738347
INFO:root:-18008.65802750, 6789.39620387, -133.89412749, 19911.58285167, 1750.53277934
INFO:root:-17975.20009524, 6963.83858842, -152.73981530, 19911.61194446, 1754.34692513
INFO:root:46754.84577569, 223223.73357851, -303.58320185, 19908.69418891, 72820162183.85514832
INFO:root:44611.10296313, 215954.13098404, -266.00844644, 19909.13035912, 118011947.81560284
INFO:root:42777.72248326, 209847.19841534, -267.26256697, 19909.17674380, 85150196.28368795
INFO:root:33294.12508285, 178231.65795379, -266.05482061, 19909.31959246, 28785770.68262411
INFO:root:-8703.01216897, 38229.15615996, -262.42177674, 19909.33771404, 154365.66835660
INFO:root:-13473.73062726, 22318.42522025, -259.95313561, 19909.30533949, 112121.62139849
INFO:root:-14494.11628907, 18914.55361397, -259.32483370, 19909.15776701, 110067.74119016
INFO:root:-15734.15516293, 14769.77286611, -255.98634555, 19909.10083039, 107196.70963542
INFO:root:-16088.81235734, 13582.87126344, -254.48221410, 19909.19168261, 105947.54640403
INFO:root:-15853.20546463, 14370.69813137, -255.25135316, 19909.16372091, 107121.30316379
INFO:root:-16798.99943489, 11197.86184065, -249.06115566, 19909.29697046, 104080.35328014
INFO:root:-16757.67967583, 11339.97614694, -250.40618150, 19909.26647128, 103544.48359929
INFO:root:-16601.84914486, 11866.77348252, -252.59887933, 19909.28247196, 103199.06338652
INFO:root:-16241.44320502, 13079.55253352, -256.00076375, 19909.30836580, 103491.04706893
INFO:root:-16921.04551574, 10802.14270626, -252.26514965, 19909.42331643, 100620.60882092
INFO:root:-16211.24359842, 13190.63695077, -259.39998291, 19909.03485212, 101921.04903590
INFO:root:-16964.91759363, 10664.57963833, -255.65036444, 19908.64125848, 98915.21512079
INFO:root:-17234.32160251, 9744.21232616, -248.73398244, 19908.85141191, 97300.40868794
INFO:root:-17230.76788894, 9745.00785059, -245.14098823, 19909.12935904, 97250.48323914
INFO:root:-17238.07877558, 9739.33718764, -250.87137036, 19909.00866394, 97220.57227948
INFO:root:-17011.18763241, 10515.50924271, -256.69419828, 19909.14632936, 97535.07305519
INFO:root:-17252.42478120, 9680.98596451, -247.00673740, 19909.71394153, 95437.08441379
INFO:root:-17258.68283710, 9677.61904366, -252.56088246, 19909.40776593, 95360.45046543
INFO:root:-17246.33677270, 9675.65936669, -239.59818663, 19909.43649029, 95289.98916777
INFO:root:-17237.91362661, 9675.67558386, -231.21460248, 19909.40179444, 95197.85128546
INFO:root:-17233.58741941, 9680.77464608, -228.46268993, 19909.35722337, 95089.51324246
INFO:root:-17238.50992246, 9680.89035489, -233.49928570, 19909.27785208, 94947.38489029
INFO:root:-17084.60580248, 10252.63847795, -251.32692334, 19909.07053195, 95769.59909685
INFO:root:20658.93123322, 136175.46917941, -285.02662605, 19908.68456389, 93920692.28850842
INFO:root:-12182.83627660, 26644.88883810, -267.74569085, 19908.55754592, 297162.92564273
INFO:root:-14011.20886076, 20516.47058538, -257.67545616, 19908.47482687, 268354.78468528
INFO:root:-14339.93697510, 19414.37831754, -255.89211133, 19908.35856267, 265766.95523050
INFO:root:-14346.06980500, 19403.20808400, -258.51724503, 19908.51519368, 265704.78734486
INFO:root:-14346.39151064, 19397.24281776, -257.14510318, 19908.41945522, 265699.14550089
INFO:root:-14347.01112624, 19392.28854998, -256.15407578, 19908.54382030, 265694.39671986
INFO:root:-14350.22979527, 19377.92070451, -254.90283706, 19908.70335017, 265684.83865248
INFO:root:-14350.22277870, 19377.98581560, -255.01383734, 19908.60488475, 265679.29377216
INFO:root:-14349.33583367, 19387.43887134, -256.99196035, 19908.57573041, 265674.25000000
INFO:root:-14346.09670854, 19390.10756732, -254.35300711, 19908.77617267, 265666.20401152
INFO:root:-14343.08761851, 19390.15582059, -251.68203757, 19908.45253256, 265653.50753546
INFO:root:-14341.16196701, 19385.36331588, -248.53975667, 19908.23139645, 265635.48282358
INFO:root:-14334.77251627, 19381.93752078, -241.10741733, 19908.24654386, 265610.92575355
INFO:root:-14336.53893513, 19384.10010112, -243.47141358, 19908.29778653, 265580.73226950
INFO:root:-14338.34537734, 19381.21557098, -244.51554200, 19908.19471834, 265538.39350621
INFO:root:-13044.02690875, 23741.20909519, -257.19324915, 19909.19670422, 333502.32402482
INFO:root:-14145.42953810, 19991.62447363, -232.15406978, 19910.76303939, 328042.93617021
INFO:root:-14151.52759060, 19933.85003186, -220.80040584, 19910.88239792, 327670.01551418
INFO:root:-14159.66405522, 19913.70254322, -222.95466138, 19910.82037967, 327635.88508422
INFO:root:-14159.54127661, 19908.02974014, -221.19845576, 19910.75197343, 327597.03523936
INFO:root:-14155.91802518, 19922.19562417, -221.83155374, 19910.74537101, 327548.90547429
INFO:root:-14153.37315577, 19918.31370512, -218.01143760, 19910.85603996, 327474.23348848
INFO:root:-14150.12415603, 19916.00786098, -214.18264651, 19910.74409488, 327378.10738032
INFO:root:-14148.76376173, 19916.57126828, -213.14341211, 19910.59194214, 327263.29909131
INFO:root:-14147.42772022, 19916.30098210, -211.85962282, 19910.45861180, 327112.41533688
INFO:root:-14148.90217404, 19919.83230136, -214.50533273, 19910.34676104, 326917.43605940
INFO:root:-14148.01574596, 19916.70211381, -212.61897456, 19910.40761071, 326674.11879433
INFO:root:-14142.25897965, 19915.55565714, -206.53086501, 19910.39500927, 326361.42907801
INFO:root:-14136.80230826, 19931.11244321, -205.81038947, 19910.32586004, 325920.23049645
INFO:root:-14136.88838581, 19923.45986397, -203.75191146, 19910.17465715, 325313.41456117
INFO:root:-14129.72022857, 19918.97550283, -195.30818544, 19910.10490762, 324565.29510195
INFO:root:-14125.33314830, 19925.20824330, -192.79780828, 19910.09802529, 323542.91300975
INFO:root:-14122.11755308, 19925.51628297, -189.59069424, 19910.18196119, 322298.86391844
INFO:root:-14118.78693097, 19928.26569426, -187.30466440, 19909.96219104, 320704.24778369
INFO:root:-14118.23654746, 19922.20944842, -184.73471556, 19910.16487747, 318857.62721631
INFO:root:-14118.40099019, 19920.84594553, -184.48123564, 19910.17375587, 316507.86691046
INFO:root:-14117.35273042, 19927.78303690, -185.52763686, 19910.16022813, 313787.64694149
INFO:root:-14114.56771967, 19922.09298122, -181.13319992, 19910.06264293, 310340.49191046
INFO:root:-14115.78107233, 19920.68583084, -181.89234675, 19910.09467875, 306452.19281915
INFO:root:-14115.89730761, 19925.53722712, -183.46933887, 19910.08935798, 301298.72972074
INFO:root:-14115.81285052, 19927.57119902, -183.69008723, 19910.39434674, 295500.47140957
INFO:root:-14108.45845449, 19928.91943013, -176.25288131, 19910.88162291, 288886.94736259
INFO:root:-14106.43395443, 19934.70888741, -176.02769822, 19910.81912696, 281067.86136968
INFO:root:Finished training.
INFO:root:Saved model. Final Checkpoint saves/kvae/finetuned1/scale=0.3/kvae_state_dict_scale=0.3_99.pth
