INFO:root:Namespace(K=3, a_dim=2, batch_size=32, clip=150, device=device(type='cuda'), epochs=150, learning_rate=0.0001, model='KVAE', save_every=10, scale=0.5, subdirectory='finetuned2', x_dim=1, z_dim=4)
INFO:root:Loaded State Dict from saves/kvae/finetuned2/scale=0.3/kvae_state_dict_scale=0.3_80.pth.
INFO:root:Starting KVAE training for 150 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:3388.37396953, 6830.02045240, 18.27884347, 44.91510077, 1835.01220746
INFO:root:3386.29364880, 6825.81156672, 18.26240202, 44.87454159, 1834.65075034
INFO:root:3385.67146112, 6824.61588542, 18.26978427, 44.90626650, 1836.77139693
INFO:root:3387.91259271, 6829.06893423, 18.27546154, 44.89732650, 1838.41689176
INFO:root:3385.39903741, 6824.07001122, 18.24428958, 44.88026033, 1836.97992030
INFO:root:3387.08677143, 6827.50259724, 18.27915159, 44.94367429, 1839.01841400
INFO:root:3387.49221235, 6828.23460875, 18.27164263, 44.89673224, 1839.44360741
INFO:root:3384.77199440, 6822.86926183, 18.27332675, 44.93596320, 1839.98045533
INFO:root:3384.32392109, 6821.95933760, 18.28621016, 44.94195584, 1843.19876943
INFO:root:3385.46621455, 6824.17994896, 18.25227376, 44.87603685, 1848.21991573
INFO:root:3383.52477647, 6820.37895819, 18.27135696, 44.93606147, 1849.24919269
INFO:root:3385.61338053, 6824.52496987, 18.26791060, 44.91701844, 1847.43201636
INFO:root:3385.26416374, 6823.79753124, 18.24223548, 44.87683700, 1847.50083068
INFO:root:3384.22823377, 6821.64165178, 18.24552395, 44.83811274, 1850.43740130
INFO:root:3383.05916338, 6819.45504003, 18.27550168, 44.94385288, 1849.74199098
INFO:root:3384.49822094, 6822.29000270, 18.27657563, 44.92335365, 1849.57112890
INFO:root:3384.81928949, 6822.96364382, 18.25745054, 44.91998564, 1849.43147440
INFO:root:3384.22876877, 6821.71177208, 18.27801089, 44.90512851, 1849.00527673
INFO:root:3384.54189797, 6822.42812916, 18.27539230, 44.94755377, 1847.35572025
INFO:root:3383.36302460, 6820.01823956, 18.28297708, 44.92908100, 1847.70033903
INFO:root:3381.83975746, 6816.96750332, 18.26731215, 44.91130481, 1848.74210482
INFO:root:3383.58497449, 6820.41474644, 18.27752673, 44.89992948, 1847.83059671
INFO:root:3383.64205759, 6820.64668696, 18.26647096, 44.94776019, 1848.40690710
INFO:root:3381.68935188, 6816.66911673, 18.26532288, 44.91052501, 1848.98598096
INFO:root:3383.48458706, 6820.29976833, 18.27106280, 44.93636246, 1848.69161057
INFO:root:3384.87325705, 6823.13984236, 18.27150045, 44.96816842, 1847.59317991
INFO:root:3382.47003084, 6818.21233655, 18.27211604, 44.90825294, 1847.65504142
INFO:root:3382.68778250, 6818.69984382, 18.26227225, 44.92440878, 1847.03972956
INFO:root:3382.90176877, 6819.09079607, 18.25401169, 44.89764201, 1846.50225181
INFO:root:3384.24600513, 6821.81826761, 18.27391641, 44.93704320, 1845.98546281
INFO:root:3383.86260366, 6821.01457052, 18.25825052, 44.90293477, 1847.96041156
INFO:root:3382.68579621, 6818.70489632, 18.28450174, 44.95115456, 1846.43382058
INFO:root:3382.48566295, 6818.26066081, 18.27080548, 44.91547655, 1847.54093338
INFO:root:3381.42786558, 6816.18945312, 18.27196717, 44.93882931, 1847.40089406
INFO:root:3382.92760824, 6819.15113517, 18.28804270, 44.93599420, 1845.50096271
INFO:root:3381.66029685, 6816.61407081, 18.28010853, 44.92684057, 1845.76648728
INFO:root:3383.00524721, 6819.30915475, 18.24255704, 44.89189427, 1847.18448417
INFO:root:3382.50976880, 6818.34917477, 18.28515457, 44.94997311, 1845.16498842
INFO:root:3382.77243310, 6818.84099173, 18.26790092, 44.91596468, 1845.44007387
INFO:root:3383.21868030, 6819.75905918, 18.26283432, 44.92368399, 1844.38308045
INFO:root:3382.63232434, 6818.61895709, 18.28386404, 44.96101444, 1850.42788934
INFO:root:3381.90427883, 6817.20378297, 18.27193278, 44.96954809, 1849.93856790
INFO:root:3382.36553876, 6818.09361148, 18.27711497, 44.95838737, 1847.47897707
INFO:root:3381.25397654, 6815.81819142, 18.26853082, 44.92364615, 1848.39694755
INFO:root:3382.31741545, 6817.99915157, 18.28176342, 44.96391939, 1848.11345353
INFO:root:3381.41081969, 6816.09479582, 18.26420159, 44.90077387, 1847.44193782
INFO:root:3382.15982041, 6817.67680629, 18.29105132, 44.96963473, 1846.61289469
INFO:root:3380.68776266, 6814.73084622, 18.28869596, 44.96635674, 1847.21193138
INFO:root:3381.98243275, 6817.25171072, 18.25881725, 44.90224803, 1847.66703418
INFO:root:3381.28651219, 6815.89676834, 18.28432685, 44.94619365, 1848.22133122
