INFO:root:Namespace(K=3, a_dim=2, batch_size=32, clip=150, device=device(type='cuda'), epochs=150, learning_rate=0.0001, model='KVAE', save_every=10, scale=0.3, subdirectory='finetuned2', x_dim=1, z_dim=4)
INFO:root:Starting KVAE training for 150 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF
INFO:root:8004.45081340, 7604.66783716, -8.53212717, -5731.58249913, 2119.82501091
INFO:root:5969.06031664, 7308.47653133, 17.22972226, -3759.28754403, 2541.77247912
INFO:root:4943.46054182, 7250.54809397, 18.04233492, -2750.25367333, 2611.21101975
INFO:root:4249.93582718, 7236.02059266, 18.09824742, -2061.03129482, 2940.39068863
INFO:root:4517.09916534, 7218.08761532, 18.15051761, -2333.52226321, 3060.40349649
INFO:root:4322.13333148, 7196.76512287, 18.18245284, -2144.92124903, 3065.62745526
INFO:root:3881.11332059, 7190.45050352, 18.19582907, -1705.78223776, 2747.68712470
INFO:root:3613.80366198, 7160.28062320, 18.20307475, -1447.51629807, 2891.87877899
INFO:root:3398.79023550, 7153.07932839, 18.23091059, -1234.63542653, 3295.10370869
INFO:root:3227.19168403, 7125.68337558, 18.19848690, -1071.28808192, 3404.76277453
INFO:root:3084.44867057, 7093.37673669, 18.25209801, -938.18345680, 3319.87242267
INFO:root:2972.72512847, 7082.11781257, 18.21235649, -829.87734106, 3370.85461642
INFO:root:2878.24815341, 7074.55167990, 18.21181929, -737.67073702, 3276.29916100
INFO:root:2793.30603953, 7068.76634184, 18.23164058, -654.44440363, 3237.88396005
INFO:root:2711.83451054, 7040.71055830, 18.19736851, -581.42388290, 3193.07629784
INFO:root:2644.95393060, 7037.80081761, 18.22066396, -515.39292531, 3338.60536789
INFO:root:2592.63279666, 7031.22245020, 18.25572299, -465.01025062, 3093.59840945
INFO:root:2534.70800979, 7015.14016096, 18.22610253, -411.93976071, 2860.82104449
INFO:root:2485.22560880, 7008.18374612, 18.23494406, -364.53544447, 2713.17782398
INFO:root:2444.04587217, 7003.11705937, 18.20381478, -324.90685010, 2752.92700239
INFO:root:2403.16531269, 6988.07069343, 18.22228231, -288.52173203, 2662.67853389
INFO:root:2359.66256658, 6967.69758595, 18.24738622, -251.10581254, 2592.07970759
INFO:root:2326.69608976, 6955.00912844, 18.24599823, -221.94726025, 2470.92399868
INFO:root:2297.18097155, 6950.14102498, 18.24996529, -193.88861229, 2373.23560003
INFO:root:2268.14950120, 6938.13057541, 18.25758714, -168.45265719, 2286.12311267
INFO:root:2239.17908577, 6932.47599284, 18.24245792, -141.19374806, 2205.53624146
INFO:root:2213.76138401, 6913.34582087, 18.23854704, -121.51899912, 2174.33684567
INFO:root:2193.08443628, 6905.95868483, 18.23217801, -103.06456652, 2120.68123589
INFO:root:2169.93560103, 6894.85561073, 18.22968369, -83.24913949, 2090.98255347
INFO:root:2151.89041903, 6889.15619113, 18.23919276, -66.90427357, 2068.97254240
INFO:root:2135.85857423, 6882.37794527, 18.25577865, -52.88932427, 2036.25541611
INFO:root:2118.58330651, 6870.42594920, 18.26053786, -39.19489869, 2016.42778632
INFO:root:2104.53958502, 6867.56768409, 18.24101453, -26.02817577, 1994.05259283
INFO:root:2092.07857155, 6859.77343404, 18.24278230, -15.90366860, 1986.44944125
INFO:root:2081.38514063, 6856.84023680, 18.24920891, -6.08377067, 1976.96676311
INFO:root:2071.99467541, 6853.31555262, 18.24008641, 2.24016926, 1969.56894765
INFO:root:2064.42138667, 6855.53272177, 18.24198428, 10.48050083, 1958.35062403
INFO:root:2058.04102902, 6854.82731986, 18.26721730, 16.67446793, 1944.14915564
INFO:root:2053.29337023, 6857.00918904, 18.23728735, 22.04676701, 1925.57187647
INFO:root:2047.92155360, 6855.55460612, 18.26002546, 27.00495055, 1911.08396706
INFO:root:2044.12372678, 6856.79392453, 18.25507309, 31.16961943, 1895.95030656
INFO:root:2040.73085058, 6857.17595440, 18.26944733, 34.69147808, 1885.62423511
INFO:root:2037.60129868, 6856.34063158, 18.25093027, 37.55190909, 1874.58262472
INFO:root:2035.37502769, 6855.85049417, 18.25526647, 39.63547598, 1863.88961381
INFO:root:2034.25780327, 6857.41234832, 18.25144833, 41.21743940, 1859.61913370
INFO:root:2032.08554558, 6854.54774421, 18.24720603, 42.52606868, 1857.24714607
INFO:root:2031.17779801, 6854.33103737, 18.26478992, 43.38638760, 1851.29311290
INFO:root:2029.33704758, 6850.24294763, 18.26584023, 44.00176549, 1847.89389319
INFO:root:2028.70112333, 6849.30105309, 18.23200703, 44.32129303, 1847.07656579
INFO:root:2028.06625070, 6848.03468875, 18.26939234, 44.61364155, 1845.84546548
INFO:root:2029.06465254, 6851.70532053, 18.24056223, 44.68758715, 1842.10149454
INFO:root:2028.23279177, 6849.33829753, 18.27253200, 44.84131703, 1840.06061830
INFO:root:2026.54952654, 6843.69274643, 18.24969812, 44.80808104, 1839.39885089
INFO:root:2025.97790820, 6841.74035385, 18.23242522, 44.77670017, 1840.47131521
INFO:root:2026.00684626, 6842.09348681, 18.27144144, 44.89272667, 1840.35054135
INFO:root:2025.94216130, 6841.74839144, 18.25347880, 44.83591184, 1839.36150560
INFO:root:2027.14439349, 6845.81946753, 18.25514712, 44.85668306, 1838.71327329
INFO:root:2026.25197918, 6842.93405952, 18.25504444, 44.88336822, 1844.07632814
INFO:root:2024.71695321, 6837.73232491, 18.23606634, 44.83889223, 1850.21391004
INFO:root:2024.60576011, 6837.46967115, 18.27280797, 44.90803730, 1848.40926280
INFO:root:2024.76540323, 6837.97283286, 18.25262166, 44.87915789, 1848.81867451
INFO:root:2024.58670882, 6837.36476860, 18.26197603, 44.88478560, 1847.20729011
INFO:root:2024.04893549, 6835.62078554, 18.25392128, 44.89131196, 1847.29964582
INFO:root:2023.11904358, 6832.48803538, 18.25284119, 44.88029715, 1846.21551860
INFO:root:2024.22286545, 6836.09126184, 18.26342716, 44.86802152, 1843.98283527
INFO:root:2024.95210756, 6838.49896803, 18.26853349, 44.86619857, 1845.60089458
INFO:root:2024.72460738, 6837.75892585, 18.25349458, 44.85664513, 1847.83326148
INFO:root:2024.41116030, 6836.67758374, 18.26999052, 44.86218673, 1847.65013090
INFO:root:2024.07185443, 6835.70362713, 18.26692695, 44.90625126, 1845.67769368
INFO:root:2022.99326238, 6831.78754917, 18.23840624, 44.78149062, 1845.66888038
INFO:root:2023.48234457, 6833.69486924, 18.25983067, 44.88603506, 1844.67514233
INFO:root:2024.21048223, 6836.07615802, 18.26190816, 44.87435318, 1843.37566749
INFO:root:2022.20625587, 6829.32990498, 18.25436451, 44.84716244, 1844.41377334
INFO:root:2023.43127337, 6833.64748691, 18.28139131, 44.94445083, 1845.16123281
INFO:root:2025.30880692, 6839.78394247, 18.23741966, 44.86388101, 1843.47986922
INFO:root:2023.69637852, 6834.34391276, 18.26308286, 44.86995977, 1841.30584457
INFO:root:2021.99999946, 6828.89921148, 18.27710497, 44.94695753, 1842.02089956
INFO:root:2023.15623101, 6832.71222746, 18.26843544, 44.92595608, 1842.36149738
INFO:root:2023.30157775, 6833.18369071, 18.27100441, 44.92461378, 1841.22701139
INFO:root:2021.78810578, 6827.92333638, 18.24283811, 44.83181358, 1841.93005025
INFO:root:2022.66539938, 6831.10366626, 18.26820639, 44.93399399, 1840.83308573
INFO:root:2022.01327354, 6828.85251309, 18.27250851, 44.91507552, 1840.84106489
INFO:root:2022.95110695, 6832.05833922, 18.26466761, 44.93114931, 1839.45846276
INFO:root:2022.71556464, 6831.20643908, 18.27306482, 44.91951872, 1838.87564628
INFO:root:2022.24241488, 6829.59161853, 18.26282191, 44.89797897, 1838.76582758
INFO:root:2023.04263459, 6832.18822896, 18.25454199, 44.86845927, 1840.04765937
INFO:root:2021.82272589, 6828.27167138, 18.27530170, 44.93415896, 1839.21518485
INFO:root:2021.75845272, 6827.95439592, 18.26119850, 44.88915540, 1838.44819414
INFO:root:2022.31050957, 6829.89696054, 18.26957774, 44.92823572, 1838.42738894
INFO:root:2021.44192683, 6826.95289471, 18.26866943, 44.91269219, 1838.56839487
INFO:root:2021.89995933, 6828.56458472, 18.27190690, 44.94140035, 1838.24040060
INFO:root:2022.40385763, 6830.11997174, 18.26248673, 44.89472073, 1840.45719228
INFO:root:2021.10600470, 6825.74673267, 18.24540240, 44.86350456, 1844.59240809
INFO:root:2021.46771315, 6827.03603239, 18.27418946, 44.91737410, 1846.31460983
INFO:root:2020.80789645, 6824.92697079, 18.26651159, 44.93679176, 1850.22825201
INFO:root:2020.56644967, 6824.05584414, 18.26583364, 44.91622240, 1849.75089821
INFO:root:2020.76911780, 6824.53700375, 18.25700447, 44.84907094, 1848.33535139
INFO:root:2021.25339917, 6826.38201428, 18.27354508, 44.93482935, 1848.50801162
INFO:root:2020.76604307, 6824.58058026, 18.25633050, 44.86454403, 1848.09979161
INFO:root:2020.83027993, 6824.94839110, 18.26368048, 44.91800329, 1848.43112421
INFO:root:2020.33797786, 6823.17642017, 18.27642729, 44.89147191, 1847.08751186
INFO:root:2020.97883729, 6825.54167532, 18.27505107, 44.95880253, 1846.63884373
INFO:root:2021.52123852, 6827.17946760, 18.28383010, 44.91652553, 1846.31626730
INFO:root:2020.59487469, 6824.21740117, 18.27189201, 44.94232472, 1847.15542494
INFO:root:2020.46098328, 6823.64894656, 18.25837028, 44.89216396, 1844.83499384
