INFO:root:Namespace(K=3, a_dim=2, batch_size=32, clip=150, device=device(type='cuda'), epochs=150, learning_rate=1e-05, model='KVAE', save_every=10, scale=0.1, subdirectory='finetuned3', x_dim=1, z_dim=4)
INFO:root:Loaded State Dict from saves/kvae/finetuned2/scale=0.5/kvae_state_dict_scale=0.5_40.pth.
INFO:root:Starting KVAE training for 150 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:654.25506769, 6809.86584040, 18.30210688, 45.03363488, 1850.28759852
INFO:root:653.84565877, 6805.67164471, 18.28429610, 45.00581391, 1848.63733300
INFO:root:653.97207366, 6806.91560353, 18.29234972, 45.01184964, 1849.51168672
INFO:root:654.32924013, 6810.45516297, 18.28144445, 44.99773235, 1851.61899561
INFO:root:653.89124816, 6806.48688740, 18.29050149, 45.04795174, 1850.74202690
INFO:root:654.10179277, 6808.54380852, 18.29394025, 45.04653976, 1851.70782947
INFO:root:654.11399185, 6808.46010985, 18.29579865, 45.02783112, 1851.84893366
INFO:root:654.01470521, 6807.57189335, 18.27732646, 45.01981969, 1851.68222977
INFO:root:653.87252053, 6805.99269310, 18.29562120, 45.02238039, 1851.11239170
INFO:root:654.00172831, 6807.52911334, 18.28503751, 45.03623058, 1851.51893778
INFO:root:653.92462322, 6806.77294576, 18.29880277, 45.05148563, 1851.08640370
INFO:root:653.88206672, 6806.33405537, 18.28783190, 45.03918321, 1851.05876127
INFO:root:653.82103759, 6805.80432042, 18.27023049, 45.02963861, 1850.31130960
INFO:root:654.12683442, 6808.63134073, 18.29408431, 45.03039733, 1851.43787400
INFO:root:653.82932344, 6805.75660565, 18.28444354, 45.03079350, 1850.63165283
INFO:root:653.93304373, 6806.76674874, 18.28537909, 45.02902314, 1850.95300986
INFO:root:654.14589162, 6808.86364486, 18.28516346, 45.02564747, 1851.21158421
INFO:root:654.09064835, 6807.91515680, 18.28430868, 44.98518783, 1850.86421626
INFO:root:653.85871769, 6806.18869127, 18.29589342, 45.05605819, 1850.43757272
INFO:root:653.94091632, 6806.60934037, 18.28083574, 45.00086826, 1850.71296724
INFO:root:653.80106660, 6805.36737796, 18.27912738, 45.01480938, 1850.32987381
INFO:root:653.95117713, 6806.54305013, 18.30183761, 45.00497907, 1850.56728282
