INFO:root:Namespace(K=3, a_dim=2, batch_size=32, clip=150, device=device(type='cuda'), epochs=100, initial='False', learning_rate=0.0001, model='KVAE', save_every=10, scale=0.3, subdirectory='finetuned1', x_dim=1, z_dim=4)
INFO:root:Loaded State Dict from saves/kvae/finetuned0/scale=0.3/kvae_state_dict_scale=0.3_19.pth.
INFO:root:Starting KVAE training for 100 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:2514.83557041, 6990.40480593, 18.26798073, -399.44605962, 2393.78341134
INFO:root:2450.20620830, 6976.24116592, 18.25943369, -339.07433903, 2394.69315419
INFO:root:2396.94622195, 6966.85706519, 18.25010522, -288.63890777, 2266.56782824
INFO:root:2353.06321725, 6956.78038425, 18.26267601, -247.76632277, 2335.85542070
INFO:root:2316.38856214, 6948.25443262, 18.24099150, -213.67115751, 2438.09303792
INFO:root:2277.96147259, 6936.77095800, 18.26994415, -178.66015111, 2469.15777155
INFO:root:2249.54823466, 6932.50251759, 18.25726711, -151.54011612, 2344.73036573
INFO:root:2221.48964602, 6919.95546425, 18.22766229, -127.27526068, 2289.29243978
INFO:root:2198.13499622, 6915.22531582, 18.28178330, -105.28552796, 2217.78949710
INFO:root:2175.09108375, 6907.35961741, 18.24508123, -84.63802584, 2178.64562123
INFO:root:2153.44080104, 6894.97709061, 18.24769600, -66.69988705, 2130.57936388
INFO:root:2135.30087239, 6884.09280287, 18.23754162, -51.83540357, 2102.11788313
INFO:root:2118.43197983, 6874.37124439, 18.23823161, -37.88228682, 2083.64174311
INFO:root:2105.09212378, 6871.77602781, 18.25640494, -25.30282450, 2056.00384218
INFO:root:2091.81165842, 6863.82219463, 18.24835691, -14.41655838, 2037.49419257
INFO:root:2081.13381284, 6861.34070084, 18.25111094, -4.48040811, 2028.13441933
INFO:root:2072.84576836, 6859.52457336, 18.25667872, 3.26836695, 2013.95487770
INFO:root:2064.04011283, 6856.25930851, 18.27504490, 11.11281487, 2001.86609233
INFO:root:2056.86191197, 6854.44958236, 18.24989060, 17.72293729, 1978.19206075
INFO:root:2051.47521658, 6854.33109624, 18.25225527, 23.07645509, 1962.56421201
INFO:root:2046.27781956, 6852.05346333, 18.24140940, 27.57970144, 1949.01057510
INFO:root:2043.12869379, 6855.64753885, 18.26106488, 31.82671245, 1927.92449908
INFO:root:2040.23527509, 6856.52966568, 18.25337873, 34.97709349, 1913.10712060
INFO:root:2036.37515945, 6852.77043509, 18.25122485, 37.70728563, 1908.04274322
INFO:root:2034.92288314, 6855.00726015, 18.26198006, 39.84136662, 1898.07292749
INFO:root:2034.41070008, 6858.81358045, 18.24862797, 41.48208366, 1884.92492200
INFO:root:2033.38925526, 6858.91669783, 18.25713543, 42.54297061, 1872.86685852
INFO:root:2031.34156484, 6855.01224859, 18.24333477, 43.40552192, 1871.36259601
INFO:root:2030.59016236, 6854.47486390, 18.23709648, 43.98948332, 1864.74015559
INFO:root:2029.61467343, 6852.44752708, 18.25281093, 44.37247716, 1865.38902813
INFO:root:2029.53262144, 6852.87972698, 18.25352556, 44.58490284, 1862.03066779
