INFO:root:Namespace(K=3, a_dim=2, batch_size=32, clip=150, device=device(type='cuda'), epochs=150, initial='False', learning_rate=0.0001, model='KVAE', save_every=10, scale=0.3, subdirectory='v3/finetuned0', x_dim=1, z_dim=4)
INFO:root:Starting KVAE training for 150 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:9831.71771102, 15874.35181876, -6.75163577, -5076.16361309, 4977.94131968
INFO:root:5406.31817797, 8106.98572730, 17.74729192, -2956.47506776, 2189.69303905
INFO:root:4393.24809121, 7742.11553392, 18.87464398, -2051.73868400, 2125.03031846
INFO:root:3839.39307390, 7629.68704808, 19.57396500, -1530.91289518, 2106.71149288
INFO:root:3541.94007087, 7561.20406174, 20.59139738, -1252.98734844, 2091.00516331
INFO:root:3333.32200411, 7473.82731639, 21.67581253, -1069.49789877, 2068.11527896
INFO:root:3195.02086768, 7267.36194627, 23.60857811, -991.20361083, 2021.22780138
INFO:root:3134.55779585, 6905.50899857, 28.18310137, -1034.72189947, 1942.98840895
INFO:root:3223.92957241, 6689.78509392, 33.19165854, -1183.80231108, 1890.76713659
INFO:root:3319.70558223, 6550.90004259, 36.90240696, -1317.53308475, 1848.76768158
INFO:root:3093.33631004, 6434.40999695, 39.39395225, -1123.61928418, 1808.84177480
INFO:root:2897.47775764, 6329.39794749, 41.40313980, -957.25515767, 1771.90921605
INFO:root:2823.58074066, 6238.09020044, 43.07646907, -909.07714261, 1741.84000088
INFO:root:2769.58471584, 6153.10315547, 44.38357583, -879.27012116, 1716.34631910
INFO:root:2675.07260003, 6084.96902011, 45.27588152, -804.30593743, 1698.87878981
INFO:root:2570.74171661, 6026.00682728, 46.17122284, -716.76836863, 1686.00723375
INFO:root:2492.66584444, 5980.09930983, 46.89131219, -651.74466896, 1677.98920630
INFO:root:2415.29262753, 5945.63223418, 47.32344319, -584.27944004, 1672.78196554
INFO:root:2332.89174076, 5914.69468224, 47.85915557, -510.62411286, 1669.45183547
INFO:root:2270.00117692, 5887.02948907, 48.36500614, -455.52725364, 1665.42621239
INFO:root:2210.71933985, 5865.92260396, 48.66989393, -402.27258847, 1663.59834062
INFO:root:2155.57452622, 5845.79787753, 49.08039176, -352.75470027, 1661.69907807
INFO:root:2110.01632420, 5829.64309411, 49.38343363, -311.73989078, 1660.31839660
INFO:root:2068.98919140, 5817.21916729, 49.50856623, -274.31480227, 1659.99889964
INFO:root:2034.14087092, 5802.57039734, 49.72962573, -243.64004889, 1659.15268572
INFO:root:1995.96071089, 5787.23338285, 49.85847980, -209.93213822, 1658.92078892
INFO:root:1963.39158188, 5768.89953180, 50.09487324, -182.62677198, 1658.17573969
INFO:root:1936.02645987, 5749.52842593, 50.44939042, -160.71846392, 1657.12810067
INFO:root:1905.62945909, 5731.95294146, 50.48069763, -135.56280480, 1656.10455192
INFO:root:1879.66906410, 5714.73197169, 50.69850140, -114.55090177, 1655.17819149
INFO:root:1857.50832564, 5699.29379121, 50.80058889, -96.91952987, 1653.91467978
INFO:root:1834.92634058, 5680.12219152, 51.03831961, -79.85129071, 1651.49335453
INFO:root:1813.34201103, 5661.52543218, 51.30067208, -63.58363276, 1648.96751804
INFO:root:1795.82155085, 5645.36905578, 51.59465671, -50.61610003, 1646.33433024
INFO:root:1779.41993881, 5631.61142682, 51.90978069, -38.02666029, 1644.52274663
INFO:root:1763.25477448, 5613.60854561, 52.28495059, -26.88718570, 1641.06239438
INFO:root:1749.47817845, 5603.05250235, 52.64629506, -15.91605678, 1639.07366554
INFO:root:1738.26659867, 5592.91594983, 53.09748498, -7.29425972, 1637.02645376
INFO:root:1727.32566624, 5582.63342372, 53.47149612, 0.93593261, 1634.75631129
INFO:root:1718.37908241, 5573.48441829, 53.94700428, 7.61331677, 1632.91812935
INFO:root:1709.84438506, 5565.70080480, 54.23093017, 14.09686103, 1630.74554573
INFO:root:1702.27671264, 5556.82550698, 54.57696171, 19.34797266, 1628.30838381
INFO:root:1696.15201178, 5552.80271706, 54.78082633, 24.46970227, 1626.97198746
INFO:root:1690.36554852, 5543.36484825, 55.01460104, 27.65857595, 1624.72266101
INFO:root:1684.25834463, 5532.96861148, 55.27170261, 30.90401322, 1621.72565866
INFO:root:1680.41743138, 5527.35980268, 55.74190164, 33.53248169, 1620.16542345
INFO:root:1677.39390231, 5522.93247001, 55.95858294, 35.44448958, 1618.86346003
INFO:root:1673.02350679, 5512.85638817, 56.23515447, 37.06864028, 1616.16735450
INFO:root:1671.57498557, 5510.45878872, 56.55287096, 38.11559476, 1615.14001984
INFO:root:1668.66571238, 5502.42829018, 56.78237402, 38.84522157, 1613.06895717
INFO:root:1666.66461163, 5497.05908030, 57.07137090, 39.52455666, 1611.51205639
INFO:root:1665.28847464, 5492.86807576, 57.29950571, 39.87152664, 1610.55258633
INFO:root:1664.19694704, 5489.70834026, 57.40154099, 40.11717147, 1609.41749302
INFO:root:1663.14904084, 5485.66321407, 57.73823865, 40.28823449, 1608.53293301
INFO:root:1661.27121367, 5479.40240608, 57.91380786, 40.46338686, 1606.86865364
INFO:root:1660.93311601, 5477.89736397, 58.08178835, 40.51795458, 1606.32219593
INFO:root:1659.84152500, 5474.01861010, 58.24121997, 40.60535451, 1605.09637148
INFO:root:1659.10748348, 5471.27882591, 58.37899599, 40.65523261, 1604.48197731
INFO:root:1658.70717241, 5469.59243060, 58.48158537, 40.65221514, 1603.90838363
INFO:root:1657.49096000, 5465.27445042, 58.64698851, 40.73843868, 1602.72421589
INFO:root:1656.85218649, 5463.11421279, 58.65113419, 40.73328134, 1602.17754521
INFO:root:1655.00822349, 5456.10949101, 59.00206339, 40.82676255, 1600.19446970
INFO:root:1654.68997303, 5455.09480621, 59.16748159, 41.00602990, 1600.09792203
INFO:root:1654.00751740, 5452.43893368, 59.35579051, 41.08002173, 1599.52498026
INFO:root:1653.62651319, 5451.22471326, 59.40295029, 41.14392277, 1599.13251338
INFO:root:1653.70502721, 5450.99613877, 59.45132323, 41.04520958, 1598.74759582
INFO:root:1653.05180334, 5448.63084379, 59.51808349, 41.05561248, 1598.08155682
INFO:root:1652.14506182, 5445.53057991, 59.63331279, 41.14749354, 1597.58441335
INFO:root:1651.70794247, 5443.68181377, 59.86761126, 41.26428480, 1596.96970578
INFO:root:1651.34378882, 5442.42142481, 59.88790486, 41.27061011, 1596.81943333
INFO:root:1651.29925686, 5442.15759191, 59.85287692, 41.20096867, 1596.47189699
INFO:root:1649.99490977, 5437.21756220, 60.19252842, 41.36296359, 1595.29983499
INFO:root:1649.02705365, 5434.44045566, 60.07531456, 41.38047073, 1594.46999148
INFO:root:1648.83120381, 5433.19699378, 60.25553851, 41.38350661, 1594.03330658
INFO:root:1648.30245701, 5431.53426626, 60.35463311, 41.51253158, 1593.71182749
INFO:root:1648.53775318, 5431.72898659, 60.50992200, 41.49094114, 1593.72579978
INFO:root:1647.89219532, 5429.73511262, 60.53367934, 41.56209627, 1593.31346834
INFO:root:1647.56606484, 5428.37354901, 60.58780574, 41.53387828, 1592.94041454
INFO:root:1647.59675327, 5428.47888616, 60.71310199, 41.66008743, 1592.79134850
INFO:root:1646.21046656, 5423.10406105, 60.95010948, 41.67093304, 1591.72350555
INFO:root:1646.32659068, 5423.65521457, 61.01883350, 41.78888221, 1591.70895797
INFO:root:1646.04047156, 5422.55266685, 61.08721778, 41.81261985, 1591.38947053
INFO:root:1645.44680834, 5420.79892163, 61.08748508, 41.88042667, 1591.01819281
INFO:root:1646.01515535, 5422.73807347, 61.01470491, 41.82104318, 1591.17696862
INFO:root:1645.43058288, 5420.69119328, 61.05722269, 41.83407119, 1591.07906260
INFO:root:1644.89115231, 5418.30176647, 61.22567781, 41.82512858, 1590.42804475
INFO:root:1643.93090351, 5414.95942591, 61.34637131, 41.90336439, 1589.24082914
INFO:root:1643.54223362, 5413.27400197, 61.46840470, 41.90844391, 1588.97674950
INFO:root:1643.61242244, 5414.10939231, 61.28020569, 41.90066852, 1589.13493228
INFO:root:1643.92207833, 5414.72103211, 61.42108547, 41.91539457, 1589.47218355
INFO:root:1643.01420399, 5411.56169139, 61.52242606, 41.97679658, 1588.63601403
INFO:root:1642.21042214, 5408.63147752, 61.64417533, 42.02326892, 1587.76289270
INFO:root:1643.19158945, 5412.40723522, 61.35827276, 41.88892977, 1588.47975061
INFO:root:1642.00603832, 5407.29938047, 61.78631428, 41.97017009, 1587.60480386
INFO:root:1641.92488757, 5407.50773805, 61.70308869, 42.03059789, 1587.76428959
INFO:root:1641.75831438, 5406.92265937, 61.66511296, 41.98366577, 1587.36716932
INFO:root:1641.80251170, 5406.47571926, 61.85971697, 41.99999109, 1587.36461710
INFO:root:1641.48215995, 5405.65987055, 61.81649143, 42.03236512, 1587.08534100
INFO:root:1641.58637316, 5405.87607179, 61.76236292, 41.93888068, 1587.20615901
INFO:root:1640.38797915, 5401.47113773, 61.98654712, 42.03998378, 1586.08319958
INFO:root:1641.15858929, 5404.41108779, 61.70398653, 41.86879775, 1586.64518489
INFO:root:1640.87764979, 5403.26579295, 61.86653043, 41.96869226, 1586.65437826
INFO:root:1640.45361234, 5401.64320146, 61.90068794, 41.94010511, 1586.06523230
INFO:root:1639.66632159, 5398.82711034, 62.01221490, 41.99409828, 1585.51961306
INFO:root:1640.46394800, 5401.23733759, 61.97217876, 41.87950721, 1586.11543133
INFO:root:1639.09115433, 5396.64304043, 62.12034136, 42.02217064, 1585.39011075
INFO:root:1638.72721683, 5395.32800380, 62.15348410, 42.02474279, 1584.67868107
INFO:root:1638.73025902, 5395.74806419, 61.97121734, 41.96544566, 1584.79487036
INFO:root:1638.64298856, 5394.75776748, 62.13529215, 41.91969974, 1584.57708221
INFO:root:1637.69296693, 5391.37948457, 62.26031788, 41.98126550, 1584.07353741
INFO:root:1637.81813341, 5391.51848889, 62.33801946, 41.97550283, 1584.28449958
INFO:root:1638.26266619, 5393.21083015, 62.28519739, 41.98585468, 1584.16581823
INFO:root:1637.29955677, 5389.93691649, 62.18837925, 41.86996859, 1583.47219308
INFO:root:1637.21017857, 5389.25881503, 62.42597832, 41.99351696, 1583.61538155
INFO:root:1636.67406351, 5387.37861536, 62.44041090, 41.98000957, 1583.04983845
INFO:root:1636.30037142, 5386.50280156, 62.26196821, 41.91250881, 1582.89125959
INFO:root:1635.81031149, 5384.33032573, 62.47002047, 41.95888082, 1582.67802700
INFO:root:1635.74523113, 5383.85783397, 62.48433135, 41.89652021, 1582.48512604
INFO:root:1635.39600723, 5382.73288418, 62.50022684, 41.92415593, 1582.06195977
INFO:root:1635.20271315, 5381.93675546, 62.61999426, 41.99837691, 1581.93421492
INFO:root:1634.74237474, 5379.94291784, 62.71523035, 41.95580165, 1581.50083761
INFO:root:1634.63804881, 5379.52402794, 62.73832071, 41.95755389, 1581.64092498
INFO:root:1634.80530560, 5380.71455805, 62.46748040, 41.87660903, 1581.83937408
INFO:root:1634.47457291, 5379.17128802, 62.51167239, 41.78855181, 1581.92048721
INFO:root:1632.87750337, 5373.15690624, 62.71819975, 41.78783438, 1580.24636040
INFO:root:1633.73879028, 5376.08977622, 62.71432158, 41.80253182, 1580.99582623
INFO:root:1633.06218497, 5373.58271692, 62.74154857, 41.75424855, 1580.44445887
INFO:root:1632.09411821, 5370.20851341, 62.73499780, 41.70350220, 1579.69534410
INFO:root:1632.08770142, 5369.78937936, 62.77852659, 41.62770766, 1579.56295062
INFO:root:1631.53299443, 5368.36407947, 62.62370783, 41.60001070, 1579.42798587
INFO:root:1631.26980146, 5366.93888693, 62.72229885, 41.53423543, 1579.08989569
INFO:root:1630.91161467, 5365.90802132, 62.61881885, 41.47968388, 1579.01419695
INFO:root:1629.99171145, 5362.32775100, 62.77313936, 41.47982366, 1578.26505837
INFO:root:1629.82201911, 5361.18430713, 62.86827888, 41.40162322, 1578.10882092
INFO:root:1628.86863916, 5357.91477588, 62.88765292, 41.39351290, 1577.55831931
INFO:root:1629.93136688, 5361.33437916, 62.83079491, 41.29981524, 1578.40133992
INFO:root:1628.12789042, 5354.44945596, 62.97503429, 41.18205389, 1577.03315551
INFO:root:1627.35865857, 5352.29940644, 62.89421980, 41.22545090, 1576.43874754
INFO:root:1627.18276950, 5350.91789776, 63.00305469, 41.09572743, 1576.33884771
INFO:root:1626.29601150, 5347.87855995, 62.89372991, 40.96135384, 1575.76355327
INFO:root:1625.72865953, 5345.67803046, 62.94166330, 40.91648294, 1575.18639531
INFO:root:1625.09911168, 5343.66261497, 62.82260168, 40.82234214, 1574.71957982
INFO:root:1624.46955857, 5340.87934432, 62.90387892, 40.69819504, 1574.59874926
INFO:root:1622.61504184, 5333.98998850, 63.14574093, 40.72776839, 1572.92242258
INFO:root:1623.66714268, 5337.68721430, 63.03235229, 40.67144184, 1573.99190786
INFO:root:1622.42009146, 5332.94265466, 63.06923281, 40.53200893, 1573.07107782
INFO:root:1621.60976396, 5329.66652468, 63.25711749, 40.54737646, 1572.52447077
INFO:root:1621.13264471, 5327.83467005, 63.27384412, 40.49167482, 1572.19497702
INFO:root:1620.37369382, 5324.92949011, 63.36073470, 40.46596206, 1571.86694163
INFO:root:1620.22795345, 5323.83370734, 63.52748533, 40.44971340, 1571.58963121
INFO:root:Finished training.
INFO:root:Saved model. Final Checkpoint saves/kvae/v3/finetuned0/scale=0.3/kvae_state_dict_scale=0.3_149.pth
