INFO:root:Namespace(K=3, a_dim=2, batch_size=32, clip=150, device=device(type='cuda'), epochs=100, initial='False', learning_rate=1e-05, model='KVAE', save_every=10, scale=0.2, subdirectory='v3/finetuned1', x_dim=1, z_dim=4)
INFO:root:Loaded State Dict from saves/kvae/v3/finetuned0/scale=0.3/kvae_state_dict_scale=0.3_149.pth.
INFO:root:Starting KVAE training for 100 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:1084.90061366, 5327.81505568, 60.09931278, 40.76173510, 1572.39107302
INFO:root:1084.71600830, 5329.12477837, 59.78378257, 40.89275549, 1572.77781731
INFO:root:1084.87449608, 5330.06677679, 59.79838420, 40.93726197, 1573.17658553
INFO:root:1084.51440960, 5328.41650217, 59.84232698, 41.01124032, 1572.59817873
INFO:root:1084.90878372, 5330.77078312, 59.89535225, 41.14075215, 1573.19839066
INFO:root:1084.74428628, 5330.67318747, 59.80367336, 41.19404614, 1573.16885917
INFO:root:1084.44549600, 5328.71026222, 59.94320351, 41.23978250, 1572.66212929
INFO:root:1084.08129611, 5327.09425386, 59.95994015, 41.29752118, 1572.19522160
INFO:root:1084.31127789, 5328.26126856, 59.96696295, 41.30796446, 1572.63763990
INFO:root:1084.48085961, 5329.77804847, 59.92332534, 41.39810291, 1573.05316032
INFO:root:1084.17932098, 5327.65342420, 60.08182121, 41.43320620, 1572.44372472
INFO:root:1083.89649562, 5326.73140203, 60.02403489, 41.47384882, 1572.19150581
INFO:root:1084.10893200, 5327.64048648, 60.09251631, 41.51170724, 1572.75948902
INFO:root:1084.07981868, 5327.31845114, 60.15224784, 41.53614075, 1572.24770187
INFO:root:1083.94817556, 5326.81475267, 60.15312110, 41.56791435, 1572.30749988
INFO:root:1083.77232741, 5326.03336069, 60.18590459, 41.62027452, 1572.00330975
INFO:root:1083.84759636, 5326.35705307, 60.18876245, 41.61260049, 1572.24367918
INFO:root:1084.20832390, 5327.52361411, 60.33850877, 41.63493025, 1572.46612506
INFO:root:1084.28700814, 5328.46715356, 60.29579854, 41.70224447, 1572.96274734
INFO:root:1083.80888749, 5325.75858821, 60.34516922, 41.68802223, 1572.06846976
INFO:root:1083.95037349, 5327.13175283, 60.27813051, 41.75412761, 1572.46932009
INFO:root:1083.92579957, 5326.67463846, 60.33737045, 41.74651956, 1572.40146458
INFO:root:1083.79755680, 5326.21569391, 60.37231777, 41.81792345, 1572.12591683
INFO:root:1083.66817015, 5325.63419077, 60.36491205, 41.82360525, 1572.14741462
INFO:root:1083.74979569, 5325.89965647, 60.41219342, 41.84235398, 1572.10634272
INFO:root:1083.54123373, 5324.75084151, 60.48466876, 41.89362705, 1571.95963109
INFO:root:1083.52761383, 5324.78965467, 60.43155735, 41.86189436, 1571.94996979
INFO:root:1083.48360451, 5324.68608018, 60.46796168, 41.92159880, 1572.02501013
INFO:root:1083.41905820, 5324.07965564, 60.51700972, 41.91390676, 1571.84127786
INFO:root:1083.62652871, 5325.40626905, 60.50460483, 41.95935858, 1572.18424782
INFO:root:1083.54030882, 5324.62814959, 60.58772325, 41.97306783, 1572.18873802
INFO:root:1083.44852234, 5324.39794056, 60.54694159, 41.97802769, 1571.96109939
INFO:root:1083.22149081, 5323.41105490, 60.50190785, 41.96265269, 1571.78292738
INFO:root:1083.48006962, 5324.59258297, 60.59646647, 42.03493508, 1572.05587054
INFO:root:1083.73360793, 5325.45417948, 60.67622848, 42.03347910, 1572.44266288
INFO:root:1082.95405772, 5321.77386345, 60.63570031, 42.03643768, 1571.32998116
INFO:root:1082.98501391, 5321.98841111, 60.62519482, 42.03788639, 1571.54413664
INFO:root:1083.11191709, 5322.06937230, 60.75420351, 42.05618455, 1571.35982259
INFO:root:1083.26152211, 5323.09342621, 60.72635358, 42.08353300, 1571.75582258
INFO:root:1083.02081051, 5322.02716367, 60.69607011, 42.08071823, 1571.66375819
INFO:root:1083.06650588, 5322.20901035, 60.74158060, 42.11690043, 1571.60007168
INFO:root:1082.80711897, 5321.01467787, 60.74191139, 42.13775179, 1571.23253702
INFO:root:1083.29838723, 5323.14803233, 60.80498058, 42.13622464, 1571.74006988
INFO:root:1083.09341159, 5322.15158189, 60.82001828, 42.15694380, 1571.68012037
INFO:root:1082.51447765, 5319.54202335, 60.76867580, 42.16262647, 1570.94922048
INFO:root:1082.85421833, 5320.84297602, 60.85326771, 42.16766776, 1571.25301020
INFO:root:1083.16824521, 5322.53240317, 60.85407787, 42.19233361, 1571.92662232
INFO:root:1082.46128573, 5319.35626524, 60.77646974, 42.18646524, 1570.94778940
INFO:root:1082.74546399, 5320.19835473, 60.89746927, 42.19169707, 1571.29108878
INFO:root:1082.62847143, 5319.83854859, 60.86225949, 42.20152574, 1571.06300127
INFO:root:1082.43503935, 5318.70884239, 60.90382584, 42.21057820, 1570.73852712
INFO:root:1082.61849989, 5319.90606819, 60.86708559, 42.22982126, 1571.37496710
INFO:root:1082.34536299, 5318.51581027, 60.86091150, 42.21873799, 1570.95298302
INFO:root:1082.70013176, 5319.74310865, 61.00614036, 42.25464941, 1571.31451026
INFO:root:1082.28453491, 5317.86737450, 60.98026822, 42.26923014, 1570.81200046
INFO:root:1082.60698607, 5319.45987956, 60.95779416, 42.24280598, 1571.18106231
INFO:root:1082.08028403, 5316.90519725, 60.95220816, 42.25298979, 1570.57189076
INFO:root:1082.36619593, 5318.28821407, 61.03212564, 42.32359484, 1570.83857370
INFO:root:1082.46564478, 5318.70883200, 61.03655173, 42.31269545, 1571.13302980
INFO:root:1082.11274288, 5316.81723044, 61.09986109, 42.35058538, 1570.63493748
INFO:root:1082.11204678, 5316.94894171, 61.04134138, 42.31909734, 1570.74247536
INFO:root:1081.77922432, 5315.13268091, 61.07554072, 42.32287386, 1570.07477543
INFO:root:1082.16499514, 5316.96724706, 61.10057568, 42.32905329, 1570.73296210
INFO:root:1082.17319294, 5316.78615013, 61.17192011, 42.35598273, 1570.66361837
INFO:root:1082.18092478, 5317.29730441, 61.09445533, 42.37301580, 1570.87902702
INFO:root:1082.20241609, 5317.05324170, 61.10505210, 42.31330847, 1570.74061790
INFO:root:1082.16292791, 5316.52911334, 61.21116408, 42.35408250, 1570.72701918
INFO:root:1082.03392145, 5316.48918855, 61.09950160, 42.36344014, 1570.76207847
INFO:root:1082.23989146, 5317.17828499, 61.18339729, 42.37918099, 1570.80517232
INFO:root:1082.13369634, 5316.58308227, 61.16427639, 42.34721870, 1570.82942752
INFO:root:1082.04588514, 5316.34836097, 61.16694241, 42.39075214, 1570.91876134
INFO:root:1081.89364282, 5315.26640590, 61.23557110, 42.39522922, 1570.49045038
INFO:root:1081.31138005, 5313.01198021, 61.09408324, 42.38511766, 1570.02827746
INFO:root:1081.44440382, 5313.26172048, 61.19533901, 42.40330177, 1569.86301373
INFO:root:1081.51215486, 5313.64356681, 61.20240930, 42.41899467, 1570.14442130
INFO:root:1081.81550503, 5314.60808677, 61.30524031, 42.41137563, 1570.29443879
INFO:root:1081.78238275, 5315.13787192, 61.20503096, 42.45024561, 1570.64192622
INFO:root:1081.59674614, 5313.65335321, 61.30077699, 42.43472679, 1570.14946038
INFO:root:1081.90403445, 5315.44841707, 61.30007803, 42.48575294, 1570.60999661
INFO:root:1081.62745799, 5313.64792498, 61.33203249, 42.43418795, 1570.22886106
INFO:root:1081.66719017, 5314.03388533, 61.33476210, 42.47436940, 1570.24509641
INFO:root:1081.68136987, 5313.95456560, 61.34942674, 42.45899454, 1570.22682742
INFO:root:1081.46726232, 5313.21994993, 61.31561351, 42.49236790, 1570.14243095
INFO:root:1081.62610097, 5314.08009371, 61.30134673, 42.49129215, 1570.33688636
INFO:root:1081.52218382, 5313.22844117, 61.37195695, 42.49548283, 1570.26284076
INFO:root:1081.50568687, 5313.11421972, 61.34114924, 42.45832360, 1570.21258069
INFO:root:1081.06806312, 5311.00969290, 61.38726276, 42.52115859, 1569.57650432
INFO:root:1080.89232816, 5310.01416535, 61.37628159, 42.48680881, 1569.36404138
INFO:root:1081.01979730, 5310.82486287, 61.36769331, 42.51289114, 1569.76459130
INFO:root:1081.52484768, 5313.29285793, 61.36149056, 42.49524111, 1570.33256368
INFO:root:1081.26101097, 5311.91233966, 61.44066303, 42.56214248, 1570.03232136
INFO:root:1080.87541364, 5309.93600918, 61.40567238, 42.51748481, 1569.41409107
INFO:root:1080.85294335, 5309.62585709, 61.43309808, 42.50535207, 1569.35586829
INFO:root:1081.24404730, 5311.32093411, 61.49639717, 42.51656004, 1569.84377944
INFO:root:1081.11948699, 5311.05378193, 61.45618901, 42.54747966, 1569.94498352
INFO:root:1080.97790793, 5310.12494806, 61.50954978, 42.55664836, 1569.57491654
INFO:root:1081.18031302, 5311.18467940, 61.48227133, 42.53891855, 1569.93895662
INFO:root:1080.92889007, 5309.68272454, 61.56649085, 42.57417143, 1569.54245666
INFO:root:1081.03677154, 5310.16743891, 61.52382030, 42.52055692, 1569.69629296
INFO:root:1080.89016599, 5309.55500783, 61.53292801, 42.55378404, 1569.57089342
INFO:root:Finished training.
INFO:root:Saved model. Final Checkpoint saves/kvae/v3/finetuned1/scale=0.2/kvae_state_dict_scale=0.2_99.pth
