INFO:root:Namespace(K=3, a_dim=2, batch_size=32, clip=150, dataset='MovingMNIST', device=device(type='cuda'), epochs=100, initial='False', learning_rate=0.0001, model='KVAE', save_every=10, scale=1.0, subdirectory='v3/finetuned2', x_dim=1, z_dim=4)
INFO:root:Loaded State Dict from saves/MovingMNIST/kvae/v3/finetuned1/scale=0.2/kvae_state_dict_scale=0.2_99.pth.
INFO:root:Starting KVAE training for 100 epochs.
INFO:root:Train Loss, Reconstruction Loss, log q(a), ELBO_KF, MSE
INFO:root:5312.35758326, 5277.71928676, 75.96856524, 41.33027169, 1562.93412359
INFO:root:5309.71864160, 5273.63681398, 76.43405901, 40.35223190, 1562.45688624
INFO:root:5305.13522908, 5268.32294091, 76.52193056, 39.70965331, 1561.75639441
INFO:root:5301.99785975, 5264.68084241, 76.52574158, 39.20871092, 1560.91138431
INFO:root:5302.90461445, 5265.47520674, 76.29898031, 38.86957625, 1561.52731345
INFO:root:5299.40967401, 5261.63316746, 76.21069312, 38.43419374, 1560.59602172
INFO:root:5296.82899754, 5258.81470939, 76.08392975, 38.06963735, 1560.15260607
INFO:root:5293.82123664, 5255.36303884, 76.17998756, 37.72178925, 1559.47957920
INFO:root:5291.51901953, 5252.74046293, 76.19869386, 37.42013924, 1559.17782788
INFO:root:5290.48193304, 5251.47388215, 76.26034265, 37.25227574, 1559.14077001
INFO:root:5291.32246003, 5252.38368864, 75.91949926, 36.98072107, 1559.26974942
INFO:root:5285.14508111, 5245.81310602, 76.00167995, 36.66969581, 1557.90560502
INFO:root:5285.97830109, 5246.43717794, 76.06275837, 36.52163831, 1558.60134996
INFO:root:5282.88900192, 5242.92436835, 76.26172584, 36.29709904, 1557.60308838
INFO:root:5281.20524406, 5241.30285039, 75.97185538, 36.06946609, 1557.36915794
INFO:root:5276.83280436, 5236.59817743, 76.16026452, 35.92564187, 1556.51837721
INFO:root:5277.31197440, 5237.03532247, 76.03006106, 35.75341373, 1556.81621492
INFO:root:5277.80651439, 5237.31205154, 76.00242214, 35.50796125, 1557.02549625
INFO:root:5275.97239776, 5235.30064273, 76.04415915, 35.37240152, 1556.87724358
INFO:root:5271.88426312, 5230.96061025, 76.17686406, 35.25321403, 1555.73814403
INFO:root:5270.97720344, 5230.12708818, 76.01866117, 35.16853466, 1555.96464160
INFO:root:5269.36001295, 5228.04862900, 76.27180546, 34.96041382, 1555.60625312
INFO:root:5267.55799493, 5226.25661777, 76.22942228, 34.92804577, 1555.12417927
INFO:root:5265.22577823, 5223.65636774, 76.30925174, 34.73984469, 1554.73795746
INFO:root:5265.43013582, 5224.10188283, 76.00453687, 34.67628006, 1554.99453714
INFO:root:5262.37165225, 5220.67333465, 76.24641594, 34.54808955, 1554.46608350
INFO:root:5261.34925096, 5219.63192944, 76.15573266, 34.43842115, 1554.22395271
INFO:root:5258.50969213, 5216.56211561, 76.36574362, 34.41815306, 1553.74362767
INFO:root:5257.05430026, 5214.85020155, 76.46279023, 34.25868975, 1553.42616131
INFO:root:5256.58455396, 5214.44882743, 76.43921621, 34.30349631, 1553.71686397
INFO:root:5253.74469441, 5211.36831297, 76.57512218, 34.19875674, 1553.20566294
INFO:root:5254.44195028, 5212.06660364, 76.49829745, 34.12295476, 1553.30994908
INFO:root:5250.66972290, 5208.40407005, 76.30709674, 34.04144143, 1552.74039237
INFO:root:5250.93471443, 5208.42568775, 76.52836695, 34.01934731, 1552.89142711
INFO:root:5252.47130781, 5209.85264815, 76.57340809, 33.95473836, 1553.47461241
INFO:root:5244.85519263, 5202.07566628, 76.61346089, 33.83392112, 1551.66154751
INFO:root:5245.11717942, 5202.35742361, 76.58682757, 33.82707860, 1551.91047874
INFO:root:5244.07049348, 5201.10909623, 76.70301172, 33.74161001, 1551.81681748
INFO:root:5242.99198115, 5199.80734188, 76.83930066, 33.65466772, 1551.63275146
INFO:root:5241.18610021, 5198.13806066, 76.66604490, 33.61800378, 1551.56092824
INFO:root:5240.92409656, 5197.77004031, 76.73387798, 33.57982700, 1551.69626612
INFO:root:5235.21220699, 5191.88863205, 76.85557870, 33.53199943, 1550.39424166
INFO:root:5238.31879143, 5194.92346624, 76.85519482, 33.45986479, 1551.44479219
INFO:root:5233.82553257, 5190.12775134, 77.12747025, 33.42970174, 1550.54632352
INFO:root:5230.99954146, 5187.35024483, 77.11924181, 33.46995654, 1549.94461774
INFO:root:5231.57275421, 5188.04641789, 76.93473889, 33.40840021, 1550.33582712
INFO:root:5231.71733810, 5187.91409194, 77.11615556, 33.31290417, 1550.65638073
INFO:root:5226.22478218, 5182.31584178, 77.14871608, 33.23976029, 1549.36512659
INFO:root:5225.52185160, 5181.46569391, 77.22611653, 33.16995982, 1549.42099324
INFO:root:5222.75820377, 5178.60925380, 77.31292013, 33.16397251, 1548.89052501
INFO:root:5220.26655923, 5176.19396020, 77.20714166, 33.13453265, 1548.54923243
INFO:root:5219.43886178, 5175.01228495, 77.48052881, 33.05395079, 1548.54668886
INFO:root:5216.74614969, 5172.42296065, 77.22114111, 32.89794868, 1548.11056454
INFO:root:5214.70014299, 5170.06924763, 77.39008918, 32.75918941, 1547.87096952
INFO:root:5209.16071899, 5164.08815901, 77.71944988, 32.64688608, 1546.67832828
INFO:root:5208.76529194, 5163.74142391, 77.57834176, 32.55448899, 1546.65927319
INFO:root:5202.76986305, 5157.60046300, 77.66726896, 32.49787264, 1545.42981173
INFO:root:5202.59649425, 5157.11507681, 77.89290262, 32.41147063, 1545.64567144
INFO:root:5200.97772408, 5155.62541036, 77.74942717, 32.39710450, 1545.50128607
INFO:root:5198.54774595, 5153.15173253, 77.65594501, 32.25993011, 1544.96664104
INFO:root:5196.56709092, 5150.66901804, 78.03032747, 32.13224211, 1544.58810187
INFO:root:5192.06268917, 5146.39352179, 77.65474923, 31.98556929, 1543.59116012
INFO:root:5189.89329555, 5143.63807624, 78.19483350, 31.93961703, 1543.27747924
INFO:root:5188.20223939, 5141.96466714, 78.07801321, 31.84044020, 1543.02926571
INFO:root:5186.50522801, 5140.23391442, 78.09620234, 31.82488648, 1542.88220691
INFO:root:5184.37748094, 5137.79749834, 78.24287685, 31.66290269, 1542.34954531
INFO:root:5181.60804070, 5134.98310755, 78.29456248, 31.66962164, 1541.82905611
INFO:root:5179.09365326, 5132.40715903, 78.27580932, 31.58930676, 1541.59294399
INFO:root:5176.83171497, 5130.09106618, 78.22983010, 31.48917585, 1541.11544432
INFO:root:5174.00418642, 5127.07250111, 78.38763547, 31.45593555, 1540.71744532
INFO:root:5171.08673893, 5123.78712496, 78.68693724, 31.38732329, 1540.09219382
INFO:root:5169.87684729, 5122.70329642, 78.47681238, 31.30326096, 1539.66886913
INFO:root:5163.89838120, 5116.35426536, 78.81300992, 31.26889669, 1538.49075902
INFO:root:5163.09123313, 5115.59220551, 78.70422155, 31.20518995, 1538.19323557
INFO:root:5161.93676383, 5114.25064065, 78.90010563, 31.21400253, 1538.29289776
INFO:root:5165.27126183, 5117.78745394, 78.45519427, 30.97138625, 1538.88595992
INFO:root:5154.77363863, 5106.71734749, 78.94604703, 30.88975205, 1536.85328577
INFO:root:5153.35679615, 5105.05047997, 79.19256465, 30.88624325, 1536.56288872
INFO:root:5152.52155578, 5104.52141512, 78.85979026, 30.85965855, 1536.52250249
INFO:root:5148.66973489, 5100.16916348, 79.29852449, 30.79796236, 1535.60868110
INFO:root:5146.38070149, 5097.75027877, 79.44633773, 30.81592175, 1535.35553195
INFO:root:5144.78175829, 5096.25668703, 79.27957015, 30.75449226, 1535.08160141
INFO:root:5141.44769785, 5092.84230767, 79.40229026, 30.79689816, 1534.48436894
INFO:root:5139.74915584, 5091.20498116, 79.21967786, 30.67549301, 1534.61779309
INFO:root:5138.27364701, 5089.56424188, 79.33506945, 30.62564585, 1534.63842254
INFO:root:5133.46743807, 5084.55021159, 79.45185719, 30.53462933, 1533.89543249
INFO:root:5129.73000281, 5080.83079323, 79.42296195, 30.52374415, 1533.12744487
INFO:root:5124.52273420, 5075.25340931, 79.62006638, 30.35074208, 1532.34162459
INFO:root:5122.55967199, 5073.03352691, 79.78776182, 30.26161534, 1532.18643773
INFO:root:5119.69598315, 5070.02375783, 79.88492441, 30.21268921, 1532.03272870
INFO:root:5119.69139550, 5070.06116502, 79.76849920, 30.13827399, 1532.11834024
INFO:root:5112.83436426, 5062.97186669, 79.88422185, 30.02172264, 1530.58376361
INFO:root:5107.37209901, 5057.57552776, 79.70936114, 29.91279405, 1529.73082197
INFO:root:5104.90621060, 5054.53419700, 80.25756898, 29.88554957, 1529.25183452
INFO:root:5104.23504934, 5054.06887709, 80.02341199, 29.85724967, 1529.55984692
INFO:root:5100.40274881, 5049.84933926, 80.30146876, 29.74806084, 1528.66897864
INFO:root:5096.82559547, 5045.98881282, 80.63438177, 29.79760377, 1528.11993538
