INFO:root:Namespace(batch_size=50, beta=3.0, clip=10, device=device(type='cuda'), epochs=1000, hdim=1024, learning_rate=0.001, model='VRNN', nlayers=3, save_every=100, version='v0', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 1000 epochs.
INFO:root:Train Loss, KLD, Reconstruction Loss
INFO:root:371850.532, 208.959, 371223.655
INFO:root:337461.943, 181.483, 336917.495
INFO:root:281480.222, 3442.760, 271151.941
INFO:root:219297.982, 5136.932, 203887.187
INFO:root:209327.690, 5052.286, 194170.833
INFO:root:204967.221, 4924.803, 190192.811
INFO:root:201420.520, 4773.291, 187100.646
INFO:root:198750.599, 4617.719, 184897.441
INFO:root:196501.833, 4435.169, 183196.327
INFO:root:193911.653, 4319.333, 180953.653
INFO:root:192319.100, 4267.139, 179517.685
INFO:root:190647.742, 4249.031, 177900.650
INFO:root:188998.893, 4127.084, 176617.640
INFO:root:187045.420, 3969.264, 175137.628
INFO:root:185477.822, 3887.502, 173815.316
INFO:root:183898.477, 3831.106, 172405.157
INFO:root:182048.528, 3725.587, 170871.766
INFO:root:180064.562, 3525.438, 169488.247
INFO:root:178297.171, 3465.450, 167900.821
INFO:root:176611.968, 3431.201, 166318.364
INFO:root:175160.601, 3402.292, 164953.726
INFO:root:173538.044, 3393.156, 163358.575
INFO:root:172532.146, 3366.585, 162432.390
INFO:root:170883.273, 3370.412, 160772.038
INFO:root:169124.867, 3359.871, 159045.253
INFO:root:167768.514, 3330.275, 157777.690
INFO:root:166663.068, 3302.680, 156755.027
INFO:root:165439.241, 3302.840, 155530.720
INFO:root:163962.900, 3282.889, 154114.233
INFO:root:162634.063, 3269.228, 152826.377
INFO:root:161852.710, 3246.261, 152113.928
INFO:root:160603.576, 3251.234, 150849.873
INFO:root:159297.380, 3237.856, 149583.811
INFO:root:158330.157, 3219.622, 148671.290
INFO:root:156937.184, 3211.939, 147301.365
INFO:root:156101.288, 3211.396, 146467.100
INFO:root:155146.368, 3214.565, 145502.674
INFO:root:153918.047, 3202.693, 144309.967
INFO:root:152785.781, 3195.226, 143200.104
INFO:root:151815.732, 3179.472, 142277.317
INFO:root:150805.684, 3174.243, 141282.956
INFO:root:149875.210, 3177.773, 140341.890
INFO:root:149355.802, 3173.952, 139833.945
INFO:root:148432.335, 3166.711, 138932.201
INFO:root:147495.286, 3160.889, 138012.618
INFO:root:146366.263, 3165.584, 136869.512
INFO:root:145814.514, 3164.092, 136322.238
INFO:root:144555.883, 3142.525, 135128.307
INFO:root:144075.305, 3162.102, 134588.998
INFO:root:143234.185, 3133.107, 133834.865
INFO:root:142527.882, 3139.861, 133108.298
INFO:root:141549.532, 3127.568, 132166.829
INFO:root:140862.334, 3131.000, 131469.333
INFO:root:140469.409, 3112.352, 131132.354
INFO:root:139453.169, 3128.552, 130067.514
INFO:root:138826.263, 3118.659, 129470.285
INFO:root:138338.520, 3122.369, 128971.412
INFO:root:137608.290, 3107.951, 128284.435
INFO:root:136910.913, 3103.021, 127601.849
INFO:root:136557.617, 3098.304, 127262.704
INFO:root:135605.600, 3101.819, 126300.143
INFO:root:135223.624, 3091.107, 125950.303
INFO:root:134907.359, 3089.664, 125638.366
INFO:root:133674.924, 3085.989, 124416.958
INFO:root:133693.246, 3090.581, 124421.504
INFO:root:132842.300, 3082.938, 123593.487
INFO:root:131950.137, 3077.727, 122716.956
INFO:root:131431.294, 3069.586, 122222.537
INFO:root:131043.355, 3085.611, 121786.522
INFO:root:130853.015, 3072.202, 121636.410
INFO:root:130216.191, 3069.393, 121008.013
INFO:root:130048.095, 3061.604, 120863.282
INFO:root:129133.495, 3063.191, 119943.923
INFO:root:128898.779, 3063.212, 119709.143
INFO:root:128238.854, 3069.289, 119030.987
INFO:root:127607.206, 3051.805, 118451.792
