INFO:root:Namespace(batch_size=50, beta=1.0, clip=10, device=device(type='cuda'), epochs=300, hdim=1024, learning_rate=0.0001, model='VRNN', nlayers=1, save_every=100, step_size=1000, version='v1', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 300 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:772.81400113, 2.26919030, 770.54481167
INFO:root:765.67571547, 0.10590517, 765.56980998
INFO:root:763.74320238, 0.11433058, 763.62887302
INFO:root:760.93658786, 0.12361166, 760.81297574
INFO:root:758.11943631, 0.12795200, 757.99148390
INFO:root:753.79443258, 0.11952261, 753.67490879
INFO:root:747.58076579, 0.10339554, 747.47736952
INFO:root:746.25746663, 0.10377027, 746.15369771
INFO:root:744.80184360, 0.10346872, 744.69837477
INFO:root:743.42380710, 0.10779023, 743.31601800
INFO:root:741.94325494, 0.11131399, 741.83194071
INFO:root:737.49448174, 0.09710047, 737.39738363
INFO:root:735.92324999, 0.09719911, 735.82605082
INFO:root:735.17305027, 0.09661065, 735.07643907
INFO:root:734.34936964, 0.09422764, 734.25513984
INFO:root:733.43602295, 0.09627629, 733.33974474
INFO:root:732.23059828, 0.09349017, 732.13710802
INFO:root:730.00030687, 0.08818822, 729.91211650
INFO:root:729.54608086, 0.08793592, 729.45814548
INFO:root:729.16679586, 0.08864962, 729.07814501
INFO:root:728.69731072, 0.08929092, 728.60802070
INFO:root:728.22291192, 0.08766706, 728.13524611
INFO:root:727.10842082, 0.08491327, 727.02350735
INFO:root:726.46893073, 0.08378605, 726.38514438
INFO:root:726.21596408, 0.08368753, 726.13227844
INFO:root:725.92752855, 0.08344043, 725.84408739
INFO:root:725.75584751, 0.08254310, 725.67330356
INFO:root:725.40029806, 0.08306325, 725.31723633
INFO:root:724.69099494, 0.08048863, 724.61050517
INFO:root:724.54542711, 0.08015545, 724.46526828
INFO:root:724.42264472, 0.08013132, 724.34251336
INFO:root:724.32437236, 0.08029234, 724.24407823
INFO:root:724.17989129, 0.07946382, 724.10042860
INFO:root:723.91889309, 0.07893827, 723.83995361
INFO:root:723.66217448, 0.07834878, 723.58382568
INFO:root:723.60159607, 0.07831295, 723.52328254
INFO:root:723.56166857, 0.07813512, 723.48353339
INFO:root:723.44779629, 0.07782928, 723.36996596
INFO:root:723.38247206, 0.07765495, 723.30481805
INFO:root:723.20343526, 0.07716374, 723.12627055
INFO:root:723.13466458, 0.07708569, 723.05757887
INFO:root:723.09546746, 0.07696853, 723.01849874
INFO:root:723.10178630, 0.07690333, 723.02488471
INFO:root:723.03877055, 0.07684205, 722.96192729
INFO:root:722.97841933, 0.07649956, 722.90192057
INFO:root:722.90769179, 0.07637923, 722.83131171
INFO:root:722.91242405, 0.07638483, 722.83603719
INFO:root:722.85326843, 0.07624271, 722.77702433
INFO:root:722.83040771, 0.07623885, 722.75417006
INFO:root:722.82348056, 0.07615680, 722.74732361
INFO:root:722.76773614, 0.07595502, 722.69178026
INFO:root:722.76649509, 0.07597039, 722.69052497
INFO:root:722.73515896, 0.07587277, 722.65928786
INFO:root:722.72379727, 0.07580611, 722.64799127
INFO:root:722.71732958, 0.07580191, 722.64152798
INFO:root:722.72186957, 0.07578066, 722.64608731
INFO:root:722.67530518, 0.07565013, 722.59965380
INFO:root:722.69549866, 0.07563113, 722.61986423
INFO:root:722.68852302, 0.07563951, 722.61288520
INFO:root:722.68177490, 0.07565876, 722.60611640
INFO:root:722.65972426, 0.07561890, 722.58410407
INFO:root:722.68271925, 0.07558109, 722.60713840
INFO:root:722.63517219, 0.07552153, 722.55965203
INFO:root:722.65315280, 0.07552992, 722.57762349
INFO:root:722.64007806, 0.07549216, 722.56458605
INFO:root:722.67394545, 0.07550247, 722.59844225
INFO:root:722.63034159, 0.07547093, 722.55487162
INFO:root:722.62862413, 0.07548630, 722.55313822
INFO:root:722.60136854, 0.07543327, 722.52593384
INFO:root:722.62624580, 0.07541873, 722.55082974
INFO:root:722.62903035, 0.07543765, 722.55359192
INFO:root:722.62322218, 0.07540214, 722.54781969
INFO:root:722.60399984, 0.07541540, 722.52858310
INFO:root:722.60847575, 0.07540842, 722.53306783
INFO:root:722.60849033, 0.07537781, 722.53311259
INFO:root:722.60612522, 0.07541961, 722.53070441
INFO:root:722.63525357, 0.07537315, 722.55988091
INFO:root:722.59001024, 0.07539154, 722.51461962
INFO:root:722.59385986, 0.07538272, 722.51847907
INFO:root:722.59892680, 0.07540296, 722.52352295
INFO:root:722.62705756, 0.07539179, 722.55166389
INFO:root:722.60854662, 0.07536547, 722.53318210
INFO:root:722.61292284, 0.07539499, 722.53753018
INFO:root:722.63793437, 0.07538896, 722.56254476
INFO:root:722.59521993, 0.07536914, 722.51985135
INFO:root:722.60179274, 0.07535080, 722.52644382
INFO:root:722.58816121, 0.07533202, 722.51282789
INFO:root:722.62320964, 0.07537453, 722.54783325
INFO:root:722.60571018, 0.07536030, 722.53035244
INFO:root:722.60066969, 0.07534880, 722.52532077
INFO:root:722.59367099, 0.07537790, 722.51829291
INFO:root:722.59665188, 0.07536390, 722.52128805
INFO:root:722.60742086, 0.07533984, 722.53208313
INFO:root:722.61593628, 0.07538376, 722.54055142
INFO:root:722.60618863, 0.07538872, 722.53079766
INFO:root:722.59493306, 0.07536583, 722.51956889
INFO:root:722.63248630, 0.07534797, 722.55713671
INFO:root:722.59851956, 0.07535704, 722.52316318
INFO:root:722.59840393, 0.07535827, 722.52304552
INFO:root:722.60865987, 0.07536031, 722.53329942
INFO:root:722.61777039, 0.07537662, 722.54239400
INFO:root:722.58007541, 0.07536216, 722.50471191
INFO:root:722.58884684, 0.07536082, 722.51348674
INFO:root:722.60384759, 0.07534264, 722.52850613
INFO:root:722.60857612, 0.07538511, 722.53319431
INFO:root:722.58436517, 0.07535119, 722.50901455
INFO:root:722.56067708, 0.07531584, 722.48536343
INFO:root:722.57375217, 0.07533776, 722.49841512
INFO:root:722.54805705, 0.07535160, 722.47270576
INFO:root:722.55683051, 0.07535341, 722.48147956
INFO:root:722.56512078, 0.07533642, 722.48978611
INFO:root:722.56292284, 0.07533719, 722.48758613
INFO:root:722.54639418, 0.07534932, 722.47104390
INFO:root:722.53624166, 0.07537614, 722.46086561
INFO:root:722.57444085, 0.07540354, 722.49903870
INFO:root:722.55376994, 0.07532446, 722.47844645
INFO:root:722.54060499, 0.07537500, 722.46523098
INFO:root:722.54566074, 0.07534674, 722.47031521
INFO:root:722.55724521, 0.07536614, 722.48187663
INFO:root:722.51601630, 0.07537781, 722.44064060
INFO:root:722.52917786, 0.07535438, 722.45382385
INFO:root:722.54613376, 0.07535759, 722.47077705
INFO:root:722.51373596, 0.07532453, 722.43841315
INFO:root:722.50080736, 0.07533516, 722.42547167
INFO:root:722.50225525, 0.07533280, 722.42692057
INFO:root:722.50366313, 0.07535450, 722.42830946
INFO:root:722.47791714, 0.07534292, 722.40257534
INFO:root:722.47518073, 0.07536895, 722.39981011
INFO:root:722.46123488, 0.07534802, 722.38588867
INFO:root:722.45996229, 0.07536575, 722.38459710
INFO:root:722.46117757, 0.07536289, 722.38581713
INFO:root:722.42947591, 0.07539423, 722.35407986
INFO:root:722.39508803, 0.07540090, 722.31968621
