INFO:root:Namespace(batch_size=50, beta=0.0001, clip=10, device=device(type='cuda'), epochs=200, hdim=1024, learning_rate=0.001, model='VRNN', nlayers=1, save_every=100, step_size=1000000, version='v1', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 200 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:148.10199606, 155026.89496528, 132.59930746
INFO:root:121.17605353, 68995.03064236, 114.27655067
INFO:root:125.82200818, 64972.53752170, 119.32475450
INFO:root:127.58644558, 63613.08038194, 121.22513771
INFO:root:126.62650863, 62600.31048177, 120.36647754
INFO:root:126.56998990, 61950.65659722, 120.37492400
INFO:root:127.96872698, 61389.82662760, 121.82974442
INFO:root:126.54273995, 60937.81230469, 120.44895910
INFO:root:126.70195469, 60539.75381944, 120.64797948
INFO:root:126.17601653, 60189.08845486, 120.15710776
INFO:root:126.78573206, 59796.17777778, 120.80611466
INFO:root:126.00030645, 59683.39544271, 120.03196725
INFO:root:123.94797974, 59440.54845920, 118.00392549
INFO:root:126.28459841, 59201.64309896, 120.36443414
INFO:root:126.38735068, 59015.68923611, 120.48578195
INFO:root:124.86250064, 58840.63105469, 118.97843785
INFO:root:124.13408652, 58716.72758247, 118.26241366
INFO:root:124.29021611, 58412.42506510, 118.44897414
INFO:root:123.34045474, 58399.13422309, 117.50054126
INFO:root:124.71292953, 58129.27141927, 118.90000246
INFO:root:126.58715507, 58139.28116319, 120.77322739
INFO:root:124.24788772, 57973.71399740, 118.45051676
INFO:root:124.80093630, 57936.13296441, 119.00732333
INFO:root:124.70127631, 57738.95397135, 118.92738096
INFO:root:125.30161489, 57744.10551215, 119.52720473
INFO:root:123.17106268, 57581.11284722, 117.41295162
INFO:root:123.70847367, 57624.66111111, 117.94600771
INFO:root:124.33292842, 57461.01963976, 118.58682662
INFO:root:125.93614286, 57426.33255208, 120.19350967
INFO:root:124.31213506, 57451.69646267, 118.56696570
INFO:root:124.00293206, 57258.04728733, 118.27712733
INFO:root:122.79263153, 57206.93765191, 117.07193773
INFO:root:122.65708546, 57213.68027344, 116.93571731
INFO:root:122.87276980, 57042.88352865, 117.16848123
INFO:root:122.71274656, 57026.48795573, 117.01009784
INFO:root:123.54729339, 56895.66555990, 117.85772675
INFO:root:123.32518764, 56923.42430556, 117.63284522
INFO:root:124.58390240, 56964.93088108, 118.88740917
INFO:root:122.76552124, 56878.33007812, 117.07768830
INFO:root:121.51567336, 56817.11102431, 115.83396200
INFO:root:121.19164535, 56792.89774306, 115.51235580
INFO:root:124.06662780, 56717.48489583, 118.39487911
INFO:root:122.31124153, 56710.24264323, 116.64021704
INFO:root:122.36008263, 56629.74498698, 116.69710863
INFO:root:121.59581604, 56601.92460937, 115.93562402
INFO:root:121.93008664, 56645.34648437, 116.26555218
INFO:root:122.26688516, 56603.77178819, 116.60650792
INFO:root:121.27406307, 56569.45935330, 115.61711731
INFO:root:122.42025346, 56407.96742622, 116.77945705
INFO:root:123.66618805, 56454.29505208, 118.02075890
INFO:root:122.89982817, 56390.88587240, 117.26073960
INFO:root:121.33314862, 56289.06126302, 115.70424249
INFO:root:120.04864455, 56292.79752604, 114.41936493
INFO:root:120.77729941, 56323.01618924, 115.14499770
INFO:root:120.63727871, 56263.30729167, 115.01094818
INFO:root:122.05237630, 56233.81267361, 116.42899505
INFO:root:123.31992590, 56350.27332899, 117.68489821
INFO:root:120.57837190, 56176.36555990, 114.96073570
INFO:root:120.26896146, 56164.55755208, 114.65250587
INFO:root:119.31829096, 56125.05186632, 113.70578601
INFO:root:120.07865961, 56127.06197917, 114.46595357
INFO:root:121.57615339, 56195.46974826, 115.95660638
INFO:root:120.85807313, 56143.68454861, 115.24370499
INFO:root:121.03400832, 56121.95214844, 115.42181265
INFO:root:121.47745255, 56018.02860243, 115.87564985
INFO:root:120.21101320, 56040.93634983, 114.60691973
INFO:root:119.07335023, 55983.77918837, 113.47497232
INFO:root:119.63831846, 56051.21013455, 114.03319783
INFO:root:121.03273243, 56036.13784722, 115.42911898
INFO:root:120.15999150, 56023.55685764, 114.55763613
INFO:root:119.86033198, 55899.54674479, 114.27037731
INFO:root:119.23410530, 55933.36490885, 113.64076928
INFO:root:120.29858229, 55983.77493490, 114.70020506
INFO:root:119.47555309, 55872.10056424, 113.88834301
INFO:root:119.25060607, 55819.52792969, 113.66865353
INFO:root:119.73822386, 55952.76119792, 114.14294811
INFO:root:120.00611691, 55831.69982639, 114.42294727
INFO:root:119.43683222, 55816.10720486, 113.85522126
INFO:root:119.13488019, 55714.99507378, 113.56338064
INFO:root:119.24008878, 55821.26360677, 113.65796271
INFO:root:119.75792232, 55883.82254774, 114.16953977
INFO:root:119.09496926, 55772.30703125, 113.51773877
INFO:root:118.28133672, 55585.78059896, 112.72275878
INFO:root:118.91033283, 55731.58925781, 113.33717393
INFO:root:118.02383389, 55714.52478299, 112.45238152
INFO:root:117.98742146, 55621.90160590, 112.42523138
INFO:root:118.38074752, 55693.51877170, 112.81139560
INFO:root:119.63326441, 55715.21445313, 114.06174299
INFO:root:119.57493350, 55630.45501302, 114.01188812
INFO:root:119.82085232, 55737.52500000, 114.24710011
INFO:root:118.64782138, 55670.37413194, 113.08078401
INFO:root:118.10321880, 55668.00208333, 112.53641862
INFO:root:117.84449963, 55575.43661024, 112.28695598
INFO:root:118.81347563, 55588.53207465, 113.25462248
INFO:root:117.17355325, 55541.92693142, 111.61936078
INFO:root:117.38451479, 55564.41992188, 111.82807299
INFO:root:117.79201931, 55607.88812934, 112.23123059
INFO:root:118.06229070, 55487.49765625, 112.51354129
INFO:root:118.96433686, 55602.09121094, 113.40412793
INFO:root:117.94877362, 55469.21302083, 112.40185246
INFO:root:119.15122032, 55591.73593750, 113.59204653
INFO:root:117.21419343, 55495.79555122, 111.66461385
INFO:root:115.35947185, 55459.97777778, 109.81347444
INFO:root:118.05946142, 55483.79613715, 112.51108191
INFO:root:118.66887262, 55454.61612413, 113.12341109
INFO:root:117.23989796, 55554.93613281, 111.68440442
INFO:root:116.91066047, 55463.69019097, 111.36429168
INFO:root:118.22262484, 55456.15397135, 112.67700996
INFO:root:117.96382963, 55481.74943576, 112.41565480
INFO:root:117.44381909, 55414.12762587, 111.90240657
INFO:root:115.90130170, 55405.40642361, 110.36076118
INFO:root:114.79893256, 55368.79014757, 109.26205372
INFO:root:116.36942401, 55374.93480903, 110.83193046
INFO:root:116.91770660, 55423.87389323, 111.37531950
INFO:root:117.61313655, 55430.39548611, 112.07009714
INFO:root:118.03996955, 55416.53318142, 112.49831607
INFO:root:116.26485651, 55435.29463976, 110.72132717
INFO:root:116.59399278, 55364.95653212, 111.05749702
INFO:root:115.55207130, 55374.83730469, 110.01458778
INFO:root:118.19663993, 55383.31558160, 112.65830845
INFO:root:115.50285623, 55235.47352431, 109.97930904
INFO:root:115.82166710, 55198.28708767, 110.30183856
INFO:root:117.64753329, 55405.03600260, 112.10702998
INFO:root:117.11262347, 55305.62078993, 111.58206151
INFO:root:116.25949597, 55303.03960503, 110.72919197
INFO:root:114.77419904, 55311.59574653, 109.24303962
INFO:root:115.65954124, 55272.96586372, 110.13224479
INFO:root:114.91806310, 55172.83669705, 109.40077960
INFO:root:117.18223801, 55389.07167969, 111.64333098
INFO:root:114.99539553, 55218.28240017, 109.47356745
INFO:root:114.54197439, 55201.18891059, 109.02185576
INFO:root:115.92445450, 55264.69989149, 110.39798470
INFO:root:116.83250338, 55216.70347222, 111.31083323
INFO:root:115.73091698, 55123.51184896, 110.21856579
INFO:root:115.23327065, 55292.72361111, 109.70399848
INFO:root:114.72175780, 55188.91603733, 109.20286641
INFO:root:114.81262728, 55220.93971354, 109.29053353
INFO:root:114.36660593, 55139.26341146, 108.85267970
INFO:root:114.86418898, 55112.78880208, 109.35291044
INFO:root:116.00296851, 55267.93376736, 110.47617544
INFO:root:115.49513418, 55198.17825521, 109.97531649
INFO:root:115.97299881, 55286.18322483, 110.44438070
INFO:root:115.41119754, 55161.38769531, 109.89505865
INFO:root:115.04392374, 55134.09168837, 109.53051478
INFO:root:114.87746574, 55162.62773437, 109.36120313
INFO:root:113.72213114, 55102.43880208, 108.21188740
INFO:root:113.53114811, 55025.75097656, 108.02857314
