INFO:root:Namespace(batch_size=50, beta=1.0, clip=10, device=device(type='cuda'), epochs=300, hdim=1024, learning_rate=0.001, model='VRNN', nlayers=1, save_every=1, version='v1', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 300 epochs.
INFO:root:Train Loss, KLD, Reconstruction Loss
INFO:root:382360.031, 1610.853, 380749.177
INFO:root:321975.146, 359.911, 321615.235
INFO:root:212385.081, 2502.411, 209882.670
INFO:root:191651.215, 3708.014, 187943.201
INFO:root:182115.003, 4454.080, 177660.923
INFO:root:174480.212, 5145.353, 169334.860
INFO:root:167768.102, 5696.910, 162071.192
INFO:root:162642.861, 6099.990, 156542.871
INFO:root:158723.760, 6388.028, 152335.732
INFO:root:154824.713, 6611.737, 148212.976
INFO:root:151930.610, 6772.448, 145158.162
INFO:root:149077.488, 6930.380, 142147.108
INFO:root:146794.008, 7025.002, 139769.006
INFO:root:144332.928, 7126.618, 137206.310
INFO:root:142229.669, 7218.726, 135010.943
INFO:root:140427.027, 7268.945, 133158.082
INFO:root:138363.118, 7331.346, 131031.772
INFO:root:137133.094, 7358.331, 129774.762
INFO:root:135268.064, 7410.203, 127857.861
INFO:root:133570.462, 7441.866, 126128.596
INFO:root:132256.890, 7482.834, 124774.056
INFO:root:131096.088, 7487.026, 123609.062
INFO:root:129616.857, 7518.345, 122098.512
INFO:root:128358.583, 7546.258, 120812.325
INFO:root:127790.023, 7567.443, 120222.580
INFO:root:126301.215, 7606.387, 118694.828
INFO:root:125223.967, 7623.851, 117600.116
INFO:root:124323.356, 7636.346, 116687.010
INFO:root:123249.779, 7665.194, 115584.585
INFO:root:122393.523, 7697.009, 114696.513
INFO:root:121929.114, 7689.700, 114239.413
INFO:root:120727.102, 7718.781, 113008.321
INFO:root:120099.744, 7731.880, 112367.864
INFO:root:119133.868, 7751.083, 111382.785
INFO:root:118693.693, 7763.736, 110929.956
INFO:root:118072.794, 7742.184, 110330.610
INFO:root:116910.998, 7799.464, 109111.533
INFO:root:116898.125, 7801.389, 109096.737
INFO:root:115748.351, 7813.645, 107934.706
INFO:root:115303.387, 7818.274, 107485.113
INFO:root:114485.056, 7835.624, 106649.432
INFO:root:114050.106, 7855.377, 106194.729
INFO:root:113296.731, 7866.429, 105430.303
INFO:root:113071.301, 7877.975, 105193.326
INFO:root:112364.320, 7869.177, 104495.144
INFO:root:112019.325, 7885.749, 104133.576
INFO:root:111363.701, 7887.678, 103476.024
INFO:root:111228.780, 7877.060, 103351.720
INFO:root:109905.062, 7907.424, 101997.638
INFO:root:109893.212, 7917.622, 101975.590
INFO:root:109509.841, 7907.056, 101602.785
INFO:root:109048.574, 7937.218, 101111.356
INFO:root:108838.655, 7930.982, 100907.673
INFO:root:108450.528, 7913.908, 100536.620
