INFO:root:Namespace(batch_size=50, beta=1.0, clip=10, device=device(type='cuda'), epochs=120, hdim=1024, learning_rate=0.0001, model='VRNN', nlayers=1, save_every=100, version='v1', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 120 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:124104.71510417, 1505.67509011, 122599.04010417
INFO:root:87501.75286458, 82.73759510, 87419.01532118
INFO:root:87197.12421875, 8.16740689, 87188.95681424
INFO:root:87151.91210938, 1.51540830, 87150.39670139
INFO:root:87141.80750868, 0.46433022, 87141.34318576
INFO:root:87138.75898438, 0.24728624, 87138.51171875
INFO:root:87137.59483507, 0.17848413, 87137.41627604
INFO:root:87137.05698785, 0.14349789, 87136.91371528
INFO:root:87136.79761285, 0.11994381, 87136.67738715
INFO:root:87136.58250868, 0.10327409, 87136.47925347
INFO:root:87136.45820313, 0.08544829, 87136.37243924
INFO:root:87136.38168403, 0.07866625, 87136.30286458
INFO:root:87136.31723090, 0.06722589, 87136.24991319
INFO:root:87136.28172743, 0.06287173, 87136.21901042
INFO:root:87136.24101562, 0.05881562, 87136.18216146
INFO:root:87136.21987847, 0.05705110, 87136.16293403
INFO:root:87136.20642361, 0.05429740, 87136.15199653
INFO:root:87136.19531250, 0.05996256, 87136.13524306
INFO:root:87136.17703993, 0.05467870, 87136.12248264
INFO:root:87136.17491319, 0.05862649, 87136.11610243
INFO:root:87136.16371528, 0.05613935, 87136.10750868
INFO:root:87136.17894965, 0.07681018, 87136.10230035
INFO:root:87136.17621528, 0.07931852, 87136.09704861
INFO:root:87136.22105035, 0.12625845, 87136.09479167
INFO:root:87136.26597222, 0.17669208, 87136.08936632
INFO:root:87136.24722222, 0.16113107, 87136.08585069
INFO:root:87136.30447049, 0.22177597, 87136.08276910
INFO:root:87136.34613715, 0.26541730, 87136.08077257
INFO:root:87136.34865451, 0.26784851, 87136.08068576
INFO:root:87136.40407986, 0.32607646, 87136.07769097
INFO:root:87136.42148437, 0.34567789, 87136.07612847
INFO:root:87136.36610243, 0.29095626, 87136.07547743
INFO:root:87136.53085937, 0.45625138, 87136.07473958
INFO:root:87136.27903646, 0.20602473, 87136.07296007
INFO:root:87136.48302951, 0.41035781, 87136.07252604
INFO:root:87136.60403646, 0.53295125, 87136.07105035
INFO:root:87136.46362847, 0.39294756, 87136.07048611
INFO:root:87136.24292535, 0.17212084, 87136.07057292
INFO:root:87136.40972222, 0.34067863, 87136.06909722
INFO:root:87136.44162326, 0.37238473, 87136.06918403
INFO:root:87136.43719618, 0.36716669, 87136.06957465
INFO:root:87136.38033854, 0.31199717, 87136.06814236
INFO:root:87136.50868056, 0.44059194, 87136.06822917
INFO:root:87136.38828125, 0.32037648, 87136.06788194
INFO:root:87136.29878472, 0.23087001, 87136.06783854
INFO:root:87136.44748264, 0.38049409, 87136.06692708
INFO:root:87136.41657986, 0.34930262, 87136.06718750
INFO:root:87136.29865451, 0.23143104, 87136.06723090
INFO:root:87136.37473958, 0.30839429, 87136.06636285
INFO:root:87136.40902778, 0.34230946, 87136.06666667
INFO:root:87136.41375868, 0.34816594, 87136.06579861
