INFO:root:Namespace(batch_size=50, beta=1.0, clip=10, device=device(type='cuda'), epochs=150, hdim=64, learning_rate=0.1, model='VRNN', nlayers=1, save_every=100, step_size=1000, version='v2', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 150 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:42346653616944.46875000, 42346653615162.50781250, 1791.62684326
INFO:root:31990.34294705, 30247.62167969, 1742.72125651
INFO:root:31006.16764323, 29263.44634332, 1742.72124837
INFO:root:29985.01847873, 28242.29723307, 1742.72124634
INFO:root:28875.12497830, 27132.40380859, 1742.72124905
INFO:root:27739.15312500, 25996.43184679, 1742.72125041
INFO:root:26999.89715712, 25257.17591146, 1742.72124091
INFO:root:26304.04905599, 24561.32777778, 1742.72124091
INFO:root:25562.12570530, 23819.40434028, 1742.72125719
INFO:root:24781.15210503, 23038.43089193, 1742.72125380
INFO:root:23968.32504340, 22225.60379774, 1742.72124430
INFO:root:23295.10219184, 21552.38091363, 1742.72123481
INFO:root:22849.37891710, 21106.65762804, 1742.72125109
INFO:root:22381.20142144, 20638.48011068, 1742.72125109
INFO:root:21889.31719835, 20146.59596354, 1742.72124837
INFO:root:21375.46050347, 19632.73917101, 1742.72124769
INFO:root:20856.52912326, 19113.80792101, 1742.72124905
INFO:root:20516.67884115, 18773.95760634, 1742.72124837
INFO:root:20220.68729384, 18477.96603733, 1742.72123210
INFO:root:19907.34600694, 18164.62480469, 1742.72124430
INFO:root:19576.78911675, 17834.06783854, 1742.72124430
INFO:root:19229.29500868, 17486.57382813, 1742.72124091
INFO:root:18920.80168186, 17178.08051215, 1742.72123481
INFO:root:18722.61807726, 16979.89679905, 1742.72125041
INFO:root:18516.11664497, 16773.39532335, 1742.72125651
INFO:root:18296.30276693, 16553.58154297, 1742.72124634
INFO:root:18062.87720269, 16320.15602756, 1742.72125515
INFO:root:17818.76100260, 16076.03975152, 1742.72123481
INFO:root:17648.70626085, 15905.98503689, 1742.72124905
INFO:root:17507.93221571, 15765.21094293, 1742.72125854
INFO:root:17357.01786024, 15614.29658203, 1742.72126194
INFO:root:17195.52856988, 15452.80732422, 1742.72124498
INFO:root:17023.03735894, 15280.31599935, 1742.72125719
INFO:root:16860.07271050, 15117.35148112, 1742.72124905
INFO:root:16756.05993924, 15013.33870443, 1742.72125719
INFO:root:16649.65432943, 14906.93307292, 1742.72125922
INFO:root:16535.12730577, 14792.40601128, 1742.72125041
INFO:root:16412.03895942, 14669.31767036, 1742.72123820
INFO:root:16280.35379232, 14537.63255751, 1742.72126261
INFO:root:16182.05126953, 14439.33004557, 1742.72124159
INFO:root:16105.40801866, 14362.68681098, 1742.72124498
INFO:root:16022.56788737, 14279.84667426, 1742.72126261
INFO:root:15933.13594835, 14190.41469727, 1742.72124837
INFO:root:15836.69376085, 14093.97250977, 1742.72124769
INFO:root:15741.10856120, 13998.38729926, 1742.72123277
INFO:root:15679.66279297, 13936.94156359, 1742.72124634
INFO:root:15618.81933051, 13876.09807943, 1742.72124905
INFO:root:15552.89313694, 13810.17183160, 1742.72126804
INFO:root:15481.56128472, 13738.84003364, 1742.72125109
INFO:root:15404.43173828, 13661.71046549, 1742.72125448
INFO:root:15342.33178711, 13599.61055773, 1742.72124363
INFO:root:15297.09025065, 13554.36901584, 1742.72124498
INFO:root:15247.96797960, 13505.24672852, 1742.72124430
INFO:root:15194.68780924, 13451.96654188, 1742.72124905
INFO:root:15136.92867839, 13394.20742730, 1742.72124837
INFO:root:15077.57414280, 13334.85288086, 1742.72124905
INFO:root:15038.61162652, 13295.89037001, 1742.72124634
INFO:root:15001.71940104, 13258.99814453, 1742.72124702
INFO:root:14961.64466688, 13218.92339410, 1742.72125787
INFO:root:14918.12535807, 13175.40411784, 1742.72125854
INFO:root:14870.90844184, 13128.18724501, 1742.72125380
INFO:root:14830.10228950, 13087.38108181, 1742.72125515
INFO:root:14802.13495009, 13059.41370443, 1742.72123549
INFO:root:14771.89269206, 13029.17141385, 1742.72124973
INFO:root:14739.04077148, 12996.31952582, 1742.72124973
INFO:root:14703.39523112, 12960.67394748, 1742.72124837
INFO:root:14665.87964410, 12923.15839844, 1742.72123277
INFO:root:14640.44206272, 12897.72081706, 1742.72124498
INFO:root:14617.70256619, 12874.98133138, 1742.72123617
INFO:root:14593.04385308, 12850.32261827, 1742.72123956
INFO:root:14566.33142904, 12823.61011285, 1742.72125854
INFO:root:14537.40365668, 12794.68241645, 1742.72126397
INFO:root:14511.02078993, 12768.29952799, 1742.72124430
INFO:root:14493.74138997, 12751.02013889, 1742.72124837
INFO:root:14475.49629449, 12732.77504340, 1742.72123277
INFO:root:14455.83098958, 12713.10974392, 1742.72124295
INFO:root:14434.67433268, 12691.95309245, 1742.72124837
INFO:root:14412.24723850, 12669.52594401, 1742.72125515
INFO:root:14396.48493381, 12653.76367188, 1742.72125176
INFO:root:14383.44225260, 12640.72102865, 1742.72124091
INFO:root:14369.49969618, 12626.77845052, 1742.72125719
INFO:root:14354.98222656, 12612.26100260, 1742.72124295
INFO:root:14345.28687066, 12602.56561957, 1742.72124837
INFO:root:14337.85035807, 12595.12907444, 1742.72125041
INFO:root:14333.07882487, 12590.35758464, 1742.72123956
INFO:root:14328.19428168, 12585.47303060, 1742.72123413
INFO:root:14322.93734809, 12580.21605903, 1742.72124159
INFO:root:14317.28839518, 12574.56714952, 1742.72123684
INFO:root:14311.24820421, 12568.52699110, 1742.72124837
INFO:root:14306.74425998, 12564.02299262, 1742.72125515
INFO:root:14303.27086589, 12560.54957140, 1742.72125380
INFO:root:14299.56929253, 12556.84804688, 1742.72126397
INFO:root:14295.63755968, 12552.91631402, 1742.72125583
INFO:root:14291.47321506, 12548.75194227, 1742.72124091
INFO:root:14287.42535807, 12544.70409614, 1742.72124091
INFO:root:14284.88512370, 12542.16389431, 1742.72124023
INFO:root:14282.45429687, 12539.73304579, 1742.72123888
INFO:root:14279.90250651, 12537.18128798, 1742.72122667
INFO:root:14277.23749457, 12534.51622179, 1742.72124973
INFO:root:14274.46831055, 12531.74705946, 1742.72123956
INFO:root:14272.30749240, 12529.58624132, 1742.72124973
INFO:root:14270.81178385, 12528.09053277, 1742.72124634
INFO:root:14269.30180122, 12526.58058268, 1742.72125109
INFO:root:14267.75284831, 12525.03156467, 1742.72123956
INFO:root:14266.12114800, 12523.39988607, 1742.72124566
INFO:root:14264.53253581, 12521.81126845, 1742.72123752
INFO:root:14263.56459418, 12520.84332682, 1742.72125719
INFO:root:14262.70912001, 12519.98784722, 1742.72123752
INFO:root:14261.83076714, 12519.10951063, 1742.72125719
INFO:root:14260.94593099, 12518.22466905, 1742.72125041
INFO:root:14260.04977214, 12517.32851563, 1742.72124769
INFO:root:14259.32952474, 12516.60823568, 1742.72125787
INFO:root:14258.89622938, 12516.17502170, 1742.72123752
INFO:root:14258.46011827, 12515.73888889, 1742.72126397
INFO:root:14258.01960178, 12515.29834527, 1742.72125312
INFO:root:14257.56528320, 12514.84404297, 1742.72123820
INFO:root:14257.09861111, 12514.37736545, 1742.72122938
INFO:root:14256.77826606, 12514.05703125, 1742.72123549
INFO:root:14256.50486111, 12513.78360460, 1742.72125312
INFO:root:14256.22746311, 12513.50620117, 1742.72123549
INFO:root:14255.94430339, 12513.22306315, 1742.72124227
INFO:root:14255.65366211, 12512.93242188, 1742.72125583
INFO:root:14255.40821940, 12512.68696832, 1742.72125515
INFO:root:14255.27269965, 12512.55149197, 1742.72124295
INFO:root:14255.13745660, 12512.41620009, 1742.72124295
INFO:root:14254.99901259, 12512.27780490, 1742.72124363
INFO:root:14254.85589735, 12512.13465712, 1742.72124634
INFO:root:14254.71397569, 12511.99270291, 1742.72125583
INFO:root:14254.66462131, 12511.94333767, 1742.72125448
