INFO:root:Namespace(batch_size=52, beta=0.001, clip=10, device=device(type='cuda'), epochs=50, learning_rate=1e-06, model='cdna', save_every=10)
INFO:root:Starting SV2P training on Posterior Network.
INFO:root:Train Loss, KLD, MSE
INFO:root:175.17732309, 13.56377978, 175.16375952
INFO:root:175.05544079, 11.87769799, 175.04356297
INFO:root:175.00498857, 11.07376296, 174.99391464
INFO:root:175.24821648, 10.55957421, 175.23765687
INFO:root:174.99468600, 10.14571239, 174.98454065
INFO:root:175.04189669, 9.79793598, 175.03209853
INFO:root:175.23406561, 9.49181734, 175.22457421
INFO:root:175.20148854, 9.21461929, 175.19227390
INFO:root:175.46649187, 8.96664296, 175.45752532
INFO:root:175.22736657, 8.74415745, 175.21862258
INFO:root:175.02118955, 8.53795483, 175.01265155
INFO:root:175.27646383, 8.34666779, 175.26811762
INFO:root:175.21862968, 8.16668855, 175.21046299
INFO:root:175.07151987, 7.99826494, 175.06352208
INFO:root:175.38560460, 7.83736169, 175.37776693
INFO:root:175.22672114, 7.68393889, 175.21903694
INFO:root:175.27632264, 7.53661399, 175.26878602
INFO:root:175.27263633, 7.39481539, 175.26524134
INFO:root:175.07195896, 7.25960488, 175.06469928
INFO:root:175.04019244, 7.12889085, 175.03306378
INFO:root:175.05119157, 7.00256639, 175.04418884
INFO:root:175.33780083, 6.88004870, 175.33092078
INFO:root:175.19964538, 6.76031112, 175.19288434
INFO:root:175.07033363, 6.64259593, 175.06369097
INFO:root:175.12288201, 6.52643985, 175.11635537
INFO:root:175.31635758, 6.41130938, 175.30994617
INFO:root:175.11253953, 6.29905973, 175.10624090
INFO:root:175.02685889, 6.18633134, 175.02067268
INFO:root:175.08760755, 6.07589991, 175.08153174
INFO:root:175.20367011, 5.96585508, 175.19770383
INFO:root:175.06627892, 5.85699248, 175.06042182
INFO:root:174.95734993, 5.74973427, 174.95160035
INFO:root:175.17921772, 5.64373481, 175.17357407
INFO:root:175.03439349, 5.53216989, 175.02886112
INFO:root:175.10453086, 5.41598617, 175.09911443
INFO:root:175.16433584, 5.30608586, 175.15902982
INFO:root:175.09489283, 5.19961232, 175.08969318
INFO:root:175.01000968, 5.09684477, 175.00491289
INFO:root:175.13738628, 4.99699629, 175.13238955
INFO:root:175.21386894, 4.89779781, 175.20897122
INFO:root:175.36667133, 4.79992796, 175.36187174
INFO:root:174.98789443, 4.70516342, 174.98318946
INFO:root:175.18587178, 4.61174026, 175.18125986
INFO:root:175.02403023, 4.52012862, 175.01951029
INFO:root:174.96643452, 4.43122879, 174.96200412
INFO:root:175.11183070, 4.34342775, 175.10748747
INFO:root:175.33482589, 4.25669993, 175.33056877
INFO:root:175.03220139, 4.17315123, 175.02802820
INFO:root:175.05328623, 4.09211131, 175.04919407
INFO:root:175.02330640, 4.01332429, 175.01929316
INFO:root:Finished training
INFO:root:Saved model. Final Checkpoint.
INFO:root:Completed posterior training
