INFO:root:Namespace(batch_size=52, beta=10.0, clip=10, device=device(type='cuda'), epochs=50, learning_rate=1e-06, model='cdna', save_every=10)
INFO:root:Starting SV2P training on Posterior Network.
INFO:root:Train Loss, KLD, MSE
INFO:root:310.80131557, 13.56375951, 175.16372067
INFO:root:293.82016938, 11.87765975, 175.04357226
INFO:root:285.73105814, 11.07371541, 174.99390429
INFO:root:280.83280129, 10.55951524, 175.23764854
INFO:root:276.44095454, 10.14564427, 174.98451145
INFO:root:273.01071983, 9.79785986, 175.03212221
INFO:root:270.14189490, 9.49173442, 175.22455009
INFO:root:267.33762342, 9.21453174, 175.19230564
INFO:root:265.12306740, 8.96655462, 175.45752102
INFO:root:262.65927431, 8.74406448, 175.21862960
INFO:root:260.39127911, 8.53786124, 175.01266751
INFO:root:258.73380402, 8.34657037, 175.26809999
INFO:root:256.87632199, 8.16658368, 175.21048579
INFO:root:255.04500124, 7.99815386, 175.06346271
INFO:root:253.75026019, 7.83724693, 175.37779052
INFO:root:252.05726764, 7.68382101, 175.21905895
INFO:root:250.63368032, 7.53649179, 175.26876130
INFO:root:249.21209699, 7.39468788, 175.26521827
INFO:root:247.65941480, 7.25947338, 175.06468069
INFO:root:246.32059058, 7.12875459, 175.03304571
INFO:root:245.06849381, 7.00243023, 175.04419173
INFO:root:244.12999261, 6.87990616, 175.33093139
INFO:root:242.79444526, 6.76016163, 175.19282944
INFO:root:241.48809639, 6.64244021, 175.06369396
INFO:root:240.37914951, 6.52628079, 175.11634265
INFO:root:239.42137532, 6.41114338, 175.30994187
INFO:root:238.09511128, 6.29888700, 175.10624195
INFO:root:236.88213647, 6.18615063, 175.02063041
INFO:root:235.83861928, 6.07570760, 175.08154314
INFO:root:234.85425918, 5.96565311, 175.19772856
INFO:root:233.62819689, 5.85677845, 175.06041279
INFO:root:232.44674095, 5.74951069, 174.95163350
INFO:root:231.60856672, 5.64350111, 175.17355548
INFO:root:230.34812103, 5.53192745, 175.02884578
INFO:root:229.25645280, 5.41573533, 175.09909899
INFO:root:228.21733058, 5.30582621, 175.15906858
INFO:root:227.08314251, 5.19934766, 175.08966608
INFO:root:225.97062464, 5.09657311, 175.00489360
INFO:root:225.09955018, 4.99671604, 175.13238964
INFO:root:224.18406818, 4.89751093, 175.20895903
INFO:root:223.35812527, 4.79962581, 175.36186806
INFO:root:222.03174381, 4.70485761, 174.98316763
INFO:root:221.29555503, 4.61142903, 175.18126468
INFO:root:220.21761357, 4.51981342, 175.01947916
INFO:root:219.27112535, 4.43091268, 174.96199816
INFO:root:218.53861517, 4.34310927, 175.10752299
INFO:root:217.89445776, 4.25638372, 175.33062078
INFO:root:216.75640852, 4.17283468, 175.02806170
INFO:root:215.96714178, 4.09179402, 175.04920039
INFO:root:215.14931067, 4.01300334, 175.01927720
INFO:root:Finished training
INFO:root:Saved model. Final Checkpoint.
INFO:root:Completed posterior training
