INFO:root:Namespace(batch_size=52, beta_end=0.001, beta_start=0, clip=10, device=device(type='cuda'), epochs=100, learning_rate=0.0001, model='cdna', save_every=25, stage=2)
INFO:root:State Dictionary Path (Stochastic) is: saves/sv2p/stage1/finetuned3/sv2p_cdna_state_dict_99.pth
INFO:root:Starting SV2P training on Stage 2 for 100 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:171.77300727, 11.53850980, 171.77300727
INFO:root:172.73674888, 11.53881515, 172.73674888
INFO:root:176.45393959, 11.53842468, 176.45393959
INFO:root:176.21111166, 11.53823205, 176.21111166
INFO:root:176.06624524, 11.53937712, 176.06624524
INFO:root:174.40087891, 11.53952623, 174.40087891
INFO:root:173.63292124, 11.53860740, 173.63292124
INFO:root:173.40617344, 11.53788265, 173.40617344
INFO:root:172.61369727, 11.53908655, 172.61369727
INFO:root:173.10955811, 11.53858020, 173.10955811
INFO:root:175.69636185, 11.53789267, 175.69636185
INFO:root:174.75058632, 11.53832465, 174.75058632
INFO:root:173.64671913, 11.53807981, 173.64671913
INFO:root:173.51242934, 11.53851240, 173.51242934
INFO:root:172.60702716, 11.53869294, 172.60702716
INFO:root:172.83549640, 11.53881069, 172.83549640
INFO:root:172.85301121, 11.53869478, 172.85301121
INFO:root:171.97762956, 11.53877537, 171.97762956
INFO:root:171.08304763, 11.53890693, 171.08304763
INFO:root:170.70162297, 11.53912926, 170.70162297
INFO:root:172.03086502, 11.53823193, 172.03086502
INFO:root:173.45907365, 11.53825130, 173.45907365
INFO:root:173.00666138, 11.53795585, 173.00666138
INFO:root:172.89489878, 11.53890681, 172.89489878
INFO:root:171.83088044, 11.53815517, 171.83088044
INFO:root:170.21370618, 11.53818483, 170.21370618
INFO:root:169.61607089, 11.53936820, 169.61607089
INFO:root:177.05686793, 11.53825594, 177.05686793
INFO:root:197.03156491, 11.53930893, 197.03156491
INFO:root:176.91603974, 11.53853389, 176.91603974
INFO:root:170.73853565, 11.53816189, 170.73853565
INFO:root:167.94207658, 11.54010503, 167.94207658
INFO:root:166.67432947, 11.53816780, 166.67432947
INFO:root:167.24995221, 11.53948990, 167.24995221
INFO:root:167.91167985, 11.53820933, 167.91167985
INFO:root:168.81535366, 11.53925519, 168.81535366
INFO:root:168.72686873, 11.54002688, 168.72686873
INFO:root:169.23303819, 11.53902746, 169.23303819
INFO:root:169.48173532, 11.53851773, 169.48173532
INFO:root:169.13022806, 11.53928412, 169.13022806
INFO:root:169.67970749, 11.53867102, 169.67970749
INFO:root:169.23456538, 11.53867443, 169.23456538
INFO:root:169.09080926, 11.53862656, 169.09080926
INFO:root:169.48788522, 11.53838406, 169.48788522
INFO:root:169.66466943, 11.53914763, 169.66466943
INFO:root:169.65113743, 11.53745192, 169.65113743
INFO:root:169.11675420, 11.53862667, 169.11675420
INFO:root:168.73358786, 11.53870854, 168.73358786
INFO:root:168.93215258, 11.53841176, 168.93215258
INFO:root:169.04096020, 11.53953253, 169.04096020
INFO:root:168.51205050, 11.53960528, 168.51205050
INFO:root:170.00897243, 11.53888804, 170.00897243
INFO:root:168.21269542, 11.53824083, 168.21269542
