INFO:root:Namespace(batch_size=52, beta_end=0.001, beta_start=0, clip=10, device=device(type='cuda'), epochs=100, learning_rate=0.01, model='cdna', save_every=25, stage=2)
INFO:root:State Dictionary Path (Stochastic) is: saves/sv2p/stage3/final_beta=0.001/sv2p_cdna_state_dict_299.pth
INFO:root:Starting SV2P training on Stage 2 for 100 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:873.31044980, 0.03634974, 873.31044980
INFO:root:727.27528539, 0.03623380, 727.27528539
INFO:root:685.32428364, 0.03621804, 685.32428364
INFO:root:664.25407708, 0.03616324, 664.25407708
INFO:root:652.87525537, 0.03617972, 652.87525537
INFO:root:643.57804081, 0.03623073, 643.57804081
INFO:root:632.53164497, 0.03625622, 632.53164497
INFO:root:621.72478792, 0.03629828, 621.72478792
INFO:root:614.23872568, 0.03624985, 614.23872568
INFO:root:610.21443650, 0.03632156, 610.21443650
INFO:root:604.76496800, 0.03636347, 604.76496800
INFO:root:598.24158311, 0.03630657, 598.24158311
INFO:root:594.36805953, 0.03628815, 594.36805953
INFO:root:591.08332527, 0.03627292, 591.08332527
INFO:root:587.59450136, 0.03614855, 587.59450136
INFO:root:584.54559642, 0.03636848, 584.54559642
INFO:root:581.48480260, 0.03630788, 581.48480260
INFO:root:580.02290257, 0.03635519, 580.02290257
INFO:root:577.70261216, 0.03624425, 577.70261216
INFO:root:576.23857169, 0.03628971, 576.23857169
INFO:root:573.94590461, 0.03621021, 573.94590461
INFO:root:571.07898931, 0.03616083, 571.07898931
INFO:root:570.12393136, 0.03618224, 570.12393136
INFO:root:569.41358264, 0.03627972, 569.41358264
INFO:root:567.39732484, 0.03621735, 567.39732484
INFO:root:564.82183259, 0.03625695, 564.82183259
INFO:root:564.34288358, 0.03640767, 564.34288358
INFO:root:563.63759324, 0.03607806, 563.63759324
INFO:root:561.32661315, 0.03625464, 561.32661315
INFO:root:561.88042862, 0.03617140, 561.88042862
INFO:root:560.21447912, 0.03637645, 560.21447912
INFO:root:557.97949324, 0.03616137, 557.97949324
INFO:root:558.56683297, 0.03625414, 558.56683297
INFO:root:557.60226651, 0.03625915, 557.60226651
INFO:root:554.96711275, 0.03634472, 554.96711275
INFO:root:555.77072564, 0.03615503, 555.77072564
INFO:root:555.70958561, 0.03625887, 555.70958561
INFO:root:554.89927901, 0.03625660, 554.89927901
INFO:root:554.91984085, 0.03634918, 554.91984085
INFO:root:554.16226758, 0.03615426, 554.16226758
INFO:root:553.17208722, 0.03621757, 553.17208722
INFO:root:551.57253642, 0.03623824, 551.57253642
INFO:root:550.80024351, 0.03630505, 550.80024351
INFO:root:550.20497394, 0.03629344, 550.20497394
INFO:root:549.90206593, 0.03629645, 549.90206593
INFO:root:550.80926058, 0.03626823, 550.80926058
INFO:root:548.32900212, 0.03626705, 548.32900212
INFO:root:551.55833628, 0.03619869, 551.55833628
INFO:root:547.91114158, 0.03624968, 547.91114158
INFO:root:547.37397415, 0.03631070, 547.37397415
INFO:root:546.89536399, 0.03616175, 546.89536399
INFO:root:545.53602793, 0.03625372, 545.53602793
INFO:root:547.42944266, 0.03613899, 547.42944266
INFO:root:545.25872680, 0.03629637, 545.25872680
INFO:root:545.74617373, 0.03609565, 545.74617373
INFO:root:546.10771197, 0.03622165, 546.10771197
INFO:root:544.17294557, 0.03622773, 544.17294557
INFO:root:545.55142826, 0.03631151, 545.55142826
INFO:root:545.90133667, 0.03630208, 545.90133667
INFO:root:542.84518976, 0.03630443, 542.84518976
INFO:root:543.47535232, 0.03617331, 543.47535232
INFO:root:544.29055453, 0.03617402, 544.29055453
INFO:root:543.39992514, 0.03631448, 543.39992514
INFO:root:542.45411559, 0.03624726, 542.45411559
INFO:root:541.31217150, 0.03633178, 541.31217150
INFO:root:541.09842024, 0.03635572, 541.09842024
INFO:root:539.91132662, 0.03634299, 539.91132662
INFO:root:540.74146104, 0.03622712, 540.74146104
INFO:root:541.00367825, 0.03625817, 541.00367825
INFO:root:540.39936443, 0.03628160, 540.39936443
INFO:root:540.74598378, 0.03619258, 540.74598378
INFO:root:539.82256607, 0.03615181, 539.82256607
INFO:root:538.51469965, 0.03628485, 538.51469965
INFO:root:540.34837990, 0.03629466, 540.34837990
INFO:root:539.37203278, 0.03615709, 539.37203278
INFO:root:537.89247061, 0.03632142, 537.89247061
INFO:root:539.77070986, 0.03623809, 539.77070986
INFO:root:537.24316196, 0.03618733, 537.24316196
INFO:root:538.76839210, 0.03627438, 538.76839210
INFO:root:537.49423814, 0.03627599, 537.49423814
INFO:root:537.52633877, 0.03624269, 537.52633877
INFO:root:537.54995622, 0.03626477, 537.54995622
INFO:root:536.38288073, 0.03624148, 536.38288073
INFO:root:535.04609592, 0.03628245, 535.04609592
INFO:root:536.78735702, 0.03636450, 536.78735702
INFO:root:537.05833803, 0.03623594, 537.05833803
INFO:root:535.20657962, 0.03637291, 535.20657962
INFO:root:535.10897704, 0.03634376, 535.10897704
INFO:root:534.14920132, 0.03632579, 534.14920132
INFO:root:534.77141983, 0.03634900, 534.77141983
INFO:root:536.61625759, 0.03627330, 536.61625759
INFO:root:534.67474435, 0.03634583, 534.67474435
INFO:root:533.65171323, 0.03615436, 533.65171323
INFO:root:534.23056381, 0.03627130, 534.23056381
INFO:root:534.50985385, 0.03615214, 534.50985385
INFO:root:532.74962414, 0.03623020, 532.74962414
INFO:root:533.59247826, 0.03619056, 533.59247826
INFO:root:534.15476446, 0.03621534, 534.15476446
INFO:root:533.49977375, 0.03615372, 533.49977375
INFO:root:531.90221800, 0.03622433, 531.90221800
INFO:root:Finished training
INFO:root:Saved model. Final Checkpoint.
INFO:root:Completed 2 training
