INFO:root:Namespace(batch_size=52, beta_end=0.001, beta_start=0, clip=10, device=device(type='cuda'), epochs=200, learning_rate=1e-08, model='cdna', save_every=25, stage=2)
INFO:root:State Dictionary Path (Stochastic) is: saves/sv2p/stage3/final_beta=0.001/sv2p_cdna_state_dict_175.pth
INFO:root:Starting SV2P training on Stage 2 for 200 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:154.48623955, 0.31023707, 154.48623955
INFO:root:154.38136634, 0.30996726, 154.38136634
INFO:root:154.33435971, 0.31001102, 154.33435971
INFO:root:154.29286553, 0.30989697, 154.29286553
INFO:root:154.46902387, 0.30979847, 154.46902387
INFO:root:154.22332365, 0.30997827, 154.22332365
INFO:root:154.32901264, 0.31019645, 154.32901264
INFO:root:154.46175279, 0.31015110, 154.46175279
INFO:root:154.55916253, 0.30994144, 154.55916253
INFO:root:154.40479375, 0.31019877, 154.40479375
INFO:root:154.39972836, 0.31018549, 154.39972836
INFO:root:154.48257920, 0.31020692, 154.48257920
INFO:root:154.37623737, 0.31014625, 154.37623737
INFO:root:154.45390311, 0.31017552, 154.45390311
INFO:root:154.28771087, 0.30977822, 154.28771087
INFO:root:154.51816603, 0.31022717, 154.51816603
INFO:root:154.37357541, 0.31010344, 154.37357541
INFO:root:154.44217691, 0.31016979, 154.44217691
INFO:root:154.40005458, 0.31001600, 154.40005458
INFO:root:154.28375990, 0.31011113, 154.28375990
INFO:root:154.47332913, 0.31006206, 154.47332913
INFO:root:154.47961505, 0.30984759, 154.47961505
INFO:root:154.14053932, 0.30980196, 154.14053932
INFO:root:154.20941333, 0.31011691, 154.20941333
INFO:root:154.41210517, 0.30988534, 154.41210517
INFO:root:154.25288689, 0.30989369, 154.25288689
INFO:root:154.40299874, 0.31027221, 154.40299874
INFO:root:154.41208789, 0.30956644, 154.41208789
INFO:root:154.12845607, 0.31002236, 154.12845607
INFO:root:154.37632138, 0.30993206, 154.37632138
INFO:root:154.36150439, 0.31031975, 154.36150439
INFO:root:154.40076157, 0.30978674, 154.40076157
INFO:root:154.41458428, 0.31003961, 154.41458428
INFO:root:154.34989438, 0.30989292, 154.34989438
INFO:root:154.38966063, 0.31025142, 154.38966063
INFO:root:154.32239462, 0.30969569, 154.32239462
INFO:root:154.23233225, 0.30995048, 154.23233225
INFO:root:154.34005115, 0.31007278, 154.34005115
INFO:root:154.50678209, 0.31024854, 154.50678209
INFO:root:154.32644048, 0.30981813, 154.32644048
INFO:root:154.40315483, 0.31005123, 154.40315483
INFO:root:154.20929560, 0.31003082, 154.20929560
INFO:root:154.31702958, 0.31012183, 154.31702958
INFO:root:154.43770661, 0.31005722, 154.43770661
INFO:root:154.45587658, 0.31008309, 154.45587658
INFO:root:154.47972940, 0.31005869, 154.47972940
INFO:root:154.43007081, 0.31017074, 154.43007081
INFO:root:154.38861435, 0.30995005, 154.38861435
INFO:root:154.30564302, 0.30995576, 154.30564302
INFO:root:154.32187574, 0.31027471, 154.32187574
INFO:root:154.53222244, 0.30991355, 154.53222244
INFO:root:154.43183417, 0.30995256, 154.43183417
INFO:root:154.41402321, 0.30972787, 154.41402321
INFO:root:154.19594460, 0.31019595, 154.19594460
INFO:root:154.34693216, 0.30965571, 154.34693216
INFO:root:154.45725645, 0.30990446, 154.45725645
INFO:root:154.55589759, 0.30988956, 154.55589759
INFO:root:154.32051884, 0.31006489, 154.32051884
INFO:root:154.29172025, 0.31009885, 154.29172025
INFO:root:154.32597272, 0.31013828, 154.32597272
INFO:root:154.45388969, 0.30979172, 154.45388969
INFO:root:154.44274639, 0.30966337, 154.44274639
INFO:root:154.48098264, 0.31017203, 154.48098264
INFO:root:154.36441137, 0.31004076, 154.36441137
INFO:root:154.55460498, 0.31002252, 154.55460498
INFO:root:154.28670063, 0.31008243, 154.28670063
INFO:root:154.30661248, 0.31023702, 154.30661248
INFO:root:154.32809396, 0.30980807, 154.32809396
INFO:root:154.56012191, 0.31009076, 154.56012191
INFO:root:154.39731800, 0.31007062, 154.39731800
INFO:root:154.40505008, 0.30992544, 154.40505008
INFO:root:154.41777688, 0.30982435, 154.41777688
INFO:root:154.23920805, 0.31014781, 154.23920805
INFO:root:154.21981206, 0.31013795, 154.21981206
INFO:root:154.29108455, 0.30971368, 154.29108455
INFO:root:154.36654268, 0.31015559, 154.36654268
INFO:root:154.17813584, 0.31000518, 154.17813584
INFO:root:154.43683922, 0.30992499, 154.43683922
INFO:root:154.40871342, 0.30994004, 154.40871342
INFO:root:154.40320657, 0.31011752, 154.40320657
INFO:root:154.52128750, 0.31010606, 154.52128750
INFO:root:154.41333078, 0.30994452, 154.41333078
INFO:root:154.24931020, 0.30991112, 154.24931020
INFO:root:154.20384308, 0.30989022, 154.20384308
INFO:root:154.37602383, 0.31018694, 154.37602383
INFO:root:154.40474894, 0.30998058, 154.40474894
INFO:root:154.37515802, 0.31043534, 154.37515802
INFO:root:154.25779838, 0.31027248, 154.25779838
INFO:root:154.51677450, 0.31013560, 154.51677450
INFO:root:154.25332795, 0.31022827, 154.25332795
INFO:root:154.34408297, 0.30997156, 154.34408297
INFO:root:154.20269644, 0.31022180, 154.20269644
INFO:root:154.42975406, 0.30979427, 154.42975406
INFO:root:154.55297580, 0.31007365, 154.55297580
INFO:root:154.31943994, 0.30979735, 154.31943994
INFO:root:154.30014617, 0.31001335, 154.30014617
INFO:root:154.45429177, 0.30994933, 154.45429177
INFO:root:154.36383609, 0.30984103, 154.36383609
INFO:root:154.29931413, 0.30969050, 154.29931413
INFO:root:154.26808614, 0.30992402, 154.26808614
INFO:root:154.13586978, 0.30985634, 154.13586978
INFO:root:154.49177253, 0.30988071, 154.49177253
INFO:root:154.42885283, 0.31022495, 154.42885283
INFO:root:154.61268072, 0.31011466, 154.61268072
INFO:root:154.39651884, 0.31002511, 154.39651884
INFO:root:154.56652350, 0.30993864, 154.56652350
INFO:root:154.60325079, 0.31013956, 154.60325079
INFO:root:154.62076227, 0.31019448, 154.62076227
INFO:root:154.19244201, 0.31014134, 154.19244201
INFO:root:154.33484571, 0.31003778, 154.33484571
INFO:root:154.47150158, 0.30990252, 154.47150158
INFO:root:154.44229179, 0.30988970, 154.44229179
INFO:root:154.40593009, 0.30999140, 154.40593009
INFO:root:154.59987789, 0.30997842, 154.59987789
INFO:root:154.54054155, 0.30998070, 154.54054155
INFO:root:154.77062032, 0.31010405, 154.77062032
INFO:root:154.37817655, 0.31006286, 154.37817655
INFO:root:154.36120062, 0.31013071, 154.36120062
INFO:root:154.37086162, 0.30987586, 154.37086162
INFO:root:154.50116888, 0.31023593, 154.50116888
INFO:root:154.32205305, 0.30981733, 154.32205305
INFO:root:154.35594212, 0.30991398, 154.35594212
INFO:root:154.53904023, 0.31020355, 154.53904023
INFO:root:154.76962868, 0.31012520, 154.76962868
INFO:root:154.26582152, 0.30998716, 154.26582152
INFO:root:154.25225712, 0.30968322, 154.25225712
INFO:root:154.43903158, 0.31008654, 154.43903158
INFO:root:154.41586996, 0.30983141, 154.41586996
INFO:root:154.55096541, 0.30980558, 154.55096541
INFO:root:154.24666758, 0.30981655, 154.24666758
INFO:root:154.49712416, 0.31015450, 154.49712416
INFO:root:154.36102067, 0.31037452, 154.36102067
INFO:root:154.42482354, 0.30998409, 154.42482354
INFO:root:154.44822228, 0.30983793, 154.44822228
INFO:root:154.50560576, 0.31011748, 154.50560576
INFO:root:154.29793382, 0.30996571, 154.29793382
INFO:root:154.47852711, 0.30995040, 154.47852711
INFO:root:154.47878204, 0.30973765, 154.47878204
INFO:root:154.42148380, 0.30973572, 154.42148380
INFO:root:154.34683473, 0.30988268, 154.34683473
INFO:root:154.38153857, 0.31020218, 154.38153857
INFO:root:154.17490961, 0.30978157, 154.17490961
INFO:root:154.59136770, 0.31002557, 154.59136770
INFO:root:154.38268236, 0.30999033, 154.38268236
INFO:root:154.53466911, 0.30995908, 154.53466911
INFO:root:154.12805996, 0.30985505, 154.12805996
INFO:root:154.20950914, 0.31026311, 154.20950914
INFO:root:154.32424848, 0.30981512, 154.32424848
INFO:root:154.25258750, 0.31005486, 154.25258750
INFO:root:154.50340525, 0.31019718, 154.50340525
INFO:root:154.67174837, 0.31030328, 154.67174837
INFO:root:154.25141709, 0.31043647, 154.25141709
INFO:root:154.55828358, 0.31016524, 154.55828358
INFO:root:154.48276835, 0.30987020, 154.48276835
INFO:root:154.29098072, 0.30985283, 154.29098072
INFO:root:154.55769199, 0.31015485, 154.55769199
INFO:root:154.64295425, 0.30992917, 154.64295425
INFO:root:154.43917750, 0.31026690, 154.43917750
INFO:root:154.62868658, 0.30991970, 154.62868658
INFO:root:154.32505263, 0.31003415, 154.32505263
INFO:root:154.59243818, 0.31008194, 154.59243818
INFO:root:154.22326494, 0.31025857, 154.22326494
INFO:root:154.49639147, 0.30987952, 154.49639147
INFO:root:154.54288781, 0.31006446, 154.54288781
INFO:root:154.49641208, 0.31014027, 154.49641208
INFO:root:154.29922108, 0.31008973, 154.29922108
INFO:root:154.42936207, 0.31014082, 154.42936207
INFO:root:154.37821180, 0.31008362, 154.37821180
INFO:root:154.36357239, 0.31004225, 154.36357239
INFO:root:154.46041932, 0.31010453, 154.46041932
INFO:root:154.40974347, 0.30984235, 154.40974347
INFO:root:154.33897803, 0.30993263, 154.33897803
INFO:root:154.46021411, 0.30975479, 154.46021411
INFO:root:154.30211964, 0.30990722, 154.30211964
INFO:root:154.33449967, 0.31016433, 154.33449967
INFO:root:154.47189699, 0.31024063, 154.47189699
INFO:root:154.28302721, 0.30984933, 154.28302721
INFO:root:154.42213773, 0.30993540, 154.42213773
INFO:root:154.46956819, 0.31013488, 154.46956819
INFO:root:154.38239964, 0.30979760, 154.38239964
INFO:root:154.34281641, 0.31010166, 154.34281641
INFO:root:154.41449606, 0.31031451, 154.41449606
INFO:root:154.22210373, 0.31011029, 154.22210373
INFO:root:154.47852413, 0.31002236, 154.47852413
INFO:root:154.51474306, 0.31041849, 154.51474306
INFO:root:154.40307968, 0.30983956, 154.40307968
INFO:root:154.44471399, 0.31008328, 154.44471399
INFO:root:154.23850119, 0.31024834, 154.23850119
INFO:root:154.33744479, 0.30973692, 154.33744479
INFO:root:154.61151518, 0.31022346, 154.61151518
INFO:root:154.36737964, 0.31000109, 154.36737964
INFO:root:154.47842802, 0.31012608, 154.47842802
INFO:root:154.17034474, 0.31028785, 154.17034474
INFO:root:154.42706413, 0.31031256, 154.42706413
INFO:root:154.37327418, 0.30968812, 154.37327418
INFO:root:154.31458598, 0.31028928, 154.31458598
INFO:root:154.52738049, 0.31012462, 154.52738049
INFO:root:154.45055574, 0.31021791, 154.45055574
INFO:root:154.51870666, 0.31033327, 154.51870666
INFO:root:154.29053103, 0.31031083, 154.29053103
INFO:root:Finished training
INFO:root:Saved model. Final Checkpoint.
INFO:root:Completed 2 training
