INFO:root:Namespace(batch_size=52, beta_end=0.001, beta_start=0, clip=10, device=device(type='cuda'), epochs=300, learning_rate=1e-06, model='cdna', save_every=25, stage=3)
INFO:root:State Dictionary Path (Stochastic) is: saves/sv2p/stage2/finetuned2/sv2p_cdna_state_dict_199.pth
INFO:root:Starting SV2P training on Stage 3 for 300 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:154.46882173, 10.68811002, 154.46880446, 0.00000333
INFO:root:154.26707801, 9.70126916, 154.26702986, 0.00000667
INFO:root:154.23845585, 9.13780395, 154.23838008, 0.00001000
INFO:root:154.19677550, 8.67932146, 154.19667483, 0.00001333
INFO:root:154.35059418, 8.28542870, 154.35046904, 0.00001667
INFO:root:154.11573208, 7.93406216, 154.11558712, 0.00002000
INFO:root:154.22507933, 7.61648308, 154.22491429, 0.00002333
INFO:root:154.35783062, 7.32950875, 154.35764672, 0.00002667
INFO:root:154.45531937, 7.06489897, 154.45511882, 0.00003000
INFO:root:154.30351275, 6.81717674, 154.30329702, 0.00003333
INFO:root:154.31862176, 6.58711446, 154.31839121, 0.00003667
INFO:root:154.37850347, 6.37408021, 154.37825898, 0.00004000
INFO:root:154.26685623, 6.17485712, 154.26659832, 0.00004333
INFO:root:154.35415579, 5.98846381, 154.35388587, 0.00004667
INFO:root:154.18704241, 5.81186598, 154.18676161, 0.00005000
INFO:root:154.44293336, 5.64472358, 154.44264186, 0.00005333
INFO:root:154.27717213, 5.48627584, 154.27687046, 0.00005667
INFO:root:154.33339332, 5.33683608, 154.33308191, 0.00006000
INFO:root:154.31587272, 5.19412725, 154.31555263, 0.00006333
INFO:root:154.19965520, 5.05929876, 154.19932565, 0.00006667
INFO:root:154.40684299, 4.92945525, 154.40650615, 0.00007000
INFO:root:154.39488676, 4.80516302, 154.39454247, 0.00007333
INFO:root:154.09180407, 4.68594901, 154.09145272, 0.00007667
INFO:root:154.14604998, 4.57197026, 154.14569149, 0.00008000
INFO:root:154.32867940, 4.46209572, 154.32831512, 0.00008333
INFO:root:154.19409811, 4.35742527, 154.19372752, 0.00008667
INFO:root:154.34157229, 4.25791749, 154.34119617, 0.00009000
INFO:root:154.34941154, 4.16153060, 154.34903007, 0.00009333
INFO:root:154.08415630, 4.07004310, 154.08377036, 0.00009667
INFO:root:154.31577082, 3.98315442, 154.31537839, 0.00010000
INFO:root:154.30998037, 3.89922631, 154.30958373, 0.00010333
INFO:root:154.35091304, 3.81793286, 154.35051175, 0.00010667
INFO:root:154.35972481, 3.74102307, 154.35931931, 0.00011000
INFO:root:154.29240689, 3.66577829, 154.29199736, 0.00011333
INFO:root:154.36508950, 3.59507565, 154.36467629, 0.00011667
INFO:root:154.28685234, 3.52482963, 154.28643492, 0.00012000
INFO:root:154.18412373, 3.45833825, 154.18370227, 0.00012333
INFO:root:154.31181344, 3.39444240, 154.31138935, 0.00012667
