INFO:root:Namespace(batch_size=52, beta_end=0.001, beta_start=0.001, clip=10, device=device(type='cuda'), epochs=200, learning_rate=1e-08, model='cdna', save_every=25, stage=3)
INFO:root:State Dictionary Path (Stochastic) is: saves/sv2p/stage3/final_beta=0.001/sv2p_cdna_state_dict_299.pth
INFO:root:Starting SV2P training on Stage 3 for 200 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:154.43710169, 0.03634807, 154.43706863, 0.00100000
INFO:root:154.32572349, 0.03622739, 154.32569070, 0.00100000
INFO:root:154.29077245, 0.03620707, 154.29073974, 0.00100000
INFO:root:154.25615148, 0.03614774, 154.25611904, 0.00100000
INFO:root:154.41340111, 0.03616028, 154.41336823, 0.00100000
INFO:root:154.18045351, 0.03620723, 154.18042071, 0.00100000
INFO:root:154.27324650, 0.03622845, 154.27321353, 0.00100000
INFO:root:154.40858100, 0.03626678, 154.40854785, 0.00100000
INFO:root:154.49463846, 0.03621468, 154.49460584, 0.00100000
INFO:root:154.34426932, 0.03628184, 154.34423670, 0.00100000
INFO:root:154.37863834, 0.03632037, 154.37860563, 0.00100000
INFO:root:154.44811775, 0.03625950, 154.44808425, 0.00100000
INFO:root:154.32933860, 0.03623709, 154.32930580, 0.00100000
INFO:root:154.39791291, 0.03621765, 154.39788029, 0.00100000
INFO:root:154.24856629, 0.03608926, 154.24853367, 0.00100000
INFO:root:154.47992776, 0.03630578, 154.47989462, 0.00100000
INFO:root:154.31868533, 0.03624105, 154.31865289, 0.00100000
INFO:root:154.38796182, 0.03628494, 154.38792911, 0.00100000
INFO:root:154.35205683, 0.03616967, 154.35202342, 0.00100000
INFO:root:154.24377108, 0.03621192, 154.24373793, 0.00100000
INFO:root:154.43117883, 0.03612873, 154.43114612, 0.00100000
INFO:root:154.41556198, 0.03607506, 154.41552962, 0.00100000
INFO:root:154.10713047, 0.03609220, 154.10709837, 0.00100000
INFO:root:154.16659270, 0.03618618, 154.16656007, 0.00100000
INFO:root:154.36338324, 0.03612020, 154.36335053, 0.00100000
INFO:root:154.22067340, 0.03615604, 154.22064113, 0.00100000
INFO:root:154.34129298, 0.03630249, 154.34125975, 0.00100000
INFO:root:154.35589407, 0.03596878, 154.35586180, 0.00100000
INFO:root:154.08818107, 0.03614169, 154.08814862, 0.00100000
INFO:root:154.33227372, 0.03605416, 154.33224101, 0.00100000
INFO:root:154.29625904, 0.03625636, 154.29622641, 0.00100000
INFO:root:154.34756856, 0.03603696, 154.34753611, 0.00100000
INFO:root:154.36128770, 0.03612595, 154.36125508, 0.00100000
INFO:root:154.29771765, 0.03612771, 154.29768512, 0.00100000
INFO:root:154.34496807, 0.03620944, 154.34493519, 0.00100000
INFO:root:154.30884798, 0.03601538, 154.30881535, 0.00100000
INFO:root:154.18445377, 0.03611531, 154.18442088, 0.00100000
INFO:root:154.29532755, 0.03610921, 154.29529475, 0.00100000
INFO:root:154.46422840, 0.03619892, 154.46419534, 0.00100000
