INFO:root:Namespace(batch_size=52, beta_end=0.1, beta_start=0, clip=10, device=device(type='cuda'), epochs=100, learning_rate=0.0001, model='cdna', save_every=100, stage=3)
INFO:root:State Dictionary Path (Stochastic) is: saves/sv2p/stage2/sv2p_state_dict_99.pth
INFO:root:Starting SV2P training on Stage 3 for 100 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:187.70546994, 205.98800748, 187.63582155, 0.00100000
INFO:root:182.49090725, 27.29666293, 182.45428642, 0.00200000
INFO:root:183.99576884, 6.30750691, 183.98046051, 0.00300000
INFO:root:185.99980769, 3.07138549, 185.98920046, 0.00400000
INFO:root:186.83805172, 1.86300314, 186.82974813, 0.00500000
INFO:root:187.26873709, 1.25914568, 187.26184740, 0.00600000
INFO:root:184.77398471, 0.97568494, 184.76765451, 0.00700000
INFO:root:184.10192994, 0.76424722, 184.09622385, 0.00800000
INFO:root:182.80154331, 0.61659871, 182.79631121, 0.00900000
INFO:root:183.51543242, 0.48636158, 183.51081769, 0.01000000
INFO:root:183.41398664, 0.38950407, 183.40990387, 0.01100000
INFO:root:183.06799465, 0.34414793, 183.06403254, 0.01200000
INFO:root:182.54081656, 0.30459280, 182.53701677, 0.01300000
INFO:root:183.39531190, 0.25426846, 183.39188297, 0.01400000
INFO:root:182.93337416, 0.22427754, 182.93012150, 0.01500000
INFO:root:182.52194240, 0.21661199, 182.51858792, 0.01600000
INFO:root:182.00594418, 0.19995722, 182.00265319, 0.01700000
INFO:root:188.01923230, 0.17310805, 188.01620545, 0.01800000
INFO:root:184.00713410, 0.14849440, 184.00438743, 0.01900000
INFO:root:180.25793501, 0.13581948, 180.25528752, 0.02000000
INFO:root:179.84851749, 0.12314740, 179.84599322, 0.02100000
INFO:root:178.25366202, 0.12159324, 178.25105382, 0.02200000
INFO:root:199.52376495, 0.10406067, 199.52142430, 0.02300000
INFO:root:280.12057565, 0.10911348, 280.11801498, 0.02400000
INFO:root:203.31144644, 0.09521306, 203.30911658, 0.02500000
INFO:root:186.12033327, 0.08987189, 186.11803919, 0.02600000
INFO:root:180.49426524, 0.08409615, 180.49203667, 0.02700000
INFO:root:177.31574276, 0.07684713, 177.31363047, 0.02800000
INFO:root:175.38668306, 0.07340366, 175.38459296, 0.02900000
INFO:root:174.88134739, 0.06479386, 174.87943671, 0.03000000
INFO:root:174.45394231, 0.08012386, 174.45149968, 0.03100000
INFO:root:174.35669314, 0.06451596, 174.35466091, 0.03200000
INFO:root:174.66413844, 0.06011682, 174.66218497, 0.03300000
INFO:root:175.80276472, 0.06463289, 175.80060437, 0.03400000
INFO:root:177.75746681, 0.05693753, 177.75550132, 0.03500000
INFO:root:177.24738277, 0.05246257, 177.24551988, 0.03600000
INFO:root:177.61983087, 0.05005357, 177.61800297, 0.03700000
INFO:root:177.93446078, 0.05300921, 177.93247582, 0.03800000
