INFO:root:Namespace(batch_size=52, beta_end=1.0, beta_start=0, clip=10, device=device(type='cuda'), epochs=200, learning_rate=1e-06, model='cdna', save_every=25, stage=3)
INFO:root:State Dictionary Path (Stochastic) is: saves/sv2p/stage2/sv2p_state_dict_99.pth
INFO:root:Starting SV2P training on Stage 3 for 200 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:183.54989826, 10.63784882, 183.52391973, 0.00500000
INFO:root:182.16527926, 9.65706570, 182.09310632, 0.01000000
INFO:root:181.46984504, 9.09360607, 181.35638533, 0.01500000
INFO:root:180.92481960, 8.63534380, 180.77387080, 0.02000000
INFO:root:180.81927096, 8.24182009, 180.63396059, 0.02500000
INFO:root:180.27311549, 7.89095779, 180.05624486, 0.03000000
INFO:root:180.07826224, 7.57460470, 179.83221041, 0.03500000
INFO:root:180.01872683, 7.28904146, 179.74548296, 0.04000000
INFO:root:179.94516491, 7.02475581, 179.64670668, 0.04500000
INFO:root:179.67129394, 6.77822794, 179.34941925, 0.05000000
INFO:root:179.46077518, 6.54924808, 179.11702570, 0.05500000
INFO:root:179.34578433, 6.33750617, 178.98145242, 0.06000000
INFO:root:179.27338971, 6.13968242, 178.88973096, 0.06500000
INFO:root:179.13818772, 5.95432743, 178.73634979, 0.07000000
INFO:root:178.83131330, 5.77858271, 178.41241657, 0.07500000
INFO:root:179.00162366, 5.61251328, 178.56672142, 0.08000000
INFO:root:178.73694102, 5.45517069, 178.28694013, 0.08500000
INFO:root:178.68284896, 5.30691301, 178.21855330, 0.09000000
INFO:root:178.54038993, 5.16525531, 178.06265425, 0.09500000
INFO:root:178.37585046, 5.03142033, 177.88533090, 0.10000000
INFO:root:178.49366743, 4.90245846, 177.99120585, 0.10500000
INFO:root:178.38537685, 4.77891319, 177.87168551, 0.11000000
INFO:root:178.03769561, 4.66044516, 177.51343098, 0.11500000
INFO:root:178.07081718, 4.54722442, 177.53657883, 0.12000000
INFO:root:178.13017036, 4.43813319, 177.58654233, 0.12500000
INFO:root:177.93186249, 4.33424069, 177.37928018, 0.13000000
INFO:root:178.03470226, 4.23547414, 177.47353547, 0.13500000
INFO:root:177.97253655, 4.13975925, 177.40335372, 0.14000000
INFO:root:177.78121168, 4.04893581, 177.20426257, 0.14500000
INFO:root:177.86118641, 3.96270559, 177.27671981, 0.15000000
INFO:root:177.79999621, 3.87943519, 177.20840454, 0.15500000
INFO:root:177.75209791, 3.79875103, 177.15382569, 0.16000000
INFO:root:177.86093701, 3.72239207, 177.25607493, 0.16500000
INFO:root:177.66342514, 3.64769636, 177.05245481, 0.17000000
INFO:root:177.70349305, 3.57752322, 177.08639763, 0.17500000
INFO:root:177.60471967, 3.50783542, 176.98209267, 0.18000000
INFO:root:177.45382357, 3.44189267, 176.82569552, 0.18500000
INFO:root:177.58000060, 3.37850013, 176.94654899, 0.19000000
INFO:root:177.70040867, 3.31776503, 177.06175688, 0.19500000
INFO:root:177.46616100, 3.25718877, 176.82289308, 0.20000000
INFO:root:177.50152842, 3.20087046, 176.85336637, 0.20500000
INFO:root:177.24427278, 3.14673916, 176.59133666, 0.21000000
INFO:root:177.35415036, 3.09376165, 176.69674288, 0.21500000
INFO:root:177.46675864, 3.04222377, 176.80509580, 0.22000000
INFO:root:177.44515079, 2.99218984, 176.77939965, 0.22500000
INFO:root:177.40978451, 2.94431872, 176.73997129, 0.23000000
INFO:root:177.45249150, 2.89707338, 176.77894084, 0.23500000
INFO:root:177.29081384, 2.85133627, 176.61363273, 0.24000000
INFO:root:177.19942246, 2.80689162, 176.51876831, 0.24500000
INFO:root:177.13885673, 2.76456384, 176.45464448, 0.25000000
INFO:root:177.41504011, 2.72107503, 176.72798315, 0.25500000
INFO:root:177.17367413, 2.68004113, 176.48357900, 0.26000000
INFO:root:177.26366653, 2.63972907, 176.57075343, 0.26500000
INFO:root:176.97354749, 2.60082049, 176.27783791, 0.27000000
INFO:root:177.08252102, 2.56138011, 176.38455902, 0.27500000
INFO:root:177.26154161, 2.52390719, 176.56116687, 0.28000000
INFO:root:177.24183953, 2.48605241, 176.53954184, 0.28500000
INFO:root:177.03180861, 2.45007031, 176.32742239, 0.29000000
INFO:root:177.04742756, 2.41463641, 176.34115776, 0.29500000
INFO:root:176.98068106, 2.37943874, 176.27280408, 0.30000000
INFO:root:177.09434360, 2.34513179, 176.38495461, 0.30500000
