INFO:root:Namespace(batch_size=52, beta_end=0.0001, beta_start=0, clip=10, device=device(type='cuda'), epochs=100, learning_rate=0.0001, model='cdna', save_every=100, stage=3)
INFO:root:State Dictionary Path (Stochastic) is: saves/sv2p/stage2/sv2p_state_dict_99.pth
INFO:root:Starting SV2P training on Stage 3 for 100 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:188.15590238, 208.68367505, 188.15583214, 0.00000100
INFO:root:183.31479417, 27.86585978, 183.31475707, 0.00000200
INFO:root:184.90146365, 6.44565420, 184.90144848, 0.00000300
INFO:root:185.57161599, 3.11794422, 185.57160082, 0.00000400
INFO:root:186.58191479, 1.88080688, 186.58190313, 0.00000500
INFO:root:186.77270148, 1.26374396, 186.77269894, 0.00000600
INFO:root:186.73199919, 0.97006759, 186.73199770, 0.00000700
INFO:root:184.96012256, 0.77220292, 184.96012072, 0.00000800
INFO:root:183.42345727, 0.61911992, 183.42345648, 0.00000900
INFO:root:183.26528290, 0.48682479, 183.26528247, 0.00001000
INFO:root:184.17543538, 0.39078116, 184.17543530, 0.00001100
INFO:root:183.58882167, 0.34191866, 183.58882159, 0.00001200
INFO:root:184.43769135, 0.30258242, 184.43769126, 0.00001300
INFO:root:183.91213428, 0.25169806, 183.91213428, 0.00001400
INFO:root:182.01453093, 0.22245747, 182.01453093, 0.00001500
INFO:root:182.62292480, 0.21295074, 182.62292480, 0.00001600
INFO:root:183.28305790, 0.19910351, 183.28305790, 0.00001700
INFO:root:182.73124160, 0.17479907, 182.73124160, 0.00001800
INFO:root:181.45536164, 0.14755678, 181.45536164, 0.00001900
INFO:root:181.05685407, 0.13463466, 181.05685407, 0.00002000
INFO:root:180.73448883, 0.12250806, 180.73448883, 0.00002100
INFO:root:180.37822794, 0.11856194, 180.37822794, 0.00002200
INFO:root:179.58967555, 0.10481280, 179.58967555, 0.00002300
INFO:root:181.51165298, 0.10997067, 181.51165298, 0.00002400
INFO:root:182.34168007, 0.09407852, 182.34168007, 0.00002500
INFO:root:181.27173711, 0.08988147, 181.27173711, 0.00002600
INFO:root:182.31399492, 0.08337609, 182.31399492, 0.00002700
INFO:root:180.77399506, 0.07623157, 180.77399506, 0.00002800
INFO:root:179.25198224, 0.07264345, 179.25198224, 0.00002900
INFO:root:179.43090654, 0.06506118, 179.43090654, 0.00003000
INFO:root:179.46190047, 0.07920625, 179.46190047, 0.00003100
INFO:root:178.10137036, 0.06481275, 178.10137036, 0.00003200
INFO:root:178.16892128, 0.06064272, 178.16892128, 0.00003300
INFO:root:178.87760522, 0.06483967, 178.87760504, 0.00003400
INFO:root:180.51920020, 0.05616767, 180.51920020, 0.00003500
INFO:root:179.37804220, 0.05092831, 179.37804220, 0.00003600
INFO:root:179.36723231, 0.05124403, 179.36723231, 0.00003700
INFO:root:178.98918818, 0.05278536, 178.98918801, 0.00003800
INFO:root:178.35203824, 0.05476159, 178.35203815, 0.00003900
INFO:root:177.87187326, 0.04816493, 177.87187326, 0.00004000
INFO:root:179.14731238, 0.04565112, 179.14731238, 0.00004100
INFO:root:177.73593262, 0.04615685, 177.73593262, 0.00004200
INFO:root:177.85003338, 0.04140161, 177.85003338, 0.00004300
INFO:root:177.51351157, 0.03924741, 177.51351157, 0.00004400
INFO:root:177.81770851, 0.05003126, 177.81770851, 0.00004500
INFO:root:177.37178004, 0.03319157, 177.37178004, 0.00004600
INFO:root:177.67094228, 0.03970452, 177.67094228, 0.00004700
INFO:root:176.60974647, 0.03793920, 176.60974647, 0.00004800
INFO:root:176.33832454, 0.03256685, 176.33832454, 0.00004900
INFO:root:177.38535563, 0.03885848, 177.38535554, 0.00005000
INFO:root:176.71854067, 0.03585362, 176.71854067, 0.00005100
INFO:root:176.70922062, 0.03229229, 176.70922062, 0.00005200
INFO:root:176.51630972, 0.03627347, 176.51630937, 0.00005300
INFO:root:176.96058076, 0.02924307, 176.96058076, 0.00005400
INFO:root:175.80623732, 0.02951358, 175.80623732, 0.00005500
INFO:root:175.70556264, 0.02944074, 175.70556264, 0.00005600
INFO:root:175.46168176, 0.02905749, 175.46168176, 0.00005700
INFO:root:176.76836246, 0.02686791, 176.76836246, 0.00005800
INFO:root:177.79159581, 0.02616230, 177.79159581, 0.00005900
INFO:root:177.34426792, 0.02573195, 177.34426792, 0.00006000
INFO:root:175.34810393, 0.03220282, 175.34810358, 0.00006100
INFO:root:176.60952706, 0.02587796, 176.60952706, 0.00006200
INFO:root:174.96471458, 0.02278586, 174.96471458, 0.00006300
INFO:root:174.56459072, 0.02540860, 174.56459072, 0.00006400
INFO:root:174.94110511, 0.03156839, 174.94110476, 0.00006500
INFO:root:174.27958399, 0.02765625, 174.27958399, 0.00006600
INFO:root:174.61874679, 0.02707903, 174.61874679, 0.00006700
INFO:root:175.78054722, 0.02518747, 175.78054704, 0.00006800
INFO:root:175.14503575, 0.01864983, 175.14503575, 0.00006900
INFO:root:174.46578164, 0.02243217, 174.46578164, 0.00007000
INFO:root:173.67891965, 0.01818173, 173.67891965, 0.00007100
INFO:root:193.04455715, 0.02216941, 193.04455715, 0.00007200
INFO:root:206.14382917, 0.02122761, 206.14382917, 0.00007300
INFO:root:180.94382740, 0.02463026, 180.94382740, 0.00007400
INFO:root:174.17248219, 0.01901999, 174.17248219, 0.00007500
INFO:root:171.18518803, 0.02183319, 171.18518803, 0.00007600
INFO:root:169.73875660, 0.01928711, 169.73875660, 0.00007700
INFO:root:169.22299685, 0.01870356, 169.22299685, 0.00007800
INFO:root:168.99079877, 0.02070190, 168.99079869, 0.00007900
INFO:root:169.46395751, 0.01861119, 169.46395751, 0.00008000
INFO:root:170.12139735, 0.02096216, 170.12139700, 0.00008100
INFO:root:171.23348762, 0.01626384, 171.23348762, 0.00008200
INFO:root:172.59187861, 0.01760073, 172.59187861, 0.00008300
INFO:root:172.98371554, 0.01654856, 172.98371554, 0.00008400
INFO:root:173.36030710, 0.01995486, 173.36030701, 0.00008500
INFO:root:173.16038662, 0.01592008, 173.16038653, 0.00008600
