INFO:root:Namespace(batch_size=50, beta=1, clip=10, device=device(type='cuda'), epochs=100, hdim=1024, learning_rate=0.001, model='VRNN', nlayers=1, save_every=1, version='v1', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 100 epochs.
INFO:root:Train Loss, KLD, Reconstruction Loss
INFO:root:382358.235, 1611.403, 380746.832
INFO:root:321792.630, 347.621, 321445.009
INFO:root:212218.982, 2443.768, 209775.213
INFO:root:191498.819, 3624.110, 187874.709
INFO:root:182242.182, 4267.587, 177974.596
INFO:root:174417.626, 4915.323, 169502.303
INFO:root:167426.557, 5547.095, 161879.462
INFO:root:162277.697, 6020.692, 156257.005
INFO:root:157845.585, 6350.678, 151494.906
INFO:root:154213.083, 6590.069, 147623.014
INFO:root:151027.713, 6810.807, 144216.906
INFO:root:147918.814, 6980.965, 140937.849
INFO:root:145691.342, 7079.258, 138612.084
INFO:root:143003.011, 7199.670, 135803.340
INFO:root:141417.299, 7258.946, 134158.353
INFO:root:139407.514, 7331.299, 132076.215
INFO:root:137559.228, 7394.707, 130164.521
INFO:root:135977.218, 7421.347, 128555.871
INFO:root:134148.793, 7474.216, 126674.577
INFO:root:132903.152, 7513.126, 125390.026
INFO:root:131308.430, 7539.726, 123768.704
INFO:root:130266.556, 7564.538, 122702.018
INFO:root:128506.721, 7613.596, 120893.124
INFO:root:127640.059, 7628.984, 120011.075
INFO:root:126944.133, 7615.203, 119328.930
INFO:root:125324.306, 7647.332, 117676.974
INFO:root:124638.300, 7667.188, 116971.113
INFO:root:123381.059, 7674.504, 115706.555
INFO:root:122457.393, 7696.314, 114761.078
INFO:root:121614.388, 7738.916, 113875.471
INFO:root:120804.212, 7721.166, 113083.046
INFO:root:119988.539, 7726.776, 112261.763
INFO:root:119505.901, 7722.956, 111782.945
INFO:root:118508.438, 7733.294, 110775.145
INFO:root:117669.506, 7759.722, 109909.784
INFO:root:116749.795, 7759.925, 108989.870
INFO:root:116152.381, 7781.612, 108370.769
INFO:root:115706.619, 7783.358, 107923.261
INFO:root:115037.066, 7789.727, 107247.339
INFO:root:114189.244, 7797.290, 106391.954
INFO:root:114022.561, 7805.407, 106217.154
INFO:root:113372.511, 7792.161, 105580.350
INFO:root:112802.409, 7813.272, 104989.137
INFO:root:112229.346, 7837.026, 104392.321
INFO:root:111316.521, 7820.831, 103495.689
INFO:root:111063.927, 7804.525, 103259.402
INFO:root:110704.914, 7811.218, 102893.697
INFO:root:110224.225, 7833.224, 102391.001
INFO:root:109854.231, 7823.344, 102030.887
INFO:root:109466.720, 7823.527, 101643.193
INFO:root:108817.237, 7847.493, 100969.744
INFO:root:108027.386, 7842.353, 100185.033
INFO:root:108351.820, 7832.915, 100518.905
INFO:root:107445.354, 7848.404, 99596.949
INFO:root:107026.797, 7863.205, 99163.592
INFO:root:106710.829, 7845.659, 98865.171
INFO:root:106205.211, 7859.470, 98345.741
INFO:root:106118.450, 7853.590, 98264.860
INFO:root:105492.676, 7842.737, 97649.938
INFO:root:105410.554, 7845.879, 97564.674
INFO:root:104880.619, 7849.779, 97030.840
INFO:root:104578.022, 7860.542, 96717.480
INFO:root:104128.959, 7868.980, 96259.979
INFO:root:104072.588, 7850.142, 96222.446
INFO:root:103442.972, 7862.277, 95580.695
INFO:root:103155.514, 7857.202, 95298.311
INFO:root:103027.539, 7836.324, 95191.215
INFO:root:102845.640, 7831.654, 95013.986
INFO:root:102406.476, 7862.803, 94543.673
INFO:root:102313.508, 7851.663, 94461.846
INFO:root:101909.013, 7836.416, 94072.597
INFO:root:101369.410, 7839.978, 93529.431
INFO:root:101270.008, 7837.955, 93432.053
INFO:root:100813.851, 7813.810, 93000.041
INFO:root:100820.467, 7821.603, 92998.864
INFO:root:100625.115, 7824.919, 92800.196
INFO:root:99998.466, 7817.201, 92181.264
INFO:root:99844.152, 7826.952, 92017.200
INFO:root:99600.633, 7832.836, 91767.797
INFO:root:99567.534, 7825.579, 91741.954
INFO:root:99317.256, 7820.549, 91496.707
INFO:root:98772.202, 7825.445, 90946.757
INFO:root:98866.902, 7801.541, 91065.361
INFO:root:98494.974, 7797.902, 90697.072
INFO:root:98416.830, 7805.205, 90611.625
INFO:root:98383.883, 7805.055, 90578.828
INFO:root:97933.178, 7790.479, 90142.700
INFO:root:97955.768, 7805.204, 90150.564
INFO:root:97553.241, 7786.839, 89766.403
INFO:root:97094.498, 7775.725, 89318.773
INFO:root:97066.139, 7785.838, 89280.301
INFO:root:96791.732, 7785.887, 89005.845
INFO:root:96878.999, 7776.392, 89102.607
INFO:root:96554.222, 7750.148, 88804.075
INFO:root:96248.418, 7756.722, 88491.696
INFO:root:96466.499, 7765.407, 88701.092
INFO:root:96220.611, 7733.005, 88487.606
INFO:root:95439.365, 7746.068, 87693.297
INFO:root:95803.069, 7756.742, 88046.327
INFO:root:95447.760, 7741.514, 87706.247
INFO:root:Finished training.
INFO:root:Saved model to saves/v1/vrnn_state_dict_v1_99.pth
