INFO:root:Namespace(batch_size=50, beta=1e-06, clip=10, device=device(type='cuda'), epochs=120, hdim=1024, learning_rate=0.0001, model='VRNN', nlayers=1, save_every=100, version='v1', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 120 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:0.59737579, 7257.24916903, 0.59011854
INFO:root:0.42711730, 647.28137555, 0.42647002
INFO:root:0.42579668, 109.47437214, 0.42568720
INFO:root:0.42555545, 22.58926108, 0.42553286
INFO:root:0.42549954, 6.65964956, 0.42549288
INFO:root:0.42548236, 2.45856698, 0.42547990
INFO:root:0.42547608, 1.09541592, 0.42547498
INFO:root:0.42547331, 0.62089763, 0.42547269
INFO:root:0.42547199, 0.42622509, 0.42547156
INFO:root:0.42547110, 0.32346282, 0.42547077
INFO:root:0.42547055, 0.26389108, 0.42547029
INFO:root:0.42547026, 0.23045777, 0.42547003
INFO:root:0.42547001, 0.20565660, 0.42546981
INFO:root:0.42546987, 0.18816200, 0.42546968
INFO:root:0.42546971, 0.17068686, 0.42546954
INFO:root:0.42546961, 0.15953459, 0.42546945
INFO:root:0.42546956, 0.14705922, 0.42546941
INFO:root:0.42546949, 0.14031655, 0.42546934
INFO:root:0.42546943, 0.13163350, 0.42546930
INFO:root:0.42546939, 0.12620979, 0.42546926
INFO:root:0.42546934, 0.11236454, 0.42546923
INFO:root:0.42546932, 0.10611774, 0.42546921
INFO:root:0.42546929, 0.10354925, 0.42546919
INFO:root:0.42546926, 0.09514448, 0.42546917
INFO:root:0.42546926, 0.09680239, 0.42546916
INFO:root:0.42546923, 0.08843276, 0.42546914
INFO:root:0.42546923, 0.09548039, 0.42546913
INFO:root:0.42546921, 0.08423148, 0.42546912
INFO:root:0.42546920, 0.08032139, 0.42546912
INFO:root:0.42546919, 0.08024870, 0.42546911
INFO:root:0.42546918, 0.07884440, 0.42546910
INFO:root:0.42546916, 0.06885654, 0.42546910
INFO:root:0.42546918, 0.08007097, 0.42546910
INFO:root:0.42546916, 0.07801112, 0.42546909
INFO:root:0.42546915, 0.06910881, 0.42546909
INFO:root:0.42546914, 0.06100850, 0.42546908
INFO:root:0.42546915, 0.06648539, 0.42546908
INFO:root:0.42546914, 0.06993594, 0.42546907
INFO:root:0.42546913, 0.06267429, 0.42546907
INFO:root:0.42546914, 0.06961872, 0.42546907
INFO:root:0.42546914, 0.06929065, 0.42546907
INFO:root:0.42546912, 0.05844328, 0.42546906
INFO:root:0.42546904, 0.07123074, 0.42546897
INFO:root:0.42546911, 0.06217093, 0.42546904
INFO:root:0.42546905, 0.09853584, 0.42546895
INFO:root:0.42546910, 0.12791870, 0.42546897
INFO:root:0.42546912, 0.14021690, 0.42546898
INFO:root:0.42546903, 0.14155696, 0.42546889
INFO:root:0.42546919, 0.24302033, 0.42546895
INFO:root:0.42546910, 0.30436648, 0.42546879
INFO:root:0.42546889, 0.25060278, 0.42546864
INFO:root:0.42546895, 0.37768426, 0.42546857
INFO:root:0.42546875, 0.27173927, 0.42546848
INFO:root:0.42546845, 0.31378956, 0.42546813
INFO:root:0.42546834, 0.32770173, 0.42546801
INFO:root:0.42546924, 0.63045728, 0.42546861
INFO:root:0.42546891, 0.09146588, 0.42546882
INFO:root:0.42546920, 0.32268665, 0.42546888
INFO:root:0.42546929, 0.32887933, 0.42546896
INFO:root:0.42546919, 0.32762207, 0.42546886
INFO:root:0.42546915, 0.33533541, 0.42546881
INFO:root:0.42546917, 0.34353045, 0.42546882
INFO:root:0.42546914, 0.33006631, 0.42546881
INFO:root:0.42546909, 0.27245462, 0.42546882
INFO:root:0.42546916, 0.31902917, 0.42546884
INFO:root:0.42546935, 0.42945592, 0.42546892
INFO:root:0.42546925, 0.19531769, 0.42546906
INFO:root:0.42546929, 0.23443834, 0.42546906
INFO:root:0.42546951, 0.45837110, 0.42546906
INFO:root:0.42546920, 0.16258051, 0.42546904
INFO:root:0.42546931, 0.29721725, 0.42546901
INFO:root:0.42546920, 0.22342777, 0.42546898
INFO:root:0.42546938, 0.32310094, 0.42546905
INFO:root:0.42546931, 0.25856053, 0.42546905
INFO:root:0.42546914, 0.25779306, 0.42546889
INFO:root:0.42546925, 0.21365596, 0.42546904
INFO:root:0.42546934, 0.28443726, 0.42546906
INFO:root:0.42546928, 0.22534172, 0.42546905
INFO:root:0.42546919, 0.29356356, 0.42546889
INFO:root:0.42546918, 0.31154324, 0.42546887
INFO:root:0.42546885, 0.19259237, 0.42546866
INFO:root:0.42546858, 0.26620345, 0.42546831
INFO:root:0.42546828, 0.19661898, 0.42546808
INFO:root:0.42546847, 0.29730370, 0.42546817
INFO:root:0.42546806, 0.23025592, 0.42546782
INFO:root:0.42546652, 0.67924899, 0.42546584
INFO:root:0.41335646, 855.94397893, 0.41250052
INFO:root:0.27496174, 2748.42960341, 0.27221331
INFO:root:0.23553569, 3885.31889648, 0.23165037
INFO:root:0.22124598, 5008.65223524, 0.21623732
INFO:root:0.20895347, 5858.73841688, 0.20309473
INFO:root:0.19851411, 6534.96279297, 0.19197915
INFO:root:0.18994974, 7056.66546495, 0.18289308
INFO:root:0.18286008, 7569.57332628, 0.17529050
INFO:root:0.17652850, 8031.74231771, 0.16849676
INFO:root:0.17128057, 8442.16192763, 0.16283841
INFO:root:0.16673202, 8786.93850369, 0.15794508
INFO:root:0.16246406, 9129.55112305, 0.15333451
INFO:root:0.15876616, 9399.23406033, 0.14936693
INFO:root:0.15545743, 9644.85726454, 0.14581257
INFO:root:0.15267355, 9868.29744466, 0.14280525
INFO:root:0.14971255, 10046.93537326, 0.13966562
INFO:root:0.14704736, 10201.30541992, 0.13684606
INFO:root:0.14476849, 10342.10654297, 0.13442638
INFO:root:0.14246197, 10483.67989366, 0.13197829
INFO:root:0.14034227, 10623.08560113, 0.12971919
INFO:root:0.13830534, 10732.00075412, 0.12757334
INFO:root:0.13644098, 10825.66046007, 0.12561532
INFO:root:0.13475443, 10908.17842339, 0.12384625
INFO:root:0.13285614, 11001.77380642, 0.12185437
INFO:root:0.13123094, 11066.53843859, 0.12016440
INFO:root:0.12986445, 11167.29411350, 0.11869716
INFO:root:0.12805984, 11233.99038628, 0.11682585
INFO:root:0.12656376, 11286.32352431, 0.11527743
INFO:root:0.12537053, 11356.63159722, 0.11401390
INFO:root:0.12389419, 11414.10481771, 0.11248008
INFO:root:0.12258853, 11474.22485352, 0.11111431
INFO:root:0.12125113, 11509.31707899, 0.10974182
INFO:root:0.12002063, 11552.96257053, 0.10846767
INFO:root:0.11878857, 11581.86227214, 0.10720670
INFO:root:Finished training.
INFO:root:Saved model to saves/v1/vrnn_state_dict_v1_beta=1e-06_119.pth
