INFO:root:Namespace(batch_size=50, beta=2.0, clip=10, device=device(type='cuda'), epochs=150, hdim=1024, learning_rate=0.0001, model='VRNN', nlayers=1, save_every=100, version='v1', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 150 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:2.92493874, 1.11350280, 0.69793313
INFO:root:0.51251530, 0.04230691, 0.42790148
INFO:root:0.45617543, 0.01515666, 0.42586210
INFO:root:0.44217006, 0.00827425, 0.42562155
INFO:root:0.43588750, 0.00517113, 0.42554523
INFO:root:0.43343095, 0.00395866, 0.42551362
INFO:root:0.43199738, 0.00324993, 0.42549752
INFO:root:0.43087683, 0.00269382, 0.42548919
INFO:root:0.43006922, 0.00229283, 0.42548356
INFO:root:0.42956033, 0.00204029, 0.42547975
INFO:root:0.42919998, 0.00186130, 0.42547738
INFO:root:0.42902420, 0.00177429, 0.42547562
INFO:root:0.42849835, 0.00151199, 0.42547437
INFO:root:0.42868253, 0.00160459, 0.42547334
INFO:root:0.42821220, 0.00136984, 0.42547252
INFO:root:0.42802457, 0.00127628, 0.42547202
INFO:root:0.42811618, 0.00132236, 0.42547147
INFO:root:0.42791042, 0.00121966, 0.42547110
INFO:root:0.42765222, 0.00109073, 0.42547076
INFO:root:0.42743498, 0.00098224, 0.42547050
INFO:root:0.42754377, 0.00103674, 0.42547029
INFO:root:0.42743197, 0.00098090, 0.42547017
INFO:root:0.42725450, 0.00089226, 0.42546999
INFO:root:0.42728949, 0.00090981, 0.42546987
INFO:root:0.42715398, 0.00084211, 0.42546976
INFO:root:0.42712626, 0.00082829, 0.42546968
INFO:root:0.42691716, 0.00072378, 0.42546959
INFO:root:0.42695419, 0.00074232, 0.42546955
INFO:root:0.42673987, 0.00063519, 0.42546948
INFO:root:0.42684533, 0.00068795, 0.42546944
INFO:root:0.42662235, 0.00057648, 0.42546939
INFO:root:0.42685445, 0.00069255, 0.42546935
INFO:root:0.42640644, 0.00046856, 0.42546932
INFO:root:0.42656795, 0.00054933, 0.42546928
INFO:root:0.42650841, 0.00051957, 0.42546926
INFO:root:0.42640680, 0.00046878, 0.42546925
INFO:root:0.42627260, 0.00040169, 0.42546922
INFO:root:0.42627438, 0.00040259, 0.42546920
INFO:root:0.42634220, 0.00043651, 0.42546919
INFO:root:0.42622420, 0.00037751, 0.42546917
INFO:root:0.42615494, 0.00034289, 0.42546916
INFO:root:0.42603950, 0.00028518, 0.42546914
INFO:root:0.43476744, 0.00464915, 0.42546914
INFO:root:0.42753999, 0.00103543, 0.42546913
INFO:root:0.42538518, -0.00004197, 0.42546912
INFO:root:0.42538011, -0.00004450, 0.42546912
INFO:root:0.42537494, -0.00004708, 0.42546911
INFO:root:0.42543569, -0.00001670, 0.42546910
INFO:root:0.42554663, 0.00003877, 0.42546910
INFO:root:0.42554715, 0.00003903, 0.42546909
INFO:root:0.42561596, 0.00007344, 0.42546909
INFO:root:0.42564668, 0.00008880, 0.42546908
INFO:root:0.42566398, 0.00009745, 0.42546908
INFO:root:0.42568603, 0.00010848, 0.42546908
INFO:root:0.42556800, 0.00004946, 0.42546907
INFO:root:0.42561380, 0.00007236, 0.42546907
INFO:root:0.42561742, 0.00007418, 0.42546907
INFO:root:0.42558799, 0.00005946, 0.42546907
INFO:root:0.42559554, 0.00006324, 0.42546906
INFO:root:0.42554061, 0.00003577, 0.42546906
INFO:root:0.42552339, 0.00002716, 0.42546906
INFO:root:0.42554841, 0.00003967, 0.42546906
INFO:root:0.42547537, 0.00000316, 0.42546906
INFO:root:0.42569800, 0.00011447, 0.42546906
INFO:root:0.42546195, -0.00000355, 0.42546906
INFO:root:0.42546569, -0.00000168, 0.42546905
INFO:root:0.42546513, -0.00000196, 0.42546906
INFO:root:0.42544099, -0.00001403, 0.42546906
INFO:root:0.42545277, -0.00000814, 0.42546905
INFO:root:0.42545374, -0.00000766, 0.42546906
INFO:root:0.42551777, 0.00002436, 0.42546905
INFO:root:0.42539042, -0.00003932, 0.42546905
INFO:root:0.42545203, -0.00000851, 0.42546905
INFO:root:0.42538304, -0.00004301, 0.42546905
INFO:root:0.42539568, -0.00003669, 0.42546905
INFO:root:0.42543419, -0.00001743, 0.42546905
INFO:root:0.42536467, -0.00005219, 0.42546905
INFO:root:0.42538511, -0.00004197, 0.42546905
INFO:root:0.42535793, -0.00005556, 0.42546905
INFO:root:0.42537560, -0.00004673, 0.42546905
INFO:root:0.42535649, -0.00005628, 0.42546905
INFO:root:0.42546281, -0.00000312, 0.42546905
INFO:root:0.43411788, 0.00432441, 0.42546905
INFO:root:0.42526958, -0.00009973, 0.42546905
INFO:root:0.42526695, -0.00010105, 0.42546905
INFO:root:0.42526566, -0.00010170, 0.42546905
INFO:root:0.42526531, -0.00010187, 0.42546905
INFO:root:0.42526393, -0.00010256, 0.42546905
INFO:root:0.42526332, -0.00010286, 0.42546905
INFO:root:0.42526396, -0.00010254, 0.42546905
INFO:root:0.42526470, -0.00010217, 0.42546904
INFO:root:0.42528137, -0.00009384, 0.42546905
INFO:root:0.42527230, -0.00009837, 0.42546904
INFO:root:0.42530512, -0.00008196, 0.42546905
INFO:root:0.42526978, -0.00009963, 0.42546905
INFO:root:0.42533614, -0.00006645, 0.42546905
INFO:root:0.42528448, -0.00009228, 0.42546905
INFO:root:0.42532442, -0.00007231, 0.42546904
INFO:root:0.42527772, -0.00009566, 0.42546905
INFO:root:0.42529251, -0.00008827, 0.42546905
INFO:root:0.42528320, -0.00009292, 0.42546905
INFO:root:0.42528659, -0.00009123, 0.42546905
INFO:root:0.42528827, -0.00009039, 0.42546905
INFO:root:0.42529243, -0.00008831, 0.42546905
INFO:root:0.43293243, 0.00373169, 0.42546905
INFO:root:0.42526044, -0.00010430, 0.42546905
INFO:root:0.42525974, -0.00010465, 0.42546904
INFO:root:0.42526110, -0.00010397, 0.42546905
INFO:root:0.42526098, -0.00010403, 0.42546905
INFO:root:0.42526083, -0.00010411, 0.42546905
INFO:root:0.42526008, -0.00010448, 0.42546904
INFO:root:0.42526035, -0.00010435, 0.42546905
INFO:root:0.42526037, -0.00010434, 0.42546905
INFO:root:0.42526439, -0.00010233, 0.42546905
INFO:root:0.42526691, -0.00010107, 0.42546905
INFO:root:0.42526130, -0.00010387, 0.42546904
INFO:root:0.42528776, -0.00009064, 0.42546905
INFO:root:0.42526418, -0.00010243, 0.42546905
INFO:root:0.42530173, -0.00008366, 0.42546905
INFO:root:0.42527591, -0.00009657, 0.42546904
INFO:root:0.42527070, -0.00009917, 0.42546904
INFO:root:0.42530497, -0.00008204, 0.42546905
INFO:root:0.42526419, -0.00010243, 0.42546905
INFO:root:0.42528560, -0.00009172, 0.42546904
INFO:root:0.42526425, -0.00010240, 0.42546905
INFO:root:0.42550302, 0.00001699, 0.42546905
INFO:root:0.42529691, -0.00008607, 0.42546904
INFO:root:0.42526287, -0.00010309, 0.42546905
INFO:root:0.42526049, -0.00010428, 0.42546904
INFO:root:0.42532546, -0.00007179, 0.42546905
INFO:root:0.42526276, -0.00010314, 0.42546905
INFO:root:0.42528803, -0.00009051, 0.42546905
INFO:root:0.42526646, -0.00010129, 0.42546904
INFO:root:0.42556725, 0.00004910, 0.42546905
INFO:root:0.42526143, -0.00010381, 0.42546905
INFO:root:0.42526089, -0.00010408, 0.42546904
INFO:root:0.42526804, -0.00010050, 0.42546904
INFO:root:0.42526783, -0.00010061, 0.42546904
INFO:root:0.42527886, -0.00009509, 0.42546905
INFO:root:0.42526653, -0.00010126, 0.42546905
INFO:root:0.42549694, 0.00001395, 0.42546904
