INFO:root:Namespace(batch_size=50, beta=2.5, clip=10, device=device(type='cuda'), epochs=300, hdim=1024, learning_rate=0.001, model='VRNN', nlayers=1, save_every=1, version='v1', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 300 epochs.
INFO:root:Train Loss, KLD, Reconstruction Loss
INFO:root:958819.102, 2943.596, 382350.200
INFO:root:709910.975, 1722.166, 283275.523
INFO:root:496957.428, 6373.506, 196233.568
INFO:root:461866.278, 7600.903, 181706.150
INFO:root:436425.049, 8362.078, 171225.189
INFO:root:417630.494, 9017.403, 163445.236
INFO:root:401089.891, 9690.186, 156559.882
INFO:root:387621.044, 10317.652, 150921.357
INFO:root:376256.334, 10838.863, 146166.988
INFO:root:368199.551, 11141.950, 142823.040
INFO:root:360142.436, 11396.339, 139498.440
INFO:root:352274.831, 11683.642, 136236.475
INFO:root:345946.906, 11851.990, 133637.966
INFO:root:338850.525, 12062.083, 130715.377
INFO:root:334648.873, 12184.274, 128985.839
INFO:root:329524.370, 12353.288, 126868.433
INFO:root:324269.477, 12440.086, 124731.756
INFO:root:320384.503, 12602.396, 123112.843
INFO:root:315543.367, 12717.789, 121130.231
INFO:root:311963.351, 12846.731, 119646.648
INFO:root:309117.604, 12937.968, 118471.854
INFO:root:305460.712, 13015.868, 116977.938
INFO:root:302595.870, 13102.759, 115797.244
INFO:root:297914.141, 13215.581, 113879.424
INFO:root:296907.916, 13297.601, 113444.126
INFO:root:293341.587, 13376.528, 111986.024
INFO:root:291028.533, 13432.459, 111038.430
INFO:root:288068.925, 13520.648, 109819.310
INFO:root:285520.020, 13575.364, 108777.863
INFO:root:284219.029, 13645.542, 108229.395
INFO:root:282753.116, 13694.002, 107623.645
INFO:root:279027.495, 13760.529, 106106.787
INFO:root:278223.456, 13783.180, 105776.110
INFO:root:276610.865, 13828.982, 105112.753
INFO:root:273841.641, 13861.073, 103992.227
INFO:root:272177.847, 13892.378, 103314.187
INFO:root:271204.438, 13945.498, 102903.576
INFO:root:269668.763, 13955.166, 102285.439
INFO:root:268571.649, 14021.315, 101820.134
INFO:root:265635.256, 14036.664, 100639.437
INFO:root:264606.111, 14089.051, 100206.824
INFO:root:262710.208, 14134.535, 99430.269
INFO:root:262549.871, 14125.444, 99369.771
INFO:root:261003.015, 14141.394, 98744.648
INFO:root:258648.637, 14202.267, 97778.548
INFO:root:257776.683, 14208.689, 97427.198
INFO:root:256961.351, 14239.799, 97088.621
INFO:root:254968.083, 14282.018, 96274.426
INFO:root:254961.558, 14281.795, 96271.905
INFO:root:253339.991, 14305.921, 95613.628
INFO:root:252465.207, 14320.769, 95257.775
INFO:root:252146.483, 14346.709, 95119.910
INFO:root:250831.245, 14357.794, 94589.381
INFO:root:249285.713, 14376.925, 93963.516
INFO:root:248985.935, 14397.792, 93835.258
INFO:root:248000.424, 14426.895, 93429.412
INFO:root:245882.263, 14434.916, 92578.939
INFO:root:245826.428, 14448.966, 92550.985
INFO:root:245295.267, 14456.403, 92335.545
INFO:root:244663.762, 14485.539, 92071.289
INFO:root:242859.871, 14501.004, 91343.547
INFO:root:242447.418, 14508.672, 91175.499
INFO:root:240839.649, 14512.741, 90530.763
INFO:root:241641.445, 14514.995, 90850.580
INFO:root:240757.360, 14510.381, 90498.791
INFO:root:239924.711, 14538.748, 90154.385
INFO:root:238766.509, 14574.915, 89676.638
INFO:root:238050.276, 14563.634, 89394.657
INFO:root:237525.475, 14585.065, 89176.164
INFO:root:236510.697, 14608.971, 88760.690
INFO:root:236058.249, 14591.396, 88586.741
INFO:root:235207.551, 14608.821, 88239.492
INFO:root:234339.790, 14628.629, 87884.464
INFO:root:235486.226, 14630.143, 88342.433
INFO:root:233220.240, 14644.485, 87430.302
INFO:root:234199.742, 14636.761, 87825.192
INFO:root:231948.269, 14665.507, 86913.105
INFO:root:232095.945, 14648.988, 86978.783
INFO:root:231515.712, 14669.230, 86738.593
INFO:root:230470.497, 14696.288, 86309.684
INFO:root:229826.615, 14678.921, 86059.078
INFO:root:228649.472, 14695.795, 85581.471
INFO:root:229457.267, 14695.923, 85904.538
INFO:root:230009.097, 14699.239, 86123.943
INFO:root:227987.033, 14695.234, 85316.719
INFO:root:227724.189, 14719.550, 85201.855
INFO:root:227769.895, 14713.412, 85222.593
INFO:root:227128.849, 14741.008, 84955.136
INFO:root:225560.049, 14718.952, 84336.439
INFO:root:226977.086, 14755.666, 84888.568
INFO:root:227524.496, 14751.938, 85109.024
INFO:root:224856.405, 14764.484, 84036.769
INFO:root:224090.507, 14740.063, 83740.177
INFO:root:224000.318, 14771.421, 83691.558
INFO:root:223823.390, 14783.480, 83615.964
INFO:root:224306.880, 14806.258, 83800.248
INFO:root:223465.573, 14744.046, 83488.610
INFO:root:222045.381, 14789.483, 82902.360
INFO:root:222590.660, 14783.979, 83122.672
INFO:root:222358.005, 14791.644, 83026.544
INFO:root:220796.126, 14779.093, 82406.813
INFO:root:221676.339, 14823.466, 82741.149
INFO:root:221956.336, 14784.536, 82868.720
INFO:root:220451.023, 14780.468, 82268.222
INFO:root:220690.434, 14777.187, 82365.299
INFO:root:219358.353, 14820.355, 81815.199
INFO:root:219520.595, 14831.637, 81875.583
INFO:root:219395.956, 14820.385, 81830.228
INFO:root:218861.951, 14816.380, 81618.228
INFO:root:218206.301, 14819.931, 81354.548
INFO:root:218061.868, 14822.951, 81295.567
INFO:root:218062.997, 14822.984, 81296.005
INFO:root:217920.344, 14847.149, 81229.278
INFO:root:217301.626, 14812.755, 80995.548
INFO:root:217380.685, 14832.790, 81019.158
INFO:root:216652.041, 14847.994, 80721.619
INFO:root:217179.339, 14833.395, 80938.377
INFO:root:216187.585, 14842.582, 80538.002
INFO:root:215922.825, 14841.542, 80432.513
INFO:root:215764.239, 14842.584, 80368.662
INFO:root:216066.647, 14848.463, 80487.273
INFO:root:214813.808, 14861.197, 79981.045
INFO:root:215066.548, 14830.822, 80094.290
INFO:root:214898.657, 14866.006, 80013.061
INFO:root:214002.960, 14842.890, 79664.028
INFO:root:214097.289, 14854.268, 79697.208
INFO:root:213286.078, 14842.315, 79377.506
INFO:root:215046.277, 14849.057, 80078.888
INFO:root:213645.749, 14858.774, 79514.790
INFO:root:213219.366, 14852.858, 79346.603
INFO:root:212670.287, 14844.346, 79130.376
INFO:root:212821.239, 14870.331, 79180.363
INFO:root:212755.239, 14872.395, 79153.137
INFO:root:212817.301, 14857.607, 79183.877
INFO:root:210862.302, 14852.287, 78404.006
INFO:root:211905.785, 14872.277, 78813.403
INFO:root:212094.507, 14883.181, 78884.531
INFO:root:211981.103, 14849.819, 78852.513
INFO:root:210989.430, 14881.929, 78443.000
INFO:root:210463.199, 14845.102, 78247.239
INFO:root:211227.154, 14859.012, 78547.257
INFO:root:210821.972, 14861.209, 78384.305
INFO:root:209686.342, 14862.099, 77929.698
INFO:root:209968.112, 14865.979, 78040.853
INFO:root:209823.269, 14863.315, 77983.981
INFO:root:209803.506, 14864.752, 77975.502
INFO:root:209992.393, 14871.020, 78048.549
INFO:root:209961.837, 14861.775, 78040.025
INFO:root:209292.792, 14845.587, 77778.882
INFO:root:208794.353, 14883.081, 77564.509
INFO:root:208651.550, 14874.742, 77510.723
INFO:root:208579.753, 14872.474, 77482.912
INFO:root:208685.770, 14882.310, 77521.384
INFO:root:209161.417, 14840.623, 77728.317
INFO:root:208224.274, 14869.057, 77342.087
INFO:root:207493.503, 14888.615, 77041.955
INFO:root:207716.932, 14885.376, 77132.622
INFO:root:206671.270, 14889.031, 76712.895
INFO:root:207336.574, 14884.978, 76980.638
INFO:root:207557.440, 14868.213, 77075.691
INFO:root:206956.362, 14855.645, 76840.287
INFO:root:207022.413, 14854.494, 76867.168
INFO:root:207414.625, 14890.445, 77009.672
INFO:root:206819.166, 14850.972, 76787.277
INFO:root:206585.079, 14874.840, 76684.096
INFO:root:205748.180, 14866.841, 76352.536
INFO:root:206431.479, 14846.571, 76633.964
INFO:root:205459.558, 14868.485, 76236.429
INFO:root:206263.241, 14871.250, 76556.797
INFO:root:205928.386, 14873.106, 76422.112
INFO:root:205539.982, 14862.347, 76271.054
INFO:root:204971.295, 14881.889, 76035.763
INFO:root:205071.834, 14869.328, 76081.002
INFO:root:204912.260, 14886.308, 76010.380
INFO:root:205486.039, 14860.662, 76250.151
INFO:root:204999.711, 14857.825, 76056.754
INFO:root:205113.335, 14871.813, 76096.609
INFO:root:204201.993, 14854.526, 75738.987
INFO:root:204337.151, 14869.541, 75787.044
INFO:root:203987.480, 14861.978, 75650.201
INFO:root:204088.797, 14881.504, 75682.917
INFO:root:203966.060, 14874.105, 75636.782
INFO:root:203432.788, 14868.495, 75425.717
INFO:root:204775.897, 14870.599, 75962.119
INFO:root:203277.081, 14861.808, 75366.110
INFO:root:203284.086, 14868.988, 75366.039
INFO:root:203373.889, 14870.917, 75401.188
INFO:root:202615.706, 14869.819, 75098.355
INFO:root:202519.112, 14882.415, 75054.679
INFO:root:202150.280, 14853.848, 74918.573
INFO:root:202594.652, 14878.340, 75086.525
INFO:root:203236.746, 14874.993, 75344.701
INFO:root:202558.677, 14850.049, 75083.451
INFO:root:201747.007, 14855.649, 74756.543
INFO:root:201609.758, 14857.392, 74700.947
INFO:root:202268.998, 14863.345, 74962.261
INFO:root:202256.740, 14873.473, 74953.307
INFO:root:201955.232, 14881.653, 74829.432
INFO:root:201638.328, 14847.343, 74716.394
INFO:root:201721.772, 14835.282, 74754.596
INFO:root:201176.892, 14879.643, 74518.900
INFO:root:201884.837, 14845.612, 74815.691
INFO:root:201828.932, 14844.829, 74793.641
INFO:root:201721.119, 14837.695, 74753.370
INFO:root:201203.023, 14838.968, 74545.622
INFO:root:200427.999, 14838.152, 74235.939
INFO:root:200707.782, 14852.108, 74342.270
INFO:root:200922.756, 14845.919, 74430.735
INFO:root:200746.725, 14837.753, 74363.589
INFO:root:199935.849, 14843.220, 74037.052
INFO:root:199748.785, 14859.558, 73955.691
INFO:root:199891.437, 14849.610, 74016.731
INFO:root:199758.123, 14864.549, 73957.430
INFO:root:200952.254, 14857.649, 74437.842
INFO:root:200295.577, 14822.009, 74189.427
INFO:root:199402.660, 14831.732, 73828.372
INFO:root:199423.573, 14844.219, 73831.742
INFO:root:200040.493, 14824.743, 74086.300
INFO:root:199479.664, 14850.202, 73851.785
INFO:root:199251.351, 14847.168, 73761.673
INFO:root:199855.376, 14820.260, 74014.046
INFO:root:199430.998, 14825.906, 73842.037
INFO:root:199380.945, 14831.699, 73819.698
INFO:root:198911.693, 14823.452, 73635.296
INFO:root:199427.605, 14845.076, 73833.012
INFO:root:198321.943, 14834.759, 73394.874
INFO:root:197852.774, 14801.001, 73220.710
INFO:root:198115.956, 14824.700, 73316.502
INFO:root:198436.972, 14888.552, 73419.368
INFO:root:198867.678, 14831.076, 73614.641
INFO:root:198052.463, 14841.221, 73284.497
INFO:root:197807.668, 14808.957, 73199.485
INFO:root:197883.923, 14830.551, 73221.349
INFO:root:197600.435, 14844.941, 73102.198
INFO:root:198013.739, 14828.553, 73274.074
INFO:root:198144.769, 14838.568, 73322.480
INFO:root:197862.656, 14818.070, 73217.835
INFO:root:197848.752, 14818.479, 73212.109
INFO:root:197481.944, 14813.734, 73067.284
INFO:root:197555.373, 14821.411, 73093.585
INFO:root:197471.567, 14824.313, 73058.902
INFO:root:196613.168, 14797.713, 72726.182
INFO:root:197589.844, 14811.766, 73111.231
INFO:root:196926.257, 14810.073, 72846.474
INFO:root:197500.720, 14828.515, 73068.882
INFO:root:196853.096, 14809.676, 72817.368
INFO:root:196893.748, 14814.916, 72831.533
INFO:root:196595.824, 14825.563, 72708.104
INFO:root:196361.358, 14836.075, 72610.113
INFO:root:196474.770, 14803.368, 72668.561
INFO:root:196676.009, 14814.414, 72744.638
INFO:root:196260.822, 14810.583, 72580.095
INFO:root:195518.127, 14818.602, 72279.810
INFO:root:195926.131, 14811.386, 72445.898
INFO:root:196435.775, 14827.921, 72643.142
INFO:root:196450.577, 14815.080, 72654.199
INFO:root:196109.843, 14793.466, 72526.550
INFO:root:196143.105, 14787.054, 72542.420
INFO:root:196688.852, 14812.011, 72750.737
INFO:root:195784.366, 14792.636, 72396.692
INFO:root:195938.642, 14809.634, 72451.604
INFO:root:196000.261, 14787.724, 72485.015
INFO:root:195348.345, 14799.247, 72219.640
INFO:root:195049.844, 14803.074, 72098.708
INFO:root:194811.618, 14804.504, 72002.845
INFO:root:195283.108, 14799.381, 72193.491
INFO:root:195083.298, 14799.296, 72113.601
INFO:root:195536.882, 14780.790, 72302.437
INFO:root:194989.683, 14792.448, 72078.894
INFO:root:194669.561, 14795.550, 71949.605
INFO:root:194792.245, 14806.032, 71994.486
INFO:root:195026.735, 14775.994, 72100.296
INFO:root:195204.738, 14783.145, 72168.637
INFO:root:194609.890, 14787.833, 71928.823
INFO:root:194739.637, 14786.039, 71981.439
INFO:root:194076.432, 14782.158, 71717.710
INFO:root:194552.911, 14783.667, 71907.698
INFO:root:193965.969, 14778.741, 71674.891
INFO:root:193890.374, 14770.276, 71648.039
INFO:root:194267.996, 14776.764, 71796.493
INFO:root:194760.404, 14772.980, 71994.969
INFO:root:194562.994, 14773.270, 71915.890
INFO:root:194252.612, 14750.484, 71800.851
INFO:root:194001.592, 14752.582, 71699.604
INFO:root:194056.388, 14777.564, 71711.530
INFO:root:193927.967, 14766.110, 71664.743
INFO:root:193476.183, 14755.715, 71488.187
INFO:root:193635.016, 14777.626, 71542.956
INFO:root:193314.288, 14766.206, 71419.233
INFO:root:193869.404, 14765.232, 71641.669
INFO:root:193472.964, 14750.378, 71489.035
INFO:root:193213.637, 14774.383, 71375.702
INFO:root:192726.261, 14771.583, 71181.871
INFO:root:193777.151, 14758.162, 71607.596
INFO:root:193215.205, 14748.309, 71386.759
INFO:root:192707.628, 14762.490, 71178.055
INFO:root:192732.283, 14772.545, 71183.895
INFO:root:193717.820, 14768.327, 71579.797
INFO:root:193483.155, 14756.120, 71490.814
INFO:root:192709.442, 14746.668, 71185.110
INFO:root:Finished training.
INFO:root:Saved model to saves/v1/vrnn_state_dict_v1_beta=2.5_299.pth
