INFO:root:Namespace(batch_size=50, beta=3.0, clip=10, device=device(type='cuda'), epochs=150, hdim=1024, learning_rate=0.0001, model='VRNN', nlayers=1, save_every=100, version='v1', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 150 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:4.04280953, 1.11493025, 0.69801879
INFO:root:0.55936803, 0.04381479, 0.42792366
INFO:root:0.47395788, 0.01603234, 0.42586085
INFO:root:0.45117242, 0.00851722, 0.42562077
INFO:root:0.44156119, 0.00533900, 0.42554419
INFO:root:0.43785201, 0.00411286, 0.42551342
INFO:root:0.43512515, 0.00320922, 0.42549749
INFO:root:0.43355600, 0.00268895, 0.42548917
INFO:root:0.43279598, 0.00243747, 0.42548356
INFO:root:0.43164195, 0.00205406, 0.42547977
INFO:root:0.43107983, 0.00186748, 0.42547740
INFO:root:0.43086944, 0.00179793, 0.42547564
INFO:root:0.43005566, 0.00152709, 0.42547439
INFO:root:0.43021983, 0.00158215, 0.42547337
INFO:root:0.42954685, 0.00135811, 0.42547251
INFO:root:0.42940778, 0.00131193, 0.42547198
INFO:root:0.42919763, 0.00124206, 0.42547146
INFO:root:0.42912167, 0.00121686, 0.42547110
INFO:root:0.42899581, 0.00117502, 0.42547076
INFO:root:0.42833582, 0.00095510, 0.42547051
INFO:root:0.42864639, 0.00105870, 0.42547030
INFO:root:0.42854315, 0.00102433, 0.42547018
INFO:root:0.42796117, 0.00083039, 0.42547000
INFO:root:0.42844604, 0.00099205, 0.42546988
INFO:root:0.42785453, 0.00079492, 0.42546977
INFO:root:0.42789922, 0.00080984, 0.42546969
INFO:root:0.42770642, 0.00074561, 0.42546960
INFO:root:0.42774223, 0.00075756, 0.42546955
INFO:root:0.42752295, 0.00068449, 0.42546948
INFO:root:0.42762256, 0.00071771, 0.42546944
INFO:root:0.42711073, 0.00054711, 0.42546939
INFO:root:0.42743070, 0.00065378, 0.42546936
INFO:root:0.42699489, 0.00050852, 0.42546932
INFO:root:0.42708168, 0.00053746, 0.42546929
INFO:root:0.42705780, 0.00052951, 0.42546926
INFO:root:0.42689656, 0.00047577, 0.42546925
INFO:root:0.42677017, 0.00043365, 0.42546922
INFO:root:0.42670841, 0.00041307, 0.42546921
INFO:root:0.42661783, 0.00038288, 0.42546919
INFO:root:0.42766496, 0.00073193, 0.42546917
INFO:root:0.42588840, 0.00013975, 0.42546916
INFO:root:0.42615552, 0.00022879, 0.42546914
INFO:root:0.42625936, 0.00026341, 0.42546914
INFO:root:0.42638257, 0.00030448, 0.42546913
INFO:root:0.42617831, 0.00023640, 0.42546912
INFO:root:0.42624991, 0.00026026, 0.42546912
INFO:root:0.42629593, 0.00027561, 0.42546911
INFO:root:0.42591827, 0.00014972, 0.42546910
INFO:root:0.42604982, 0.00019357, 0.42546910
INFO:root:0.42600750, 0.00017947, 0.42546909
INFO:root:0.42599954, 0.00017682, 0.42546909
INFO:root:0.42635193, 0.00029428, 0.42546908
INFO:root:0.42552627, 0.00001906, 0.42546908
INFO:root:0.42578857, 0.00010650, 0.42546908
INFO:root:0.42581863, 0.00011652, 0.42546907
INFO:root:0.42577313, 0.00010135, 0.42546907
INFO:root:0.42575588, 0.00009560, 0.42546907
INFO:root:0.42645284, 0.00032793, 0.42546907
INFO:root:0.42542530, -0.00001459, 0.42546906
INFO:root:0.42558935, 0.00004009, 0.42546906
INFO:root:0.42562273, 0.00005122, 0.42546906
INFO:root:0.42557908, 0.00003667, 0.42546906
INFO:root:0.42554948, 0.00002681, 0.42546906
INFO:root:0.42550490, 0.00001195, 0.42546906
INFO:root:0.42560637, 0.00004577, 0.42546906
INFO:root:0.42559505, 0.00004200, 0.42546905
INFO:root:0.42539708, -0.00002399, 0.42546906
INFO:root:0.42549508, 0.00000867, 0.42546906
INFO:root:0.42549912, 0.00001002, 0.42546905
INFO:root:0.42540712, -0.00002065, 0.42546906
INFO:root:0.42556221, 0.00003105, 0.42546905
INFO:root:0.42879319, 0.00110805, 0.42546905
INFO:root:0.42517796, -0.00009703, 0.42546905
INFO:root:0.42519264, -0.00009214, 0.42546905
INFO:root:0.42523820, -0.00007695, 0.42546905
INFO:root:0.42527838, -0.00006356, 0.42546905
INFO:root:0.42534351, -0.00004185, 0.42546905
INFO:root:0.42524947, -0.00007319, 0.42546905
INFO:root:0.42526968, -0.00006646, 0.42546905
INFO:root:0.42544771, -0.00000711, 0.42546905
INFO:root:0.42523668, -0.00007746, 0.42546905
INFO:root:0.42526746, -0.00006720, 0.42546905
INFO:root:0.42532210, -0.00004898, 0.42546905
INFO:root:0.42526548, -0.00006786, 0.42546905
INFO:root:0.42526529, -0.00006792, 0.42546905
INFO:root:0.42526087, -0.00006939, 0.42546905
INFO:root:0.42535544, -0.00003787, 0.42546905
INFO:root:0.42522323, -0.00008194, 0.42546905
INFO:root:0.44088145, 0.00513747, 0.42546905
INFO:root:0.42517429, -0.00009825, 0.42546905
INFO:root:0.42516319, -0.00010195, 0.42546904
INFO:root:0.42515987, -0.00010306, 0.42546905
INFO:root:0.42515802, -0.00010368, 0.42546904
INFO:root:0.42515841, -0.00010355, 0.42546905
INFO:root:0.42515867, -0.00010346, 0.42546905
INFO:root:0.42515716, -0.00010396, 0.42546905
INFO:root:0.42515732, -0.00010391, 0.42546905
INFO:root:0.42515726, -0.00010393, 0.42546904
INFO:root:0.42515935, -0.00010323, 0.42546905
INFO:root:0.42516059, -0.00010282, 0.42546905
INFO:root:0.42517280, -0.00009875, 0.42546904
INFO:root:0.42516959, -0.00009982, 0.42546905
INFO:root:0.42519040, -0.00009288, 0.42546905
INFO:root:0.42518098, -0.00009602, 0.42546905
INFO:root:0.42519429, -0.00009159, 0.42546905
INFO:root:0.42519162, -0.00009248, 0.42546905
INFO:root:0.42518468, -0.00009479, 0.42546904
INFO:root:0.42519421, -0.00009161, 0.42546905
INFO:root:0.42574215, 0.00009104, 0.42546905
INFO:root:0.42515663, -0.00010414, 0.42546905
INFO:root:0.42516400, -0.00010168, 0.42546904
INFO:root:0.42517416, -0.00009829, 0.42546905
INFO:root:0.42677027, 0.00043374, 0.42546905
INFO:root:0.42516332, -0.00010191, 0.42546904
INFO:root:0.42516405, -0.00010166, 0.42546904
INFO:root:0.42516568, -0.00010112, 0.42546904
INFO:root:0.42516899, -0.00010002, 0.42546905
INFO:root:0.42517008, -0.00009965, 0.42546905
INFO:root:0.42516986, -0.00009973, 0.42546905
INFO:root:0.42545899, -0.00000335, 0.42546904
INFO:root:0.42516574, -0.00010110, 0.42546904
INFO:root:0.42516920, -0.00009995, 0.42546905
INFO:root:0.42517459, -0.00009815, 0.42546905
INFO:root:0.42536911, -0.00003331, 0.42546904
INFO:root:0.42516720, -0.00010062, 0.42546905
INFO:root:0.42517851, -0.00009684, 0.42546905
INFO:root:0.42519990, -0.00008972, 0.42546904
INFO:root:0.42517558, -0.00009782, 0.42546905
INFO:root:0.42519345, -0.00009186, 0.42546904
INFO:root:0.42518731, -0.00009391, 0.42546905
INFO:root:0.42644074, 0.00032390, 0.42546905
INFO:root:0.42517276, -0.00009876, 0.42546905
INFO:root:0.42517558, -0.00009782, 0.42546904
INFO:root:0.42517498, -0.00009802, 0.42546905
INFO:root:0.42517776, -0.00009709, 0.42546905
INFO:root:0.42516919, -0.00009995, 0.42546904
INFO:root:0.42522337, -0.00008189, 0.42546904
INFO:root:0.42516985, -0.00009973, 0.42546904
INFO:root:0.42518368, -0.00009512, 0.42546904
INFO:root:0.42517413, -0.00009831, 0.42546905
INFO:root:0.42518553, -0.00009450, 0.42546904
INFO:root:0.42516777, -0.00010042, 0.42546904
INFO:root:0.42522958, -0.00007982, 0.42546904
INFO:root:0.42516856, -0.00010016, 0.42546904
INFO:root:0.42519722, -0.00009061, 0.42546904
INFO:root:0.42516578, -0.00010109, 0.42546904
INFO:root:0.42521048, -0.00008619, 0.42546904
INFO:root:0.42529809, -0.00005698, 0.42546904
INFO:root:0.42517419, -0.00009828, 0.42546904
INFO:root:0.42516941, -0.00009988, 0.42546904
INFO:root:Finished training.
INFO:root:Saved model to saves/v1/vrnn_state_dict_v1_beta=3.0_149.pth
