INFO:root:Namespace(batch_size=50, beta=0.0, clip=10, device=device(type='cuda'), epochs=50, hdim=1024, learning_rate=0.0001, model='VRNN', nlayers=1, save_every=100, step_size=100000, version='v1', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 50 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:761.52234802, 14389.22936339, 761.52234802
INFO:root:725.74684347, 66827.04069010, 725.74684347
INFO:root:697.77256538, 93530.79557292, 697.77256538
INFO:root:679.28901978, 107971.33355035, 679.28901978
INFO:root:664.62073636, 118886.35186632, 664.62073636
INFO:root:653.21107686, 126468.07465278, 653.21107686
INFO:root:641.91375665, 132965.30338542, 641.91375665
INFO:root:631.20840047, 138456.63294271, 631.20840047
INFO:root:622.85945062, 142724.09175347, 622.85945062
INFO:root:615.48043620, 145661.47925347, 615.48043620
INFO:root:608.55657281, 149144.67031250, 608.55657281
INFO:root:601.59307353, 153078.39079861, 601.59307353
INFO:root:596.05975884, 156157.97986111, 596.05975884
INFO:root:590.44342753, 158894.95364583, 590.44342753
INFO:root:584.70252109, 161802.65842014, 584.70252109
INFO:root:578.58611993, 165157.25156250, 578.58611993
INFO:root:573.18505012, 168262.63645833, 573.18505012
INFO:root:567.56661852, 171014.22430556, 567.56661852
INFO:root:563.10083550, 175006.88029514, 563.10083550
INFO:root:557.67116597, 177750.96354167, 557.67116597
INFO:root:553.78839417, 179901.62951389, 553.78839417
INFO:root:549.57425961, 182220.01840278, 549.57425961
INFO:root:544.57243551, 185543.72230903, 544.57243551
INFO:root:540.01504483, 187938.17447917, 540.01504483
INFO:root:535.19887424, 190958.15477431, 535.19887424
INFO:root:531.38265737, 193742.99739583, 531.38265737
INFO:root:526.59084354, 196907.52100694, 526.59084354
INFO:root:521.87863668, 200438.08880208, 521.87863668
INFO:root:518.34944153, 203359.21779514, 518.34944153
INFO:root:514.07923872, 205597.92821181, 514.07923872
INFO:root:509.56940460, 208452.05364583, 509.56940460
INFO:root:506.09129910, 211106.70442708, 506.09129910
INFO:root:502.39073469, 212301.65885417, 502.39073469
INFO:root:498.32152591, 214773.92413194, 498.32152591
INFO:root:495.28391774, 217312.91944444, 495.28391774
INFO:root:491.98270976, 219418.66935764, 491.98270976
INFO:root:488.50753767, 221235.72786458, 488.50753767
INFO:root:485.77772064, 222961.73350694, 485.77772064
INFO:root:482.34843530, 224750.20546875, 482.34843530
INFO:root:479.20367855, 227023.43315972, 479.20367855
INFO:root:475.79320238, 228815.96163194, 475.79320238
INFO:root:472.07141995, 231062.36362847, 472.07141995
INFO:root:468.20564050, 232991.93298611, 468.20564050
INFO:root:465.58594971, 234933.09409722, 465.58594971
INFO:root:461.57451562, 237868.24210069, 461.57451562
INFO:root:458.35638343, 241258.97925347, 458.35638343
INFO:root:455.70668081, 243330.68585069, 455.70668081
INFO:root:452.48997498, 245625.04062500, 452.48997498
INFO:root:449.60730845, 248281.96276042, 449.60730845
INFO:root:447.13943804, 250031.77821181, 447.13943804
INFO:root:Finished training.
INFO:root:Saved model to saves/v1/finetuned/vrnn_state_dict_v1_beta=0.0_step=100000_49.pth
