INFO:root:Namespace(batch_size=50, beta=0.0, clip=10, device=device(type='cuda'), epochs=300, hdim=1024, learning_rate=0.0001, model='VRNN', nlayers=1, save_every=100, step_size=1000, version='v1', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 300 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:761.43085158, 14605.40954392, 761.43085158
INFO:root:724.75637004, 67625.33250868, 724.75637004
INFO:root:697.44454142, 93017.12699653, 697.44454142
INFO:root:679.79294230, 106399.31362847, 679.79294230
INFO:root:665.31536391, 117428.30772569, 665.31536391
INFO:root:651.59600457, 125467.19696181, 651.59600457
INFO:root:640.04663357, 132641.96367188, 640.04663357
INFO:root:633.87322625, 138018.89548611, 633.87322625
INFO:root:627.99854058, 142032.91371528, 627.99854058
INFO:root:622.61016507, 145426.23203125, 622.61016507
INFO:root:617.87793240, 148743.87960069, 617.87793240
INFO:root:610.89550442, 151772.38567708, 610.89550442
INFO:root:608.10992025, 154532.21467014, 608.10992025
INFO:root:606.03914049, 156461.92838542, 606.03914049
INFO:root:603.67849392, 158690.55564236, 603.67849392
INFO:root:601.63216180, 160410.29670139, 601.63216180
INFO:root:599.08250020, 162246.77369792, 599.08250020
INFO:root:596.18738607, 163687.64470486, 596.18738607
INFO:root:595.15516934, 164988.61987847, 595.15516934
INFO:root:594.14073520, 165923.42326389, 594.14073520
INFO:root:592.97045492, 167338.32708333, 592.97045492
INFO:root:591.95982734, 168397.81684028, 591.95982734
INFO:root:590.33871290, 169460.87881944, 590.33871290
INFO:root:589.41448296, 170191.39053819, 589.41448296
INFO:root:588.83073290, 170920.85833333, 588.83073290
INFO:root:588.29951172, 171501.33671875, 588.29951172
INFO:root:587.72606981, 172421.17881944, 587.72606981
INFO:root:587.09892409, 172849.83645833, 587.09892409
INFO:root:586.20544603, 173292.64027778, 586.20544603
INFO:root:585.91942037, 173771.03984375, 585.91942037
INFO:root:585.64208238, 174123.45529514, 585.64208238
INFO:root:585.34098545, 174611.45824653, 585.34098545
INFO:root:585.07202996, 174955.27482639, 585.07202996
INFO:root:584.63072272, 175358.02821181, 584.63072272
INFO:root:584.31524692, 175515.22725694, 584.31524692
INFO:root:584.14437798, 175801.56145833, 584.14437798
INFO:root:584.01123115, 175989.60529514, 584.01123115
INFO:root:583.84768982, 176219.01310764, 583.84768982
INFO:root:583.68907098, 176474.03333333, 583.68907098
INFO:root:583.42839661, 176542.08506944, 583.42839661
INFO:root:583.34262797, 176651.17916667, 583.34262797
INFO:root:583.26866557, 176721.10512153, 583.26866557
INFO:root:583.18892415, 176888.04366319, 583.18892415
INFO:root:583.10483331, 176921.80781250, 583.10483331
INFO:root:583.00519206, 177089.07769097, 583.00519206
INFO:root:582.90129089, 177153.76354167, 582.90129089
INFO:root:582.86191542, 177172.29123264, 582.86191542
INFO:root:582.82356127, 177264.73142361, 582.82356127
INFO:root:582.78277147, 177275.67751736, 582.78277147
INFO:root:582.74389750, 177338.75668403, 582.74389750
INFO:root:582.66386854, 177320.45486111, 582.66386854
INFO:root:582.64396159, 177417.73932292, 582.64396159
INFO:root:582.62379489, 177474.07803819, 582.62379489
INFO:root:582.60403239, 177463.63376736, 582.60403239
INFO:root:582.58380432, 177498.01267361, 582.58380432
INFO:root:582.55783386, 177558.43272569, 582.55783386
INFO:root:582.52873603, 177523.38914931, 582.52873603
INFO:root:582.51768155, 177567.76501736, 582.51768155
