INFO:root:Namespace(batch_size=50, beta=0.0001, clip=10, device=device(type='cuda'), epochs=100, hdim=1024, learning_rate=0.001, model='VRNN', nlayers=1, save_every=100, step_size=1000000, version='v1', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 100 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:148.23886520, 155099.61523438, 132.72890460
INFO:root:120.88929083, 69032.85792101, 113.98600536
INFO:root:125.93901486, 64970.50850694, 119.44196442
INFO:root:128.17627322, 63685.59958767, 121.80771391
INFO:root:126.67290365, 62644.28606771, 120.40847503
INFO:root:126.55557306, 61894.00177951, 120.36617313
INFO:root:126.92117547, 61434.84114583, 120.77769169
INFO:root:126.04920968, 60966.49960938, 119.95256021
INFO:root:127.19166099, 60601.93893229, 121.13146714
INFO:root:125.49852202, 60237.19698351, 119.47480261
INFO:root:125.29426384, 59866.93953993, 119.30756997
INFO:root:124.99280891, 59683.64913194, 119.02444411
INFO:root:125.54255587, 59467.76846788, 119.59577836
INFO:root:127.99403004, 59225.54735243, 122.07147556
INFO:root:126.15990308, 59041.36638455, 120.25576659
INFO:root:124.42323740, 58837.01981337, 118.53953561
INFO:root:125.04017533, 58631.17799479, 119.17705782
INFO:root:126.27985403, 58496.75794271, 120.43017837
INFO:root:125.90196487, 58406.98851997, 120.06126628
INFO:root:124.45720321, 58153.23797743, 118.64187923
INFO:root:124.21410823, 58130.04908854, 118.40110359
INFO:root:122.09306602, 57965.86399740, 116.29647971
INFO:root:124.28881794, 57937.44557292, 118.49507328
INFO:root:124.45062637, 57849.95030382, 118.66563170
INFO:root:126.44222666, 57858.72150608, 120.65635495
INFO:root:125.56685215, 57574.57901476, 119.80939467
INFO:root:124.06423047, 57571.27829861, 118.30710258
INFO:root:123.72695876, 57407.18242187, 117.98624060
INFO:root:123.65521092, 57381.44611545, 117.91706632
INFO:root:123.00124308, 57343.44455295, 117.26689881
INFO:root:122.41607335, 57277.99763455, 116.68827362
INFO:root:123.26730457, 57144.73930122, 117.55283059
INFO:root:124.40896784, 57244.00900608, 118.68456713
INFO:root:123.93873316, 57022.17081163, 118.23651627
INFO:root:122.72361768, 57030.28769531, 117.02058940
INFO:root:123.05793139, 56969.80881076, 117.36095072
INFO:root:123.16422433, 56876.16215278, 117.47660849
INFO:root:123.20555026, 56805.39845920, 117.52501085
INFO:root:123.23602994, 56842.15763889, 117.55181419
INFO:root:121.75539996, 56780.92680122, 116.07730747
INFO:root:122.73268094, 56718.28409288, 117.06085281
INFO:root:123.11719220, 56731.03906250, 117.44408849
INFO:root:121.68538255, 56749.54932726, 116.01042773
INFO:root:120.98326937, 56616.54995660, 115.32161458
INFO:root:122.40882094, 56584.42254774, 116.75037876
INFO:root:122.65059696, 56615.50692274, 116.98904648
INFO:root:122.71301354, 56586.66842448, 117.05434672
INFO:root:122.00816239, 56498.24474826, 116.35833829
INFO:root:121.73986740, 56428.27925347, 116.09703937
INFO:root:122.85035027, 56459.68094618, 117.20438194
INFO:root:120.86315121, 56415.09830729, 115.22164167
INFO:root:121.50238622, 56315.94867622, 115.87079150
INFO:root:122.21774279, 56417.99357639, 116.57594354
INFO:root:121.96562237, 56364.86349826, 116.32913628
INFO:root:121.68312437, 56291.58862847, 116.05396546
INFO:root:121.00671628, 56225.01944444, 115.38421449
INFO:root:120.99219140, 56200.27387153, 115.37216420
INFO:root:120.86280208, 56179.82094184, 115.24482019
INFO:root:119.21643376, 56126.99377170, 113.60373463
INFO:root:119.93296793, 56145.52100694, 114.31841609
INFO:root:121.78640641, 56144.21263021, 116.17198584
INFO:root:121.51566094, 56072.19865451, 115.90844112
INFO:root:120.22531225, 56054.63977865, 114.61984855
INFO:root:119.81525222, 55953.79585503, 114.21987279
INFO:root:120.32580138, 55952.24047309, 114.73057772
INFO:root:121.37280218, 56005.81458333, 115.77222070
INFO:root:119.51751747, 56056.67623698, 113.91184989
INFO:root:121.47254261, 55938.85737847, 115.87865698
INFO:root:122.53701591, 55973.14401042, 116.93970159
INFO:root:121.70526873, 55971.15577257, 116.10815315
INFO:root:120.28643218, 55959.13869358, 114.69051861
INFO:root:117.47863490, 55894.63023003, 111.88917177
INFO:root:119.05976270, 55877.47035590, 113.47201602
INFO:root:118.97649608, 55919.29672309, 113.38456662
INFO:root:119.56018846, 55868.96473524, 113.97329203
INFO:root:118.93834796, 55852.77979601, 113.35307015
INFO:root:119.21539430, 55815.98400608, 113.63379601
INFO:root:119.20511292, 55811.44040799, 113.62396893
