INFO:root:Namespace(batch_size=50, beta=0.5, clip=10, device=device(type='cuda'), epochs=500, hdim=1024, learning_rate=0.001, model='VRNN', nlayers=1, save_every=100, step_size=1000000, version='v1', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 500 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:340.98277266, 30.29146916, 325.83703732
INFO:root:313.97641296, 1.84767216, 313.05257789
INFO:root:317.05512797, 0.76288321, 316.67368656
INFO:root:320.39094933, 0.44197011, 320.16996324
INFO:root:321.51399689, 0.30706609, 321.36046278
INFO:root:320.81854943, 0.29475221, 320.67117310
INFO:root:320.80341899, 0.51044891, 320.54819404
INFO:root:320.29408315, 0.20026056, 320.19395243
INFO:root:319.63986867, 0.27816453, 319.50078701
INFO:root:319.05796305, 0.35711547, 318.87940335
INFO:root:318.50428111, 0.17677157, 318.41589491
INFO:root:318.84895935, 0.34288173, 318.67751821
INFO:root:319.38995599, 0.22049686, 319.27970700
INFO:root:320.02250214, 0.24990595, 319.89754944
INFO:root:318.59258931, 0.22539276, 318.47989180
INFO:root:317.35137499, 0.27534208, 317.21370460
INFO:root:317.41316901, 0.18102995, 317.32265439
INFO:root:317.94697656, 0.19301604, 317.85046997
INFO:root:318.38757528, 0.29149482, 318.24182858
INFO:root:317.85984870, 0.25522174, 317.73223707
INFO:root:317.33445774, 0.19705838, 317.23592801
INFO:root:317.22608456, 0.12164392, 317.16526269
INFO:root:317.76973572, 0.17706758, 317.68120151
INFO:root:317.10666877, 0.23995434, 316.98669162
INFO:root:316.83780060, 0.25569277, 316.70995433
INFO:root:316.93524119, 0.15468567, 316.85789795
INFO:root:316.89040188, 0.21386843, 316.78346693
INFO:root:316.68195428, 0.22180023, 316.57105340
INFO:root:317.27648349, 0.11133396, 317.22081689
INFO:root:316.52339935, 0.31278517, 316.36700592
INFO:root:315.74918586, 0.09587819, 315.70124749
INFO:root:316.74623939, 0.36911999, 316.56167874
INFO:root:315.65169423, 0.33998203, 315.48170234
INFO:root:315.11671482, 0.03384155, 315.09979435
INFO:root:315.17459361, 0.05935972, 315.14491289
INFO:root:315.26245524, 0.32967674, 315.09761759
INFO:root:315.26155226, 0.05947664, 315.23181424
INFO:root:315.71500990, 0.27607379, 315.57697330
INFO:root:315.31248050, 0.07891674, 315.27302212
INFO:root:315.13124084, 0.22368431, 315.01939935
INFO:root:314.74677429, 0.21337203, 314.64008857
INFO:root:314.25484856, 0.25354574, 314.12807549
INFO:root:314.55785539, 0.08345039, 314.51613024
INFO:root:314.94741211, 0.24907390, 314.82287377
