INFO:root:Namespace(batch_size=50, beta=1.5, clip=10, device=device(type='cuda'), epochs=1000, hdim=1024, learning_rate=0.001, model='VRNN', nlayers=1, save_every=1, version='v1', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 1000 epochs.
INFO:root:Train Loss, KLD, Reconstruction Loss
INFO:root:379409.848, 786.521, 378230.068
INFO:root:290180.898, 541.811, 289368.182
INFO:root:203560.005, 1623.364, 201124.959
INFO:root:189225.259, 2399.220, 185626.430
INFO:root:180395.232, 3052.037, 175817.177
INFO:root:173581.015, 3609.464, 168166.819
INFO:root:167961.538, 3984.125, 161985.351
INFO:root:163066.599, 4260.213, 156676.279
INFO:root:159164.043, 4441.527, 152501.752
INFO:root:156196.797, 4569.637, 149342.341
INFO:root:153058.105, 4672.509, 146049.342
INFO:root:150450.296, 4762.183, 143307.022
INFO:root:147982.055, 4836.397, 140727.460
INFO:root:146068.247, 4885.153, 138740.518
INFO:root:144022.705, 4956.329, 136588.212
INFO:root:142501.173, 4965.472, 135052.965
INFO:root:140556.151, 5024.198, 133019.854
INFO:root:139374.169, 5051.574, 131796.808
INFO:root:137474.197, 5057.369, 129888.145
INFO:root:136081.882, 5102.368, 128428.330
INFO:root:135418.399, 5114.901, 127746.047
INFO:root:133571.110, 5131.491, 125873.873
INFO:root:132125.271, 5165.446, 124377.102
INFO:root:131185.523, 5175.941, 123421.612
INFO:root:130314.373, 5185.201, 122536.571
INFO:root:129044.760, 5209.629, 121230.316
INFO:root:128626.586, 5203.130, 120821.891
INFO:root:127201.829, 5210.011, 119386.813
INFO:root:125953.050, 5250.182, 118077.778
INFO:root:125205.166, 5274.524, 117293.380
INFO:root:124319.706, 5275.997, 116405.710
INFO:root:123830.387, 5278.548, 115912.565
INFO:root:122790.899, 5309.413, 114826.780
INFO:root:122206.946, 5300.356, 114256.411
INFO:root:121454.451, 5314.457, 113482.765
INFO:root:120601.613, 5331.523, 112604.328
INFO:root:120169.434, 5333.759, 112168.795
INFO:root:119251.046, 5345.616, 111232.621
INFO:root:118741.403, 5360.555, 110700.572
INFO:root:117975.117, 5363.440, 109929.958
INFO:root:117022.135, 5366.935, 108971.732
INFO:root:116917.877, 5369.277, 108863.962
INFO:root:116289.292, 5381.248, 108217.420
INFO:root:115752.224, 5388.233, 107669.874
INFO:root:115402.606, 5376.030, 107338.561
INFO:root:114556.008, 5384.116, 106479.834
INFO:root:113768.435, 5394.563, 105676.591
INFO:root:114027.501, 5388.700, 105944.451
INFO:root:113063.643, 5409.677, 104949.127
INFO:root:112513.238, 5410.939, 104396.829
INFO:root:111912.027, 5415.822, 103788.294
INFO:root:111834.991, 5407.779, 103723.323
INFO:root:111416.110, 5404.830, 103308.865
INFO:root:110979.931, 5421.223, 102848.096
INFO:root:110544.783, 5419.302, 102415.831
INFO:root:109998.863, 5430.041, 101853.802
INFO:root:109451.932, 5420.100, 101321.782
INFO:root:109257.840, 5422.136, 101124.636
INFO:root:108662.229, 5425.489, 100523.995
INFO:root:108649.857, 5429.298, 100505.911
INFO:root:108359.941, 5432.245, 100211.574
INFO:root:107637.776, 5427.668, 99496.275
INFO:root:107239.933, 5432.006, 99091.924
INFO:root:107193.022, 5441.294, 99031.081
INFO:root:106777.795, 5437.659, 98621.306
INFO:root:106336.380, 5430.628, 98190.438
INFO:root:105858.934, 5432.131, 97710.738
INFO:root:105750.328, 5423.101, 97615.675
INFO:root:105459.108, 5418.675, 97331.095
INFO:root:105340.305, 5426.712, 97200.237
INFO:root:105078.726, 5419.031, 96950.180
INFO:root:104667.640, 5420.932, 96536.242
INFO:root:104106.371, 5426.284, 95966.946
INFO:root:103940.049, 5428.003, 95798.044
INFO:root:103908.551, 5407.801, 95796.849
INFO:root:103311.934, 5411.698, 95194.387
INFO:root:103098.671, 5407.862, 94986.878
INFO:root:103106.997, 5412.962, 94987.554
INFO:root:102685.825, 5424.213, 94549.505
INFO:root:102622.081, 5418.865, 94493.783
INFO:root:102007.950, 5409.591, 93893.564
INFO:root:101830.873, 5403.270, 93725.968
INFO:root:101732.801, 5402.371, 93629.244
INFO:root:101432.978, 5395.817, 93339.252
INFO:root:101137.885, 5396.848, 93042.613
INFO:root:100829.826, 5397.868, 92733.024
INFO:root:101031.199, 5400.641, 92930.237
INFO:root:100738.190, 5396.545, 92643.372
INFO:root:100255.353, 5385.486, 92177.124
INFO:root:100070.868, 5386.858, 91990.581
INFO:root:100116.129, 5381.127, 92044.438
INFO:root:99773.565, 5377.651, 91707.089
INFO:root:99435.363, 5368.285, 91382.935
INFO:root:99386.560, 5368.135, 91334.357
INFO:root:98879.239, 5360.165, 90838.992
INFO:root:98935.587, 5372.756, 90876.453
INFO:root:98777.238, 5370.344, 90721.722
INFO:root:98865.978, 5370.064, 90810.881
INFO:root:98410.100, 5353.751, 90379.474
INFO:root:98494.714, 5355.401, 90461.613
INFO:root:98226.141, 5335.790, 90222.455
INFO:root:97868.484, 5340.711, 89857.417
INFO:root:97690.601, 5345.276, 89672.687
INFO:root:97351.275, 5335.112, 89348.607
INFO:root:97567.163, 5335.803, 89563.459
INFO:root:97019.258, 5331.140, 89022.548
INFO:root:96937.121, 5322.146, 88953.902
INFO:root:96917.822, 5314.155, 88946.588
INFO:root:96727.695, 5316.955, 88752.262
INFO:root:96401.813, 5307.984, 88439.837
INFO:root:96430.044, 5302.821, 88475.813
INFO:root:96461.358, 5308.768, 88498.206
INFO:root:96033.544, 5294.293, 88092.103
INFO:root:95877.959, 5299.627, 87928.519
INFO:root:96193.800, 5294.236, 88252.445
INFO:root:95544.271, 5292.135, 87606.068
INFO:root:95770.021, 5284.069, 87843.918
INFO:root:95528.090, 5266.561, 87628.249
INFO:root:95040.974, 5284.602, 87114.071
INFO:root:95088.487, 5268.739, 87185.378
INFO:root:95144.708, 5264.194, 87248.417
INFO:root:94706.509, 5256.918, 86821.131
INFO:root:94715.995, 5255.772, 86832.338
INFO:root:94883.946, 5248.044, 87011.879
INFO:root:94276.111, 5239.991, 86416.125
INFO:root:94276.832, 5241.520, 86414.551
INFO:root:94205.794, 5234.998, 86353.296
INFO:root:94144.479, 5228.200, 86302.180
INFO:root:93922.340, 5225.689, 86083.806
INFO:root:93771.044, 5223.345, 85936.026
INFO:root:93704.496, 5213.756, 85883.863
INFO:root:93878.868, 5214.632, 86056.920
INFO:root:93642.527, 5210.823, 85826.293
INFO:root:93320.197, 5206.931, 85509.800
INFO:root:93207.403, 5199.839, 85407.644
INFO:root:93046.952, 5199.566, 85247.603
INFO:root:92982.126, 5182.151, 85208.899
INFO:root:92987.010, 5179.282, 85218.087
INFO:root:92740.740, 5179.951, 84970.814
INFO:root:92637.915, 5175.548, 84874.592
INFO:root:92622.815, 5165.689, 84874.282
INFO:root:93152.428, 5170.697, 85396.383
INFO:root:92541.506, 5155.748, 84807.883
INFO:root:92135.299, 5150.508, 84409.536
INFO:root:92113.032, 5137.218, 84407.205
INFO:root:92262.639, 5136.903, 84557.284
INFO:root:92031.482, 5142.067, 84318.381
INFO:root:92005.636, 5135.164, 84302.891
INFO:root:91766.880, 5119.672, 84087.372
INFO:root:91607.727, 5133.012, 83908.209
INFO:root:91574.921, 5121.412, 83892.803
INFO:root:91445.721, 5114.788, 83773.539
INFO:root:91261.529, 5113.913, 83590.659
INFO:root:91351.634, 5105.834, 83692.883
INFO:root:91297.053, 5102.420, 83643.424
INFO:root:91321.828, 5095.758, 83678.191
INFO:root:91020.858, 5091.828, 83383.116
INFO:root:91030.673, 5082.893, 83406.333
INFO:root:90868.926, 5093.593, 83228.537
INFO:root:90759.031, 5070.240, 83153.672
INFO:root:90835.603, 5082.469, 83211.900
INFO:root:90706.971, 5067.635, 83105.518
INFO:root:90493.051, 5057.071, 82907.444
INFO:root:90636.571, 5061.971, 83043.615
INFO:root:90487.848, 5058.018, 82900.821
INFO:root:90390.365, 5054.347, 82808.844
INFO:root:90403.966, 5037.636, 82847.513
INFO:root:89970.696, 5028.772, 82427.538
INFO:root:89950.240, 5033.027, 82400.700
INFO:root:90193.578, 5035.620, 82640.148
INFO:root:89938.302, 5017.308, 82412.340
INFO:root:89849.177, 5022.591, 82315.291
INFO:root:89680.809, 5014.060, 82159.719
INFO:root:89709.988, 5021.267, 82178.088
INFO:root:89806.725, 5007.081, 82296.104
INFO:root:89280.780, 4993.318, 81790.802
INFO:root:89505.239, 5006.164, 81995.993
INFO:root:89325.075, 4983.631, 81849.630
INFO:root:88911.082, 4978.533, 81443.282
INFO:root:89209.485, 4980.153, 81739.256
INFO:root:89249.762, 4976.805, 81784.554
INFO:root:89131.932, 4972.569, 81673.077
INFO:root:89153.068, 4983.261, 81678.177
INFO:root:88958.075, 4969.804, 81503.369
INFO:root:88739.114, 4958.442, 81301.451
INFO:root:88549.823, 4954.816, 81117.599
INFO:root:88818.016, 4949.186, 81394.238
