INFO:root:Namespace(batch_size=50, beta=4.0, clip=10, device=device(type='cuda'), epochs=120, hdim=1024, learning_rate=0.0001, model='VRNN', nlayers=1, save_every=100, version='v1', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 120 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:125956.71349826, 232.92715020, 125025.00473090
INFO:root:87505.04887153, 7.88906801, 87473.49223090
INFO:root:87210.93281250, 1.82666585, 87203.62591146
INFO:root:87156.00295139, 0.31912179, 87154.72647569
INFO:root:87143.69249132, 0.11409582, 87143.23593750
INFO:root:87140.01323785, 0.07646362, 87139.70729167
INFO:root:87138.37118056, 0.06505272, 87138.11115451
INFO:root:87137.64930556, 0.06411334, 87137.39279514
INFO:root:87137.24661458, 0.05949018, 87137.00876736
INFO:root:87136.97586806, 0.06413637, 87136.71935764
INFO:root:87136.87070312, 0.07972423, 87136.55147569
INFO:root:87137.00633681, 0.13949448, 87136.44826389
INFO:root:87137.39913194, 0.25841902, 87136.36558160
INFO:root:87136.92595486, 0.15298364, 87136.31401910
INFO:root:87137.30716146, 0.26258875, 87136.25642361
INFO:root:87137.67013889, 0.36038088, 87136.22868924
INFO:root:87137.09092882, 0.22104956, 87136.20677083
INFO:root:87137.37673611, 0.29835795, 87136.18355035
INFO:root:87137.64127604, 0.36950061, 87136.16315104
INFO:root:87137.46154514, 0.32669541, 87136.15464410
INFO:root:87137.21141493, 0.26804643, 87136.13923611
INFO:root:87137.79019097, 0.41397503, 87136.13424479
INFO:root:87137.41601562, 0.32335677, 87136.12287326
INFO:root:87136.90559896, 0.19730427, 87136.11614583
INFO:root:87137.71627604, 0.40141873, 87136.11050347
INFO:root:87137.01232639, 0.22684536, 87136.10494792
INFO:root:87137.36944444, 0.31725170, 87136.10043403
INFO:root:87137.37686632, 0.32032028, 87136.09600694
INFO:root:87137.16675347, 0.26809142, 87136.09431424
INFO:root:87137.64331597, 0.38828379, 87136.09023438
INFO:root:87137.26506076, 0.29431763, 87136.08797743
INFO:root:87137.08906250, 0.25089482, 87136.08541667
INFO:root:87137.22478299, 0.28486985, 87136.08546007
INFO:root:87137.09006076, 0.25226761, 87136.08085937
INFO:root:87137.26132812, 0.29554528, 87136.07921007
INFO:root:87137.11306424, 0.25869213, 87136.07816840
INFO:root:87137.12200521, 0.26111161, 87136.07756076
INFO:root:87136.94804687, 0.21781951, 87136.07660590
INFO:root:87137.14240451, 0.26692075, 87136.07465278
INFO:root:87137.36050347, 0.32167371, 87136.07408854
INFO:root:87137.07304687, 0.24951935, 87136.07473958
INFO:root:87137.07174479, 0.24997632, 87136.07187500
INFO:root:87137.07686632, 0.25142503, 87136.07113715
INFO:root:87136.71697049, 0.16172137, 87136.07009549
INFO:root:87137.29774306, 0.30727631, 87136.06888021
INFO:root:87136.91276042, 0.21112171, 87136.06827257
INFO:root:87136.99127604, 0.23064120, 87136.06848958
INFO:root:87137.23723958, 0.29246469, 87136.06766493
INFO:root:87137.00611979, 0.23461237, 87136.06770833
INFO:root:87136.63428819, 0.14208721, 87136.06623264
INFO:root:87136.95772569, 0.22300301, 87136.06575521
INFO:root:87136.93619792, 0.21834640, 87136.06302083
INFO:root:87136.88810764, 0.20725133, 87136.05881076
INFO:root:87136.93541667, 0.21819597, 87136.06258681
