INFO:root:Namespace(batch_size=50, beta=1.0, clip=10, device=device(type='cuda'), epochs=150, hdim=64, learning_rate=0.1, model='VRNN', nlayers=1, save_every=100, step_size=1500, version='v2', xdim=64, zdim=32)
INFO:root:Starting VRNN training for 150 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:42346653616952.38281250, 42346653615170.42187500, 1791.62684326
INFO:root:31991.75655382, 30249.03528646, 1742.72125651
INFO:root:31006.31633030, 29263.59504123, 1742.72124837
INFO:root:29984.96299913, 28242.24175347, 1742.72124634
INFO:root:28875.05915799, 27132.33799913, 1742.72124905
INFO:root:27678.70491536, 25935.98362630, 1742.72125041
INFO:root:26419.07414280, 24676.35287543, 1742.72124091
INFO:root:25122.40600043, 23379.68472222, 1742.72124091
INFO:root:23955.58397352, 22212.86263021, 1742.72125719
INFO:root:23241.81973741, 21499.09854601, 1742.72125380
INFO:root:22535.75307075, 20793.03183594, 1742.72124430
INFO:root:21805.97057292, 20063.24929470, 1742.72123481
INFO:root:21058.45489366, 19315.73359375, 1742.72125109
INFO:root:20299.08591580, 18556.36463759, 1742.72125109
INFO:root:19533.56340061, 17790.84216580, 1742.72124837
INFO:root:18767.21741536, 17024.49607205, 1742.72124769
INFO:root:18025.42241753, 16282.70121528, 1742.72124905
INFO:root:17555.82859158, 15813.10734592, 1742.72124837
INFO:root:17157.58058811, 15414.85939670, 1742.72123210
INFO:root:16745.58356120, 15002.86225586, 1742.72124430
INFO:root:16321.05816515, 14578.33694661, 1742.72124430
INFO:root:15885.25288086, 14142.53163520, 1742.72124091
INFO:root:15439.40508898, 13696.68386502, 1742.72123481
INFO:root:14984.69977214, 13241.97849935, 1742.72125041
INFO:root:14525.38642036, 12782.66519097, 1742.72125651
INFO:root:14277.57641602, 12534.85517578, 1742.72124634
INFO:root:14170.01452908, 12427.29324544, 1742.72125515
INFO:root:14056.31187609, 12313.59065213, 1742.72123481
INFO:root:13936.30331489, 12193.58204753, 1742.72124905
INFO:root:13809.82234701, 12067.10105794, 1742.72125854
INFO:root:13676.67453885, 11933.95329319, 1742.72126194
INFO:root:13536.64393446, 11793.92267253, 1742.72124498
INFO:root:13389.48444010, 11646.76321615, 1742.72125719
INFO:root:13252.33814019, 11509.61694878, 1742.72124905
INFO:root:13165.67133247, 11422.95001628, 1742.72125719
INFO:root:13077.59443359, 11334.87319336, 1742.72125922
INFO:root:12983.35118273, 11240.62994249, 1742.72125041
INFO:root:12882.60398763, 11139.88277452, 1742.72123820
INFO:root:12774.98433160, 11032.26307509, 1742.72126261
INFO:root:12660.10337999, 10917.38217231, 1742.72124159
INFO:root:12537.54964735, 10794.82841797, 1742.72124498
INFO:root:12410.63477105, 10667.91356879, 1742.72126261
INFO:root:12325.61561957, 10582.89435764, 1742.72124837
INFO:root:12250.17310655, 10507.45187717, 1742.72124769
INFO:root:12168.81327040, 10426.09200304, 1742.72123277
INFO:root:12081.14423828, 10338.42299262, 1742.72124634
INFO:root:11986.74567600, 10244.02440864, 1742.72124905
INFO:root:11885.17372504, 10142.45241970, 1742.72126804
INFO:root:11775.96582031, 10033.24458008, 1742.72125109
INFO:root:11658.64446072, 9915.92317166, 1742.72125448
INFO:root:11564.65321723, 9821.93197700, 1742.72124363
INFO:root:11496.45343424, 9753.73222656, 1742.72124498
INFO:root:11422.62732747, 9679.90607096, 1742.72124430
INFO:root:11342.77128364, 9600.05003255, 1742.72124905
INFO:root:11256.46106228, 9513.73980035, 1742.72124837
INFO:root:11163.24535048, 9420.52409397, 1742.72124905
INFO:root:11062.65696072, 9319.93570421, 1742.72124634
INFO:root:10954.21647135, 9211.49519314, 1742.72124702
INFO:root:10850.79997287, 9108.07874891, 1742.72125787
INFO:root:10784.26361762, 9041.54234484, 1742.72125854
INFO:root:10715.75928819, 8973.03805881, 1742.72125380
INFO:root:10641.53786892, 8898.81666667, 1742.72125515
INFO:root:10561.19047852, 8818.46922201, 1742.72123549
INFO:root:10474.27740343, 8731.55613607, 1742.72124973
INFO:root:10380.34869792, 8637.62744683, 1742.72124973
INFO:root:10278.94164497, 8536.22038303, 1742.72124837
INFO:root:10172.73819444, 8430.01697591, 1742.72123277
INFO:root:10100.99186740, 8358.27061632, 1742.72124498
INFO:root:10036.92433268, 8294.20305990, 1742.72123617
INFO:root:9967.47471788, 8224.75349121, 1742.72123956
INFO:root:9892.25959744, 8149.53831923, 1742.72125854
INFO:root:9810.86711697, 8068.14585232, 1742.72126397
INFO:root:9722.87655165, 7980.15532498, 1742.72124430
INFO:root:9627.85630968, 7885.13504774, 1742.72124837
INFO:root:9525.36439345, 7782.64315864, 1742.72123277
INFO:root:9443.01110026, 7700.28984104, 1742.72124295
INFO:root:9383.14944661, 7640.42820909, 1742.72124837
INFO:root:9318.29059787, 7575.56934408, 1742.72125515
INFO:root:9248.09125434, 7505.37000054, 1742.72125176
INFO:root:9172.18732096, 7429.46603461, 1742.72124091
INFO:root:9090.21036241, 7347.48909234, 1742.72125719
INFO:root:9004.33681641, 7261.61559516, 1742.72124295
INFO:root:8946.71407335, 7203.99283040, 1742.72124837
INFO:root:8901.58729926, 7158.86603733, 1742.72125041
INFO:root:8872.51227756, 7129.79102919, 1742.72123956
INFO:root:8842.56985677, 7099.84862467, 1742.72123413
INFO:root:8810.12804362, 7067.40679253, 1742.72124159
INFO:root:8775.00856662, 7032.28736708, 1742.72123684
INFO:root:8737.02829861, 6994.30705024, 1742.72124837
INFO:root:8696.00128038, 6953.28003201, 1742.72125515
INFO:root:8651.74440104, 6909.02312012, 1742.72125380
INFO:root:8605.44525825, 6862.72399631, 1742.72126397
INFO:root:8574.24965820, 6831.52841254, 1742.72125583
INFO:root:8546.57007921, 6803.84885796, 1742.72124091
INFO:root:8516.78530273, 6774.06408149, 1742.72124091
INFO:root:8484.79758572, 6742.07634549, 1742.72124023
INFO:root:8450.52507053, 6707.80383030, 1742.72123888
INFO:root:8413.89812826, 6671.17689345, 1742.72122667
INFO:root:8374.86412760, 6632.14286024, 1742.72124973
INFO:root:8333.38332248, 6590.66209852, 1742.72123956
INFO:root:8300.56086155, 6557.83963759, 1742.72124973
INFO:root:8277.27919651, 6534.55798069, 1742.72124634
INFO:root:8252.68776042, 6509.96651204, 1742.72125109
INFO:root:8226.79890951, 6484.07767470, 1742.72123956
INFO:root:8199.63164063, 6456.91036784, 1742.72124566
INFO:root:8173.57253961, 6430.85132378, 1742.72123752
INFO:root:8164.57259386, 6421.85132921, 1742.72125719
