INFO:root:Namespace(batch_size=52, clip=10, device=device(type='cuda'), epochs=200, learning_rate=0.0001, model='cdna', save_every=100, stage=3)
INFO:root:State Dictionary Path (Stochastic) is: saves/sv2p/stage2/sv2p_state_dict_99.pth
INFO:root:Starting SV2P training on Stage 3 for 200 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:788.18521995, 600.00228185, 188.18293929
INFO:root:783.22422703, 600.01816030, 183.20606565
INFO:root:784.39049170, 599.99785886, 184.39263416
INFO:root:786.84185133, 599.98783647, 186.85401504
INFO:root:789.15920284, 600.04738665, 189.11181641
INFO:root:787.90822505, 600.05513737, 187.85308978
INFO:root:787.92429220, 600.00735283, 187.91693729
INFO:root:784.48915758, 599.96967651, 184.51948039
INFO:root:782.30533328, 600.03226966, 182.27306366
INFO:root:784.28548256, 600.00594222, 184.27954137
INFO:root:782.61007392, 599.97018926, 182.63988398
INFO:root:782.43119488, 599.99265484, 182.43853997
INFO:root:782.45545539, 599.97992419, 182.47552894
INFO:root:784.10735523, 600.00241426, 184.10493987
INFO:root:784.09961201, 600.01180772, 184.08780293
INFO:root:784.48507269, 600.01792960, 184.46714204
INFO:root:784.46701313, 600.01190321, 184.45510952
INFO:root:782.69863699, 600.01609259, 182.68254344
INFO:root:780.55405856, 600.02292681, 180.53113267
INFO:root:779.88292229, 600.03449558, 179.84842682
INFO:root:780.82360822, 599.98783412, 180.83577351
INFO:root:782.35426199, 599.98883364, 182.36542827
INFO:root:781.60971517, 599.97347110, 181.63624459
INFO:root:783.09649114, 600.02292379, 183.07356718
INFO:root:783.51066204, 599.98384256, 183.52681934
INFO:root:781.37721603, 599.98538291, 181.39183316
INFO:root:780.21406371, 600.04691622, 180.16714732
INFO:root:779.33182780, 599.98908453, 179.34274353
INFO:root:778.79027663, 600.04383280, 178.74644505
INFO:root:779.38676426, 600.00353881, 179.38322931
INFO:root:780.93920679, 599.98419303, 180.95501437
INFO:root:781.09267715, 600.08523772, 181.00744068
INFO:root:785.56110137, 599.98449497, 185.57660465
INFO:root:782.12620825, 600.05324421, 182.07296481
INFO:root:778.78372833, 599.98666138, 178.79706635
INFO:root:777.02245147, 600.04103566, 176.98141392
