INFO:root:Namespace(batch_size=52, beta_end=1.0, beta_start=0, clip=10, device=device(type='cuda'), epochs=100, learning_rate=0.0001, model='cdna', save_every=100, stage=3)
INFO:root:State Dictionary Path (Stochastic) is: saves/sv2p/stage2/sv2p_state_dict_99.pth
INFO:root:Starting SV2P training on Stage 3 for 100 epochs.
INFO:root:Train Loss, KLD, MSE
INFO:root:188.40028241, 205.97101622, 187.70390127, 0.01000000
INFO:root:182.92125684, 27.23288913, 182.55597494, 0.02000000
INFO:root:183.91241473, 6.25662253, 183.76057355, 0.03000000
INFO:root:185.15679940, 3.04508794, 185.05163048, 0.04000000
INFO:root:187.07763646, 1.84746742, 186.99528723, 0.05000000
INFO:root:186.68856268, 1.24868393, 186.62024540, 0.06000000
INFO:root:185.04141270, 0.96115592, 184.97904214, 0.07000000
INFO:root:183.98016331, 0.76744651, 183.92289620, 0.08000000
INFO:root:183.00299318, 0.61306580, 182.95096825, 0.09000000
INFO:root:182.30877510, 0.48226197, 182.26302066, 0.10000000
INFO:root:182.72965188, 0.38549037, 182.68924319, 0.11000000
INFO:root:182.05421886, 0.33646229, 182.01549758, 0.12000000
INFO:root:181.22308841, 0.29925199, 181.18574743, 0.13000000
INFO:root:181.53869813, 0.25142789, 181.50479065, 0.14000000
INFO:root:181.82720482, 0.22100913, 181.79514953, 0.15000000
INFO:root:183.05854368, 0.21079840, 183.02589715, 0.16000000
INFO:root:182.23495361, 0.19755039, 182.20242222, 0.17000000
INFO:root:181.81625752, 0.17468721, 181.78571767, 0.18000000
INFO:root:180.39026361, 0.14658245, 180.36315190, 0.19000000
INFO:root:180.27919138, 0.13326143, 180.25321285, 0.20000000
INFO:root:180.24595063, 0.12148311, 180.22104601, 0.21000000
INFO:root:180.26525370, 0.11488163, 180.24058498, 0.22000000
INFO:root:182.25797430, 0.10384466, 182.23461028, 0.23000000
INFO:root:181.99482008, 0.11287850, 181.96835704, 0.24000000
INFO:root:184.10719194, 0.09264527, 184.08451975, 0.25000000
INFO:root:179.70067842, 0.08909756, 179.67793134, 0.26000000
INFO:root:179.39343183, 0.08210014, 179.37167429, 0.27000000
INFO:root:177.61252305, 0.07602555, 177.59162271, 0.28000000
INFO:root:176.94053589, 0.07077567, 176.92037254, 0.29000000
INFO:root:178.99768312, 0.06598592, 178.97822562, 0.30000000
INFO:root:178.24755324, 0.07418483, 178.22493823, 0.31000000
INFO:root:180.94128970, 0.06338291, 180.92132042, 0.32000000
INFO:root:181.07614741, 0.05918773, 181.05691283, 0.33000000
INFO:root:182.98461221, 0.06193820, 182.96388902, 0.34000000
INFO:root:180.24188995, 0.05796923, 180.22188963, 0.35000000
INFO:root:177.22133654, 0.05431190, 177.20206557, 0.36000000
INFO:root:176.32413509, 0.05051881, 176.30569098, 0.37000000
INFO:root:176.24099495, 0.05005212, 176.22224532, 0.38000000
INFO:root:176.71850735, 0.05393839, 176.69776408, 0.39000000
INFO:root:177.34718595, 0.04505524, 177.32938990, 0.40000000
INFO:root:177.98593832, 0.04652182, 177.96710161, 0.41000000
INFO:root:177.21736408, 0.04845953, 177.19728474, 0.42000000
INFO:root:177.25635327, 0.04084553, 177.23899710, 0.43000000
INFO:root:177.94062437, 0.03822331, 177.92399992, 0.44000000
INFO:root:178.08355055, 0.05096744, 178.06090914, 0.45000000
INFO:root:177.19291038, 0.03274722, 177.17801807, 0.46000000
INFO:root:176.06713323, 0.03908591, 176.04896396, 0.47000000
INFO:root:175.05563960, 0.03725379, 175.03794607, 0.48000000
INFO:root:175.92159350, 0.03391822, 175.90514383, 0.49000000
INFO:root:175.33299887, 0.04055116, 175.31296153, 0.50000000
INFO:root:175.15447972, 0.03610395, 175.13625318, 0.51000000
